Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.019,2.5,10.11,,,0.0,0.00125
0.035,1.25,10.105,5.0,9.14,0.0,0.00125
0.045,0.0,10.10875,0.0,9.1175,0.0,0.00125
0.056,2.5,10.1,2310.0,8.4475,0.0,0.00125
0.066,2.5,10.1,3433.75,8.35625,0.0,0.00375
0.077,2.5,10.10875,3421.25,8.352500000000001,0.0,0.00375
0.087,2.5,10.10875,3431.25,8.35375,0.0,0.00375
0.097,0.0,10.106250000000001,3468.75,8.51625,0.0,0.00375
0.108,3.75,10.10875,3468.75,8.51625,0.0,0.00375
0.118,-2.5,10.102500000000001,3486.25,8.335,0.0,0.0
0.128,2.5,10.106250000000001,-1.25,9.12375,0.0,0.0
0.139,1.25,10.11,0.0,9.09625,0.0,0.0
0.149,0.0,10.1075,-1.25,9.0675,0.0,0.0
0.159,0.0,10.1075,-5.0,8.795,0.0,0.0
0.170,0.0,10.102500000000001,0.0,9.13125,0.0,0.00375
0.180,1.25,10.10875,3.75,9.12125,0.0,0.00375
0.190,2.5,10.1075,-1.25,9.0275,0.0,0.00375
0.201,0.0,10.106250000000001,0.0,8.76125,0.0,0.00375
0.211,0.0,10.106250000000001,-3.75,8.86,1.25,0.005
0.222,0.0,10.115,-2.5,9.11625,1.25,0.005
0.232,0.0,10.105,0.0,9.0275,1.25,0.005
0.243,1.25,10.11,0.0,8.758750000000001,1.25,0.005
0.253,0.0,10.10875,-1.25,8.5425,1.25,0.005
0.264,0.0,10.10875,-6.25,9.11875,0.0,0.0025
0.274,-1.25,10.10375,-1.25,8.97125,0.0,0.0025
0.284,0.0,10.11,0.0,8.81375,0.0,0.0025
0.295,1.25,10.10875,0.0,8.54875,0.0,0.0025
0.305,0.0,10.10375,-1.25,9.12125,0.0,0.0025
0.315,0.0,10.1075,-1.25,9.02,1.25,0.005
0.326,0.0,10.1075,-2.5,8.75125,1.25,0.005
0.336,1.25,10.105,0.0,8.53875,1.25,0.005
0.346,0.0,10.115,-1.25,9.13125,1.25,0.005
0.356,0.0,10.106250000000001,-1.25,9.03125,1.25,0.005
0.367,0.0,10.106250000000001,-1.25,8.6525,0.0,0.0
0.377,-1.25,10.11,1.25,9.12625,0.0,0.0
