elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,3640.00,9.48,458.75,0.00,2017.50,4.87
0.057,4337.50,9.25,456.25,0.69,28.75,5.21
0.101,4332.50,9.28,55.00,0.00,362.50,5.21
0.133,4340.00,10.53,31.25,0.45,2716.25,5.21
0.169,4332.50,9.29,-197.50,0.00,2021.25,5.21
0.190,3653.75,10.60,496.25,0.00,28.75,5.21
0.213,4336.25,10.52,415.00,0.00,32.50,5.21
0.233,3965.00,9.26,141.25,0.71,32.50,5.21
0.254,4341.25,9.62,452.50,0.00,30.00,5.21
0.274,3578.75,9.25,352.50,0.00,33.75,5.21
0.295,4338.75,9.90,298.75,0.00,30.00,5.21
0.315,4217.50,9.27,438.75,0.85,31.25,5.21
0.336,4336.25,9.30,460.00,0.00,31.25,5.21
0.357,4083.75,9.26,445.00,0.40,28.75,5.21
0.378,4340.00,9.34,-173.75,0.00,32.50,5.21
0.399,3875.00,9.27,217.50,0.00,30.00,5.21
0.420,4338.75,9.47,453.75,0.00,31.25,5.21
0.442,3603.75,9.25,23.75,0.00,32.50,4.97
0.463,4331.25,10.39,455.00,0.00,31.25,4.82
0.484,3512.50,9.25,247.50,0.00,31.25,4.64
0.504,4340.00,10.10,402.50,0.00,31.25,4.50
0.525,3502.50,9.25,422.50,0.69,32.50,4.40
0.547,4230.00,9.47,398.75,0.00,30.00,5.21
0.577,4338.75,9.37,-247.50,0.63,32.50,4.64
0.605,4305.00,10.29,57.50,0.00,32.50,5.21
0.633,3680.00,9.26,212.50,0.00,32.50,5.21
0.656,3950.00,9.26,493.75,0.94,31.25,5.21
0.678,4340.00,9.38,363.75,0.00,33.75,5.21
0.698,3811.25,9.27,361.25,0.68,32.50,5.21
0.720,4330.00,10.52,460.00,0.00,30.00,5.21
0.741,3870.00,9.25,422.50,0.07,31.25,5.21
0.762,4337.50,9.47,-263.75,0.00,32.50,5.19
0.783,3351.25,9.26,65.00,0.00,32.50,5.09
0.804,4317.50,9.84,455.00,0.00,25.00,5.01
0.825,3500.00,9.24,438.75,0.78,25.00,5.12
0.845,4322.50,10.01,86.25,0.00,41.25,5.24
0.866,4226.25,9.27,308.75,0.00,216.25,5.24
0.887,4337.50,10.13,456.25,0.00,545.00,5.23
0.907,3986.25,9.25,431.25,0.83,967.50,5.23
0.927,4342.50,9.35,38.75,0.00,1476.25,5.22
0.949,3952.50,10.20,476.25,0.97,0.00,5.21
0.969,4331.25,9.62,350.00,0.00,25.00,5.21
0.990,3910.00,9.24,443.75,0.49,31.25,5.21
1.011,4326.25,9.90,458.75,0.00,32.50,5.21
1.032,4161.25,9.27,443.75,0.00,32.50,5.21
1.056,4318.75,9.70,17.50,0.00,30.00,5.21
1.084,3723.75,9.26,156.25,0.00,28.75,5.21
1.116,4043.75,9.26,10.00,0.00,31.25,5.21
1.140,4080.00,9.25,421.25,0.71,31.25,5.21
1.161,4333.75,9.35,118.75,0.00,31.25,4.95
1.183,3646.25,9.26,335.00,0.00,30.00,4.79
1.204,4308.75,10.57,475.00,0.00,28.75,4.62
1.225,3752.50,9.25,38.75,0.00,227.50,5.24
1.246,4328.75,10.71,412.50,0.59,755.00,5.23
1.268,3196.25,9.25,90.00,0.00,496.25,5.21
1.290,3612.50,9.25,431.25,0.85,31.25,5.21
1.312,4336.25,10.74,453.75,0.00,32.50,5.21
1.334,3741.25,9.25,-307.50,0.00,31.25,5.21
1.356,4303.75,10.24,490.00,1.05,30.00,5.21
1.378,4328.75,9.57,262.50,0.00,32.50,5.21
1.400,3410.00,9.26,42.50,0.00,28.75,5.21
1.421,4325.00,9.25,117.50,0.60,30.00,4.38
1.445,4332.50,9.50,438.75,0.00,27.50,4.42
1.465,4308.75,9.85,338.75,1.00,30.00,4.50
1.486,4327.50,9.25,-127.50,0.00,28.75,4.67
1.506,4273.75,9.27,481.25,0.73,30.00,5.21
1.536,4322.50,9.28,-68.75,0.00,31.25,5.21
1.557,3690.00,9.26,440.00,0.59,32.50,5.21
1.578,4328.75,9.41,-241.25,0.00,31.25,5.21
1.599,4332.50,10.07,431.25,0.62,31.25,5.21
1.620,4331.25,9.72,463.75,0.00,28.75,5.21
1.641,4321.25,9.49,438.75,0.80,31.25,5.21
1.661,4327.50,9.96,-298.75,0.00,32.50,5.21
1.682,4147.50,9.27,473.75,1.02,32.50,5.07
1.703,4308.75,9.29,386.25,0.00,28.75,4.94
1.724,3973.75,9.25,435.00,0.67,28.75,4.78
1.744,4326.25,9.34,126.25,0.00,31.25,4.60
1.765,4326.25,10.29,468.75,1.23,31.25,4.48
1.785,4331.25,9.24,25.00,0.00,32.50,4.38
1.805,4326.25,10.21,466.25,0.00,1028.75,5.23
1.827,4010.00,9.31,11.25,0.00,1547.50,5.21
1.847,4328.75,10.28,468.75,0.59,2001.25,5.21
1.868,4326.25,9.28,10.00,0.00,2330.00,5.21
1.889,4327.50,10.58,445.00,0.00,2416.25,5.21
1.909,3866.25,9.25,437.50,0.92,2227.50,5.21
1.929,4330.00,9.70,455.00,0.02,28.75,5.21
1.950,3525.00,9.26,225.00,0.00,30.00,5.21
1.970,4325.00,10.12,463.75,0.00,30.00,5.21
1.991,3971.25,9.25,422.50,0.99,31.25,5.21
2.011,4318.75,9.35,120.00,0.00,31.25,5.21
2.031,3950.00,10.71,476.25,1.18,31.25,5.21
2.052,4328.75,9.30,155.00,0.00,30.00,5.20
2.073,4287.50,10.34,433.75,0.91,32.50,5.21
2.094,4330.00,9.25,-40.00,0.00,30.00,5.21
2.114,4351.25,9.71,462.50,1.11,31.25,5.21
2.135,4017.50,9.26,31.25,0.00,31.25,5.21
2.158,4206.25,9.26,96.25,0.00,31.25,5.21
2.180,4320.00,10.15,451.25,0.00,30.00,5.21
2.202,4328.75,9.89,448.75,0.00,27.50,5.17
2.224,3797.50,9.24,28.75,0.00,27.50,4.90
2.246,4332.50,10.01,456.25,0.00,2387.50,5.20
2.267,3645.00,9.25,345.00,0.00,2180.00,5.20
2.288,4318.75,10.20,473.75,0.00,2021.25,5.20
2.308,4082.50,9.26,67.50,0.00,1390.00,5.20
2.330,4316.25,10.57,453.75,0.00,30.00,5.21
2.350,3877.50,9.26,408.75,0.41,28.75,5.21
2.371,4312.50,10.64,463.75,0.22,32.50,5.21
2.392,3696.25,9.25,121.25,0.00,30.00,5.21
2.413,4332.50,9.93,451.25,0.00,31.25,5.21
2.434,3888.75,9.25,175.00,0.90,31.25,5.21
2.455,4327.50,10.27,461.25,0.00,31.25,5.21
2.477,4066.25,9.31,-331.25,0.00,31.25,5.21
2.499,4202.50,9.27,387.50,0.00,32.50,5.21
2.523,4312.50,9.82,435.00,0.00,1092.50,5.22
2.551,4323.75,10.16,483.75,1.05,31.25,5.21
2.578,4325.00,9.87,248.75,0.00,31.25,5.21
2.599,4218.75,9.29,400.00,0.49,31.25,5.21
2.619,4325.00,9.27,93.75,0.00,32.50,5.21
2.640,3951.25,10.59,475.00,0.85,30.00,5.21
2.661,4325.00,9.34,-28.75,0.00,32.50,5.21
2.683,3761.25,9.26,130.00,0.62,32.50,5.21
2.703,4312.50,9.37,85.00,0.00,31.25,5.21
2.723,4268.75,10.09,458.75,0.04,32.50,5.21
