elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,2.50,10.08,893.75,0.00,0.00,1.16
0.067,121.25,10.08,886.25,0.00,-1.25,1.29
0.102,21.25,10.17,537.50,0.00,0.00,1.39
0.155,-1.25,10.41,648.75,0.00,0.00,1.31
0.186,0.00,11.00,666.25,2.14,0.00,1.35
0.215,0.00,9.79,743.75,0.00,-1.25,1.31
0.245,0.00,11.18,688.75,0.00,0.00,1.37
0.271,1.25,9.60,847.50,0.00,-1.25,1.32
0.300,0.00,10.01,287.50,0.00,0.00,1.38
0.328,0.00,10.21,626.25,2.07,0.00,1.35
0.357,1.25,9.75,745.00,0.00,0.00,1.31
0.384,0.00,10.35,-157.50,0.00,0.00,1.37
0.412,1.25,9.62,870.00,0.00,0.00,1.34
0.434,-8.75,10.07,500.00,0.71,0.00,1.34
0.455,0.00,9.82,868.75,0.00,0.00,1.33
0.477,181.25,10.07,541.25,0.00,-1.25,1.33
0.497,1.25,9.94,890.00,0.00,0.00,1.31
0.524,-11.25,10.08,110.00,0.00,1.25,1.36
0.554,2.50,9.60,537.50,0.00,-1.25,1.32
0.581,0.00,9.93,886.25,0.00,0.00,1.31
0.604,0.00,10.92,488.75,0.00,0.00,1.34
0.636,0.00,9.75,708.75,0.00,0.00,1.38
0.668,1.25,10.59,881.25,0.00,0.00,1.32
0.702,0.00,10.09,-32.50,0.00,0.00,1.39
0.729,1.25,9.77,878.75,0.00,0.00,1.35
0.756,0.00,11.71,685.00,0.00,0.00,1.32
0.784,2.50,9.52,726.25,0.00,0.00,1.38
0.809,8.75,10.00,875.00,0.00,0.00,1.34
0.835,1.25,9.42,446.25,0.00,-1.25,1.31
0.865,-1.25,9.76,870.00,0.00,-1.25,1.35
0.894,0.00,10.18,303.75,0.00,0.00,1.33
0.918,1.25,9.61,462.50,0.00,-1.25,1.39
0.946,0.00,10.11,742.50,0.00,0.00,1.36
0.973,0.00,10.10,600.00,0.00,1.25,1.32
1.001,0.00,9.85,753.75,0.00,0.00,1.32
1.023,1.25,10.89,681.25,0.07,1.25,1.34
1.044,-1.25,9.96,883.75,0.00,-1.25,1.36
1.075,1.25,10.16,206.25,0.00,-1.25,1.39
1.110,0.00,9.46,713.75,0.00,1.25,1.32
1.141,0.00,9.76,887.50,0.00,0.00,1.37
1.172,1.25,11.70,686.25,0.00,0.00,1.32
1.201,0.00,9.44,200.00,0.00,0.00,1.38
1.230,1.25,10.00,733.75,0.00,0.00,1.34
1.258,-2.50,10.26,-333.75,0.00,0.00,1.31
1.285,1.25,9.71,417.50,0.00,0.00,1.37
1.312,0.00,10.18,780.00,0.00,-1.25,1.33
1.339,-1.25,9.74,651.25,0.00,0.00,1.40
1.367,2.50,9.93,878.75,0.00,0.00,1.34
1.396,1.25,11.32,353.75,0.00,0.00,1.36
1.426,0.00,9.58,457.50,0.00,0.00,1.34
1.457,0.00,10.11,730.00,0.00,1.25,1.40
1.485,1.25,10.64,693.75,0.24,-1.25,1.34
1.518,0.00,9.65,873.75,0.00,0.00,1.40
1.548,1.25,9.96,276.25,0.00,1.25,1.34
1.576,1.25,10.17,615.00,2.08,0.00,1.36
1.606,2.50,9.65,877.50,0.86,0.00,1.34
1.637,2.50,10.26,848.75,0.00,0.00,1.31
1.667,2.50,10.01,56.25,0.00,-1.25,1.37
1.691,1.25,10.12,743.75,0.00,-1.25,1.35
1.712,1.25,9.44,445.00,0.00,0.00,1.35
1.734,-358.75,10.00,656.25,0.00,-1.25,1.34
1.755,1.25,9.56,870.00,0.00,-1.25,1.34
1.777,-1.25,10.07,577.50,0.00,-1.25,1.33
1.798,-1.25,9.57,720.00,1.18,1.25,1.31
1.825,0.00,10.00,735.00,0.00,-1.25,1.35
1.855,-1.25,10.37,686.25,1.06,-1.25,1.40
1.886,0.00,9.73,591.25,0.00,-1.25,1.40
1.907,-2.50,10.08,515.00,0.00,-1.25,1.38
1.929,1.25,9.80,883.75,0.00,-1.25,1.38
1.950,0.00,10.08,415.00,0.00,1.25,1.36
1.972,0.00,9.93,871.25,0.00,-1.25,1.36
1.993,2.50,10.17,113.75,0.00,-1.25,1.35
2.015,0.00,10.14,838.75,0.00,0.00,1.34
2.038,0.00,11.52,513.75,0.00,0.00,1.32
2.062,0.00,9.93,842.50,0.00,-1.25,1.32
2.084,0.00,9.47,43.75,0.00,0.00,1.33
2.105,0.00,10.09,877.50,0.00,0.00,1.40
2.126,0.00,9.50,708.75,0.00,-1.25,1.38
2.150,0.00,10.06,738.75,0.00,1.25,1.37
2.172,0.00,9.43,478.75,0.00,0.00,1.33
2.199,1.25,10.10,748.75,0.00,-1.25,1.32
2.220,1.25,10.93,683.75,0.00,0.00,1.32
2.243,-158.75,10.00,583.75,0.00,-1.25,1.32
2.264,-1.25,9.61,793.75,0.38,-1.25,1.33
2.285,-10.00,10.08,443.75,0.00,-1.25,1.39
2.306,1.25,9.55,858.75,0.00,-3.75,1.39
2.327,1.25,10.14,182.50,0.00,-1.25,1.36
2.354,1.25,9.76,871.25,0.00,0.00,1.31
2.382,1.25,9.98,566.25,0.00,0.00,1.37
2.410,1.25,10.20,231.25,0.00,-1.25,1.34
2.435,1.25,9.82,643.75,0.00,-1.25,1.34
2.456,1.25,11.50,615.00,0.00,-1.25,1.34
2.477,0.00,9.91,560.00,0.00,-1.25,1.33
2.498,2.50,10.10,350.00,0.00,-1.25,1.32
2.521,1.25,10.20,876.25,0.00,1.25,1.31
2.542,2.50,9.44,11.25,0.00,-1.25,1.31
2.565,0.00,10.65,762.50,0.00,-1.25,1.39
2.587,2.50,9.50,642.50,0.00,-1.25,1.36
2.615,1.25,9.84,878.75,0.00,1.25,1.33
2.645,1.25,10.91,705.00,0.00,0.00,1.33
2.683,1.25,10.10,582.50,2.21,0.00,1.33
2.725,1.25,9.46,77.50,0.45,0.00,1.34
2.758,1.25,9.76,891.25,0.00,1.25,1.38
2.790,-11.25,10.07,642.50,0.00,-1.25,1.33
2.819,0.00,10.83,685.00,0.00,-1.25,1.34
2.848,0.00,9.85,517.50,0.00,-2.50,1.34
2.876,0.00,10.74,685.00,0.91,-1.25,1.31
2.903,0.00,9.69,737.50,0.00,0.00,1.31
2.924,-1.25,10.08,571.25,2.39,0.00,1.37
2.950,2.50,9.62,731.25,0.00,0.00,1.37
2.971,1.25,11.04,696.25,0.00,1.25,1.37
2.992,1.25,9.72,681.25,0.00,0.00,1.35
3.014,1.25,10.48,681.25,0.00,0.00,1.34
3.035,2.50,9.83,298.75,0.00,0.00,1.34
3.057,2.50,10.08,511.25,0.00,0.00,1.33
3.078,1.25,9.90,762.50,0.00,0.00,1.33
3.100,1.25,10.11,225.00,0.00,0.00,1.40
3.125,0.00,9.84,725.00,0.00,0.00,1.40
3.147,1.25,10.69,677.50,0.00,-1.25,1.37
3.171,2.50,9.78,728.75,0.00,0.00,1.34
3.198,1.25,10.08,405.00,0.00,1.25,1.32
3.221,-1.25,9.87,870.00,0.00,0.00,1.38
3.245,1.25,10.18,693.75,0.00,-1.25,1.39
3.267,0.00,9.77,765.00,0.00,1.25,1.37
3.289,-1.25,10.09,683.75,0.00,0.00,1.37
3.311,0.00,9.87,805.00,0.00,0.00,1.35
3.332,5.00,10.08,556.25,2.30,-1.25,1.35
3.354,1.25,9.99,876.25,0.00,0.00,1.35
3.375,0.00,9.41,485.00,0.00,0.00,1.34
3.396,0.00,10.11,896.25,0.00,-1.25,1.33
3.419,1.25,9.48,222.50,0.00,1.25,1.32
3.441,1.25,10.06,753.75,0.00,0.00,1.32
3.462,0.00,9.57,876.25,0.00,-1.25,1.31
3.484,8.75,10.07,38.75,0.00,0.00,1.38
3.511,1.25,9.51,357.50,0.00,0.00,1.37
3.532,1.25,10.07,776.25,0.00,0.00,1.35
3.554,1.25,9.54,863.75,0.63,0.00,1.34
3.577,3.75,10.18,895.00,0.00,0.00,1.31
3.603,1.25,9.64,643.75,0.00,0.00,1.39
3.628,1.25,10.00,892.50,0.00,0.00,1.36
3.653,0.00,11.36,682.50,0.00,0.00,1.32
3.682,1.25,9.75,580.00,0.00,0.00,1.37
3.711,1.25,11.54,680.00,0.00,0.00,1.33
3.738,0.00,9.70,867.50,0.00,1.25,1.32
3.760,0.00,10.21,-16.25,0.00,0.00,1.32
3.781,0.00,9.88,886.25,0.00,0.00,1.31
3.803,0.00,10.26,475.00,0.00,0.00,1.31
3.824,2.50,9.68,733.75,0.00,-1.25,1.40
3.845,1.25,10.15,678.75,0.00,0.00,1.40
3.866,1.25,9.77,731.25,0.00,0.00,1.40
3.887,1.25,11.32,695.00,0.00,-2.50,1.38
3.909,0.00,9.87,343.75,0.00,-1.25,1.38
3.930,0.00,10.46,683.75,1.14,0.00,1.36
3.951,6.25,9.98,877.50,0.00,0.00,1.35
3.975,1.25,9.43,466.25,0.00,-1.25,1.35
3.996,0.00,10.08,890.00,0.00,1.25,1.33
4.018,0.00,9.49,260.00,0.00,0.00,1.33
4.039,1.25,11.77,727.50,0.00,-1.25,1.32
4.059,1.25,9.60,463.75,0.00,1.25,1.32
4.083,0.00,10.07,148.75,0.00,-1.25,1.35
4.105,-1.25,9.71,860.00,0.00,-1.25,1.33
4.138,0.00,10.03,742.50,0.00,-1.25,1.31
4.166,11.25,11.81,523.75,0.00,0.00,1.34
4.198,2.50,9.51,347.50,0.00,0.00,1.31
4.227,1.25,10.01,891.25,0.00,-1.25,1.37
4.250,-1.25,9.43,516.25,0.00,0.00,1.36
4.271,0.00,11.79,876.25,0.00,-1.25,1.36
4.293,1.25,9.52,707.50,0.00,-1.25,1.35
4.316,1.25,10.08,762.50,0.00,0.00,1.33
4.338,0.00,9.65,862.50,0.06,0.00,1.33
4.359,1.25,10.15,287.50,0.00,1.25,1.32
4.380,1.25,9.76,886.25,0.00,0.00,1.32
4.401,2.50,10.12,-118.75,0.00,0.00,1.32
4.422,0.00,10.01,871.25,0.00,0.00,1.31
4.443,0.00,10.08,440.00,0.00,0.00,1.35
4.465,0.00,10.02,780.00,0.00,1.25,1.36
4.485,1.25,10.65,-53.75,0.00,0.00,1.39
4.509,0.00,9.89,701.25,0.00,-1.25,1.37
4.529,0.00,10.94,713.75,0.00,-1.25,1.36
4.553,0.00,9.96,363.75,0.00,0.00,1.36
4.575,1.25,9.48,498.75,0.00,0.00,1.33
4.597,0.00,10.24,892.50,0.00,0.00,1.33
4.618,0.00,9.48,670.00,0.00,0.00,1.32
4.639,0.00,10.49,806.25,0.00,-1.25,1.32
4.662,0.00,9.59,875.00,0.00,0.00,1.31
4.683,-298.75,10.07,451.25,0.00,-1.25,1.39
4.705,0.00,9.68,696.25,0.00,0.00,1.35
4.735,0.00,10.05,755.00,0.00,-1.25,1.33
4.759,0.00,9.42,516.25,0.00,-1.25,1.32
4.781,1.25,10.00,818.75,0.00,0.00,1.31
4.802,0.00,9.53,518.75,0.00,0.00,1.31
4.823,1.25,10.08,700.00,0.00,-1.25,1.36
