elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,9.77,640.00,0.00,3275.00,4.93
0.044,0.00,9.52,636.25,0.00,32.50,5.21
0.084,0.00,9.67,887.50,0.00,32.50,5.21
0.125,1.25,9.85,471.25,0.00,31.25,5.21
0.165,0.00,10.06,743.75,0.00,30.00,5.21
0.205,1.25,10.98,811.25,0.00,31.25,5.21
0.245,0.00,11.34,825.00,0.00,31.25,4.22
0.288,1.25,10.20,671.25,0.00,30.00,5.21
0.326,2.50,9.54,87.50,1.41,30.00,5.21
0.364,0.00,9.77,798.75,0.00,31.25,5.21
0.402,0.00,9.98,885.00,0.00,28.75,5.21
0.438,12.50,10.25,673.75,0.00,502.50,5.20
0.476,1.25,10.15,75.00,0.00,1408.75,5.20
0.516,1.25,10.18,652.50,0.00,27.50,5.20
0.559,1.25,9.51,536.25,0.00,30.00,5.21
0.604,0.00,9.59,700.00,0.00,32.50,5.21
0.643,1.25,9.78,538.75,0.00,27.50,5.21
0.678,3.75,10.09,896.25,0.00,27.50,5.20
0.717,1.25,10.14,530.00,0.00,2383.75,5.20
0.757,0.00,10.63,410.00,0.00,30.00,4.54
0.811,3945.00,10.65,375.00,0.55,616.25,5.21
0.858,4202.50,9.27,180.00,0.83,1821.25,5.21
0.898,4303.75,10.34,95.00,0.00,27.50,5.20
0.938,3868.75,10.08,473.75,0.00,1221.25,5.20
0.976,4283.75,9.25,160.00,0.86,631.25,5.20
1.017,4298.75,9.64,137.50,0.00,801.25,5.21
1.057,4296.25,9.83,-1.25,0.00,1690.00,4.98
1.097,1.25,9.97,836.25,0.00,33.75,5.19
1.134,1.25,9.90,572.50,0.27,32.50,4.62
1.173,1.25,9.87,848.75,0.00,32.50,4.38
1.210,1.25,9.83,521.25,0.00,32.50,5.10
1.247,-1.25,9.81,676.25,0.00,32.50,5.21
1.285,0.00,9.77,720.00,1.40,31.25,5.21
1.324,1.25,10.15,620.00,0.00,32.50,5.21
1.371,23.75,11.52,33.75,0.00,30.00,5.21
1.412,0.00,10.67,676.25,0.00,30.00,5.19
1.450,0.00,9.85,798.75,0.00,32.50,5.21
1.487,18.75,10.03,898.75,0.00,32.50,4.48
