elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
6.656,4107.50,9.17,498.75,0.00,0.00,1.32
6.715,3742.50,9.19,362.50,0.64,0.00,1.31
6.778,4190.00,9.34,110.00,0.52,-1.25,1.32
6.835,4143.75,9.23,6.25,0.00,-1.25,1.37
6.899,4197.50,9.44,487.50,0.62,-1.25,1.35
6.968,4218.75,9.53,503.75,0.93,0.00,1.34
7.039,4210.00,9.22,503.75,0.00,-1.25,1.38
7.104,3808.75,10.08,48.75,0.00,-1.25,1.31
7.178,3771.25,9.15,472.50,0.00,-1.25,1.35
7.248,4216.25,10.21,452.50,0.00,0.00,1.34
7.328,4070.00,9.15,477.50,0.00,0.00,1.34
7.390,4212.50,9.15,372.50,0.00,0.00,1.31
7.459,4215.00,9.15,477.50,0.14,0.00,1.32
7.516,4217.50,9.14,468.75,0.00,0.00,1.32
7.574,0.00,10.17,32.50,0.52,-1.25,1.32
7.635,3933.75,9.24,118.75,0.62,0.00,1.31
7.697,3618.75,9.18,467.50,0.00,1.25,1.32
7.753,4060.00,9.25,178.75,0.69,0.00,1.34
7.811,4081.25,10.06,106.25,0.50,-1.25,1.36
7.867,4096.25,9.19,245.00,0.65,0.00,1.36
7.926,4092.50,9.22,126.25,0.00,0.00,1.35
7.988,3635.00,9.71,480.00,0.00,1.25,1.36
8.046,3751.25,10.14,82.50,0.00,1.25,1.38
8.103,3982.50,10.14,66.25,0.00,1.25,1.39
8.160,4093.75,9.24,158.75,0.05,0.00,1.32
8.215,3691.25,9.18,465.00,0.00,-1.25,1.33
8.271,3828.75,9.19,457.50,0.07,-1.25,1.34
8.331,3658.75,9.49,133.75,0.61,-1.25,1.32
8.397,4098.75,10.24,357.50,0.00,-1.25,1.33
8.474,4092.50,9.17,218.75,0.00,0.00,1.40
8.560,4093.75,9.24,100.00,0.00,0.00,1.32
8.640,4090.00,9.28,45.00,0.00,0.00,1.36
8.706,4087.50,9.18,476.25,0.00,0.00,1.34
8.768,4073.75,10.23,455.00,0.00,0.00,1.34
8.839,4086.25,9.18,482.50,0.00,0.00,1.31
8.897,3826.25,10.03,-106.25,0.00,0.00,1.32
8.954,3997.50,10.23,225.00,0.00,-1.25,1.33
9.012,4062.50,10.12,216.25,0.00,0.00,1.32
9.075,4086.25,9.23,45.00,0.98,-2.50,1.32
9.134,4087.50,9.99,467.50,0.00,-1.25,1.31
9.196,3740.00,10.17,450.00,0.00,0.00,1.32
9.255,3737.50,9.19,480.00,0.00,-2.50,1.33
9.311,4083.75,9.54,442.50,0.00,-1.25,1.34
9.370,3811.25,10.19,492.50,0.00,-1.25,1.33
9.432,3696.25,9.21,288.75,0.57,0.00,1.33
9.493,4085.00,9.36,355.00,0.61,0.00,1.34
9.549,4032.50,9.17,300.00,0.63,0.00,1.35
9.608,4090.00,9.18,353.75,0.64,-1.25,1.33
9.673,1.25,10.08,632.50,0.00,0.00,1.33
9.732,-1.25,10.43,731.25,0.00,-1.25,1.33
9.793,1.25,9.75,417.50,0.00,0.00,1.33
9.853,1.25,9.50,281.25,0.00,0.00,1.31
9.916,-1.25,11.27,797.50,0.00,-1.25,1.35
9.988,1.25,9.54,680.00,0.17,1.25,1.24
10.064,1.25,10.03,691.25,0.00,-2.50,1.17
10.131,-1.25,9.54,36.25,0.00,1.25,1.13
