elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,10.22,777.50,0.41,30.00,5.21
0.055,1.25,9.95,822.50,0.00,33.75,5.21
0.090,2.50,11.77,676.25,0.00,30.00,5.21
0.116,1.25,9.76,893.75,0.23,32.50,5.21
0.142,0.00,10.71,726.25,0.00,31.25,5.21
0.173,0.00,10.65,602.50,0.00,32.50,5.21
0.194,0.00,10.15,831.25,0.00,30.00,5.21
0.216,0.00,9.62,681.25,0.00,31.25,5.21
0.273,5.00,10.26,543.75,0.00,30.00,5.21
0.332,1.25,10.10,841.25,0.00,30.00,5.21
0.358,1.25,10.21,643.75,0.00,32.50,5.21
0.378,21.25,10.23,815.00,0.00,32.50,5.21
0.399,0.00,9.74,531.25,0.00,31.25,5.21
0.419,-22.50,11.34,625.00,1.66,30.00,5.21
0.439,1.25,9.89,738.75,0.00,28.75,5.21
0.459,1.25,11.46,667.50,0.00,32.50,5.21
0.478,2.50,10.06,880.00,0.00,31.25,5.21
0.497,1.25,9.58,228.75,0.00,32.50,5.21
0.517,2.50,10.29,713.75,0.00,31.25,5.21
0.536,0.00,9.81,858.75,0.00,30.00,5.21
0.556,0.00,10.30,42.50,0.00,32.50,5.21
0.576,0.00,10.15,891.25,0.00,32.50,5.21
0.595,0.00,10.28,612.50,0.00,31.25,5.21
0.617,1.25,10.21,911.25,0.00,31.25,5.21
0.638,1.25,9.60,202.50,0.00,32.50,5.21
0.660,1.25,10.75,785.00,0.00,28.75,5.21
0.682,0.00,9.67,462.50,0.00,30.00,5.21
0.701,2.50,11.10,676.25,0.40,27.50,5.21
0.721,-1.25,9.89,802.50,0.00,26.25,5.21
0.740,1.25,10.69,11.25,0.00,26.25,5.21
0.760,-1.25,10.15,900.00,0.00,32.50,5.21
0.780,-1.25,9.59,522.50,0.00,31.25,5.21
0.800,0.00,11.08,907.50,0.00,31.25,5.21
0.820,1.25,9.75,817.50,0.00,32.50,5.21
0.839,1.25,10.67,105.00,0.00,31.25,5.21
0.859,-1.25,9.98,892.50,0.00,31.25,5.21
0.878,-1.25,10.25,578.75,0.00,30.00,5.21
0.898,1.25,10.18,797.50,0.00,31.25,5.21
0.919,1.25,9.61,806.25,1.58,27.50,5.21
0.940,1.25,10.57,-27.50,0.00,31.25,5.21
0.960,3.75,9.91,891.25,0.00,32.50,5.21
0.980,0.00,10.25,601.25,0.00,30.00,5.21
0.999,1.25,9.97,901.25,0.00,31.25,5.21
1.019,-7.50,10.24,680.00,0.00,32.50,5.21
1.038,-13.75,10.20,851.25,0.00,32.50,5.21
1.059,0.00,9.70,893.75,0.00,32.50,5.21
1.078,0.00,10.24,551.25,0.00,31.25,5.15
1.098,1.25,9.88,572.50,0.00,33.75,5.21
1.119,3.75,10.24,111.25,2.00,30.00,5.00
1.140,0.00,9.99,890.00,0.00,25.00,5.21
1.161,65.00,10.36,258.75,0.00,331.25,5.20
1.184,1.25,10.16,897.50,0.00,32.50,5.21
1.204,2.50,9.78,75.00,0.00,483.75,5.21
1.223,1.25,10.66,905.00,0.00,30.00,5.21
1.243,1.25,9.68,787.50,0.00,32.50,5.21
1.274,1.25,10.16,596.25,0.00,31.25,5.21
1.295,1.25,9.58,102.50,0.00,25.00,5.21
1.321,1.25,10.08,332.50,0.00,667.50,5.20
1.344,-1.25,9.58,577.50,0.00,31.25,5.21
1.368,0.00,10.23,786.25,0.00,31.25,5.21
1.393,0.00,10.33,272.50,0.00,31.25,5.21
1.417,-1.25,10.23,790.00,0.00,31.25,5.21
1.439,-1.25,9.58,37.50,0.00,31.25,5.15
1.460,12.50,10.17,835.00,0.00,26.25,5.21
1.482,1.25,9.68,812.50,0.00,22.50,5.22
1.502,0.00,11.56,580.00,0.00,26.25,5.21
1.521,1.25,9.84,825.00,0.00,32.50,4.83
1.541,1.25,11.49,501.25,0.00,30.00,5.21
1.560,0.00,10.27,841.25,0.00,31.25,4.85
1.579,1.25,9.59,563.75,0.00,31.25,5.21
1.599,2.50,10.29,640.00,0.00,31.25,5.19
1.620,1.25,9.76,813.75,0.00,32.50,5.21
1.639,0.00,10.29,21.25,0.00,28.75,5.08
1.658,1.25,10.08,895.00,0.00,27.50,5.21
1.681,1.25,10.33,316.25,0.00,31.25,4.90
1.700,1.25,10.15,905.00,0.00,28.75,5.21
1.720,0.00,9.60,50.00,0.00,32.50,4.77
1.739,1.25,10.27,630.00,0.00,31.25,5.21
1.759,2.50,9.89,885.00,0.00,30.00,5.21
1.778,7.50,10.24,561.25,0.00,32.50,5.21
1.798,1.25,9.95,677.50,0.00,31.25,5.21
1.817,1.25,11.05,693.75,0.00,31.25,5.21
1.837,10.00,10.17,807.50,0.00,31.25,5.21
1.856,0.00,9.68,641.25,0.00,32.50,5.21
1.876,1.25,11.25,586.25,0.00,31.25,5.21
1.895,0.00,9.83,821.25,0.00,31.25,5.21
1.915,0.00,11.00,332.50,0.00,30.00,5.21
1.937,-1.25,10.01,856.25,0.00,31.25,5.21
1.957,1.25,10.69,685.00,0.00,31.25,5.21
1.976,1.25,11.38,898.75,0.00,31.25,5.21
1.996,1.25,9.69,833.75,0.00,31.25,5.21
2.015,1.25,10.85,671.25,0.00,31.25,5.21
2.035,-1.25,9.85,778.75,0.00,31.25,5.21
2.055,0.00,10.25,131.25,0.00,31.25,5.21
2.074,1.25,10.08,897.50,0.00,32.50,5.21
2.094,1.25,9.58,502.50,0.59,32.50,5.21
2.113,0.00,10.34,615.00,0.00,33.75,5.21
2.133,-1.25,9.88,893.75,0.00,31.25,5.21
2.152,0.00,10.70,335.00,0.56,32.50,5.21
2.172,0.00,9.99,862.50,0.00,32.50,5.21
2.192,1.25,11.68,628.75,0.00,31.25,5.21
2.212,0.00,10.15,821.25,0.00,30.00,5.21
2.231,0.00,9.66,526.25,0.00,31.25,5.21
2.251,0.00,10.90,640.00,0.00,31.25,5.21
2.272,1.25,9.83,755.00,0.00,28.75,5.21
2.291,1.25,11.72,147.50,0.00,31.25,5.21
2.310,1.25,10.01,906.25,0.00,31.25,5.21
2.330,0.00,9.58,215.00,0.00,31.25,5.21
2.349,1.25,10.31,905.00,0.00,33.75,5.21
2.369,0.00,9.74,865.00,0.00,31.25,5.21
2.389,0.00,10.34,73.75,0.00,32.50,5.21
2.409,1.25,10.09,891.25,0.00,30.00,5.21
2.430,2.50,10.31,-6.25,0.00,31.25,5.21
2.451,0.00,10.10,901.25,0.00,31.25,5.21
2.471,1.25,10.30,146.25,0.00,31.25,5.21
2.493,0.00,10.14,836.25,0.00,32.50,5.21
2.514,0.00,9.65,481.25,0.00,32.50,5.21
2.534,0.00,10.24,690.00,0.00,32.50,5.21
2.555,0.00,9.78,813.75,0.00,31.25,5.21
2.576,2.50,10.23,548.75,1.60,31.25,5.21
2.598,0.00,9.88,863.75,0.00,32.50,5.21
2.621,2.50,10.27,95.00,0.00,28.75,5.21
2.642,0.00,10.08,897.50,0.00,31.25,5.21
2.661,92.50,10.71,633.75,0.92,28.75,5.21
2.680,2.50,10.17,710.00,0.00,26.25,5.21
2.700,0.00,9.70,892.50,0.09,27.50,5.21
2.720,12.50,10.23,90.00,0.00,31.25,5.21
2.739,1.25,9.84,727.50,0.00,31.25,5.21
2.759,-1.25,10.93,677.50,0.00,30.00,5.21
2.778,0.00,10.05,846.25,0.00,31.25,5.21
2.798,1.25,9.57,703.75,0.00,32.50,5.21
2.817,-1.25,11.82,906.25,0.00,31.25,5.21
2.837,0.00,9.72,853.75,0.00,30.00,5.21
2.856,1.25,11.09,678.75,0.00,31.25,5.21
2.876,1.25,10.05,897.50,0.00,31.25,5.21
2.895,-6.25,10.24,26.25,0.00,32.50,5.21
2.917,0.00,10.25,908.75,0.00,32.50,5.21
2.936,0.00,9.59,650.00,0.00,31.25,5.21
2.958,-1.25,10.99,900.00,0.00,31.25,5.21
2.978,0.00,9.75,820.00,0.00,31.25,5.21
2.998,0.00,10.36,612.50,0.00,31.25,5.21
3.017,-1.25,10.07,897.50,0.00,30.00,5.21
3.037,-1.25,10.24,80.00,0.00,30.00,5.21
3.056,1.25,10.18,903.75,0.00,31.25,5.21
3.075,1.25,9.73,890.00,0.00,32.50,5.21
3.095,-12.50,10.23,593.75,0.00,31.25,5.21
3.114,0.00,9.85,900.00,0.00,31.25,5.21
3.134,0.00,10.61,686.25,0.04,33.75,5.21
3.153,1.25,10.06,843.75,0.00,31.25,5.21
3.173,1.25,9.59,623.75,0.00,32.50,5.21
3.192,1.25,11.69,770.00,0.00,30.00,5.21
3.214,1.25,9.74,466.25,0.00,31.25,5.21
3.234,1.25,10.86,678.75,0.41,31.25,5.21
3.254,0.00,9.92,812.50,0.00,31.25,5.21
3.273,1.25,10.54,-25.00,0.00,32.50,5.21
3.292,2.50,10.31,898.75,0.00,31.25,5.21
3.312,0.00,9.61,531.25,1.29,31.25,5.21
3.331,0.00,10.31,-10.00,0.00,28.75,5.21
3.351,1.25,9.92,896.25,0.00,31.25,5.21
3.370,2.50,10.24,88.75,0.00,32.50,5.21
3.390,0.00,9.99,448.75,0.00,30.00,5.21
3.410,1.25,10.29,683.75,0.00,31.25,5.21
3.429,0.00,10.20,800.00,0.00,30.00,5.21
3.449,1.25,9.77,888.75,0.00,30.00,5.21
3.471,1.25,10.32,10.00,0.00,31.25,5.21
3.491,-1.25,9.97,892.50,0.00,31.25,5.21
3.511,2.50,10.33,548.75,1.41,33.75,5.21
3.530,0.00,10.02,582.50,0.00,30.00,5.21
3.551,0.00,10.24,672.50,0.01,31.25,5.21
3.571,7.50,10.21,848.75,0.00,32.50,5.21
3.590,0.00,9.70,885.00,0.00,31.25,5.21
3.609,1.25,10.51,685.00,0.00,31.25,5.21
3.629,0.00,9.88,813.75,0.00,31.25,5.21
3.648,1.25,10.31,680.00,0.00,32.50,5.21
3.668,1.25,10.21,905.00,0.00,30.00,5.21
3.687,0.00,9.60,412.50,0.00,30.00,5.21
3.707,0.00,11.35,776.25,0.00,31.25,5.21
3.727,1.25,9.77,821.25,0.00,32.50,5.21
3.747,2.50,10.33,601.25,0.00,32.50,5.21
3.766,0.00,10.02,898.75,0.00,31.25,5.21
3.786,1.25,10.30,211.25,0.14,28.75,5.21
3.805,0.00,10.23,843.75,0.00,32.50,5.21
3.824,0.00,9.81,883.75,0.00,31.25,5.21
3.844,-2.50,10.24,558.75,0.03,32.50,5.21
3.865,0.00,9.86,628.75,0.00,32.50,5.21
3.884,1.25,10.24,615.00,1.93,32.50,5.21
3.904,1.25,10.09,817.50,0.00,30.00,5.21
3.923,0.00,9.61,387.50,0.00,31.25,5.21
3.943,1.25,11.28,720.00,0.00,31.25,5.21
3.963,1.25,9.78,697.50,0.00,32.50,5.21
3.983,1.25,10.91,685.00,0.02,32.50,5.21
4.003,1.25,9.95,852.50,0.00,23.75,5.21
4.022,1.25,10.73,18.75,0.00,26.25,5.21
4.042,1.25,10.25,896.25,0.00,27.50,5.21
4.061,0.00,9.62,837.50,0.00,33.75,5.21
4.081,0.00,10.35,175.00,0.00,30.00,5.21
4.100,1.25,10.01,903.75,0.00,30.00,5.21
4.120,-6.25,10.25,132.50,0.00,31.25,5.21
4.139,1.25,10.05,903.75,0.00,32.50,5.21
4.159,1.25,9.66,680.00,0.00,32.50,5.21
4.180,1.25,10.35,895.00,0.00,30.00,5.21
4.199,1.25,9.83,893.75,0.00,31.25,5.21
4.218,0.00,10.78,372.50,0.83,30.00,5.21
4.238,0.00,9.95,465.00,0.00,32.50,5.21
4.258,-1.25,11.68,688.75,0.00,31.25,5.21
4.277,10.00,10.13,820.00,0.00,30.00,5.21
4.297,1.25,9.65,505.00,0.00,30.00,5.21
4.316,1.25,10.35,671.25,0.00,32.50,5.21
4.336,0.00,9.86,787.50,0.00,30.00,5.21
4.355,0.00,10.43,110.00,0.00,31.25,5.21
4.375,0.00,10.21,896.25,0.00,32.50,5.21
4.394,1.25,10.10,497.50,0.68,31.25,5.21
4.414,0.00,10.33,516.25,0.00,32.50,5.21
4.434,1.25,9.85,865.00,0.00,28.75,5.21
4.453,2.50,10.24,351.25,0.77,31.25,5.21
4.473,-1.25,9.95,456.25,0.00,30.00,5.21
4.495,10.00,10.25,603.75,0.00,32.50,5.21
4.516,1.25,10.09,901.25,0.00,32.50,5.21
