elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,13.19,700.00,0.00,32.50,5.21
0.059,1.25,13.67,543.75,0.00,31.25,5.21
0.092,0.00,13.67,717.50,0.00,32.50,5.21
0.118,1.25,12.54,732.50,0.25,32.50,4.55
0.143,0.00,13.38,600.00,0.26,32.50,5.21
0.173,-3.75,12.01,38.75,0.00,31.25,5.21
0.194,0.00,12.71,705.00,0.00,32.50,5.21
0.215,1.25,12.57,735.00,0.64,31.25,5.08
0.244,1.25,13.40,705.00,0.00,2455.00,5.21
0.268,0.00,12.09,83.75,0.00,2305.00,5.21
0.288,1.25,12.03,675.00,2.29,1628.75,5.21
0.308,1.25,12.13,136.25,0.00,587.50,5.20
0.329,-6.25,12.02,532.50,1.48,32.50,5.20
0.350,1.25,12.15,-90.00,0.00,20.00,5.21
0.369,0.00,13.96,673.75,0.00,31.25,5.21
0.389,0.00,12.08,368.75,1.88,27.50,5.20
0.408,0.00,12.07,-38.75,0.00,2323.75,5.20
0.428,-1.25,12.63,712.50,0.00,30.00,5.21
0.447,11.25,12.01,510.00,1.49,910.00,5.21
0.467,1.25,12.02,-6.25,0.00,38.75,5.22
0.486,-1.25,12.72,681.25,0.00,26.25,5.21
0.506,-11.25,12.02,376.25,1.89,313.75,5.21
0.525,-1.25,12.60,-23.75,0.00,535.00,4.87
0.545,2.50,14.12,740.00,0.16,27.50,5.21
0.565,3.75,12.01,523.75,1.57,27.50,5.08
0.585,-1.25,12.60,-13.75,0.00,26.25,5.21
0.606,7.50,12.02,88.75,0.00,1202.50,5.21
0.628,0.00,13.02,727.50,0.00,31.25,5.21
0.650,1.25,12.15,540.00,0.00,30.00,5.20
0.669,1.25,13.56,707.50,0.09,32.50,5.21
0.688,1.25,13.31,715.00,0.37,0.00,5.21
0.708,0.00,12.02,68.75,0.00,30.00,5.21
0.727,0.00,13.06,712.50,0.00,806.25,5.20
0.747,8.75,12.02,610.00,0.00,30.00,5.21
0.767,1.25,12.11,587.50,0.00,1201.25,5.21
0.786,2.50,12.19,693.75,0.09,25.00,5.21
0.806,0.00,12.01,95.00,0.00,22.50,5.24
0.825,1.25,12.35,327.50,0.00,26.25,5.21
0.845,0.00,13.91,707.50,0.00,145.00,4.85
0.865,2.50,12.01,581.25,0.00,32.50,5.21
0.884,1.25,12.11,301.25,0.00,31.25,4.88
0.903,0.00,12.75,713.75,0.05,27.50,5.21
0.923,3.75,12.02,90.00,0.00,30.00,5.21
0.942,1.25,12.66,330.00,0.00,31.25,5.14
0.963,2.50,12.58,627.50,4.12,31.25,5.07
0.982,1.25,12.10,46.25,0.00,28.75,5.21
1.002,2.50,12.13,302.50,0.00,31.25,5.21
1.021,1.25,14.08,671.25,3.37,30.00,5.21
1.041,25.00,12.02,10.00,0.00,31.25,5.21
1.060,2.50,13.17,288.75,0.00,30.00,5.21
1.080,-3.75,12.02,623.75,3.95,30.00,5.21
1.099,0.00,12.13,116.25,0.00,32.50,5.21
1.120,-1.25,14.10,698.75,0.24,30.00,5.21
1.140,13.75,12.02,70.00,0.00,31.25,5.21
1.160,1.25,13.05,688.75,0.00,31.25,5.21
1.179,-2.50,12.93,730.00,0.00,32.50,5.21
1.199,11.25,12.01,620.00,0.00,31.25,5.21
1.218,0.00,12.10,721.25,0.00,32.50,5.21
1.238,1.25,12.14,730.00,0.20,31.25,5.21
1.257,-2.50,12.04,48.75,0.00,30.00,5.21
1.285,1.25,12.10,703.75,0.13,30.00,5.09
1.305,-1.25,12.35,713.75,0.79,28.75,5.21
1.325,0.00,12.04,473.75,0.00,23.75,5.24
1.345,2.50,12.89,703.75,0.00,23.75,5.21
1.365,0.00,12.00,607.50,0.00,46.25,5.22
1.385,0.00,12.11,455.00,0.00,31.25,5.21
1.404,1.25,12.91,592.50,4.38,28.75,4.80
1.424,7.50,12.02,48.75,0.00,31.25,5.21
1.443,0.00,12.47,465.00,0.00,31.25,5.21
1.463,2.50,14.03,576.25,4.09,32.50,5.21
1.482,7.50,12.01,591.25,0.00,30.00,5.14
1.502,0.00,12.41,430.00,0.00,31.25,5.21
1.521,-2.50,12.02,620.00,4.10,33.75,5.21
1.541,1.25,12.02,-160.00,0.00,31.25,5.21
1.560,1.25,12.63,467.50,0.00,31.25,5.21
1.580,0.00,12.02,582.50,4.32,31.25,5.21
1.601,2.50,12.14,22.50,0.00,31.25,5.21
1.621,0.00,12.02,713.75,0.35,30.00,5.21
1.641,0.00,12.31,78.75,0.00,30.00,5.21
1.660,0.00,12.65,688.75,0.00,32.50,5.21
1.680,1.25,12.14,583.75,0.00,30.00,5.21
1.699,3.75,12.11,600.00,0.00,31.25,5.21
1.719,2.50,12.59,710.00,0.00,30.00,5.21
1.738,1.25,14.24,132.50,0.17,31.25,5.21
1.758,-1.25,12.02,26.25,0.00,31.25,5.21
1.777,0.00,13.20,720.00,0.00,32.50,5.21
1.797,-7.50,12.01,576.25,0.00,31.25,5.21
1.816,-1.25,12.12,620.00,0.00,32.50,5.21
1.836,-1.25,14.16,687.50,0.00,30.00,5.21
1.860,-1.25,13.45,726.25,0.00,31.25,5.21
1.882,11.25,12.00,297.50,0.00,32.50,5.21
1.902,0.00,12.10,687.50,0.17,32.50,5.21
1.922,3.75,12.01,51.25,0.00,31.25,5.21
1.943,0.00,13.31,640.00,0.00,31.25,5.21
1.963,-3.75,12.01,530.00,2.55,30.00,5.21
1.982,1.25,12.01,611.25,0.00,30.00,5.21
2.002,0.00,12.09,608.75,0.00,30.00,5.21
2.022,1.25,12.07,518.75,2.98,30.00,5.21
2.043,0.00,13.16,722.50,0.00,22.50,5.21
2.066,5.00,12.04,-20.00,0.00,32.50,5.21
2.086,1.25,12.74,705.00,0.18,30.00,5.21
2.108,-2.50,12.04,183.75,0.00,31.25,5.21
2.133,7.50,12.02,-32.50,0.00,28.75,5.21
2.153,1.25,12.50,711.25,1.32,31.25,5.21
2.174,0.00,12.02,28.75,0.00,31.25,5.21
2.195,-1.25,12.74,727.50,0.00,31.25,5.21
2.214,-28.75,12.01,607.50,0.00,31.25,5.21
2.234,0.00,12.10,338.75,0.00,31.25,5.21
2.253,-1.25,13.01,565.00,3.26,30.00,5.21
2.275,0.00,12.03,-63.75,0.00,31.25,5.21
2.294,0.00,13.09,730.00,0.00,31.25,5.21
2.314,6.25,12.02,546.25,2.52,30.00,5.21
2.334,2.50,12.10,43.75,0.00,31.25,5.21
2.354,2.50,13.47,710.00,0.70,32.50,5.21
2.375,5.00,12.03,56.25,0.00,32.50,5.21
2.394,0.00,13.18,703.75,0.00,31.25,5.21
