Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.021,3.75,9.9375,3293.75,9.74375,,
0.038,3.75,9.9375,3630.0,9.75125,0.0,0.0
0.052,-2.5,9.93625,3676.25,9.75375,0.0,0.0
0.062,0.0,9.932500000000001,3638.75,10.535,-1.25,0.00125
0.072,0.0,9.9375,3615.0,9.77375,-1.25,0.00125
0.082,1.25,9.93625,3632.5,9.727500000000001,-1.25,0.00125
0.093,-1.25,9.93875,3617.5,9.875,-1.25,0.00125
0.103,2.5,9.94125,3557.5,9.7475,-1.25,0.00125
0.113,2.5,9.94125,3652.5,9.74625,0.0,0.0
0.124,5.0,9.93625,3556.25,9.7425,0.0,0.0
0.134,1.25,9.9475,3672.5,9.47625,0.0,0.0
0.144,1.25,9.93875,3595.0,9.40875,0.0,0.0
0.155,1.25,9.93875,3077.5,9.7425,0.0,0.0
0.165,1.25,9.93875,3593.75,8.575000000000001,0.0,0.0
0.176,0.0,9.94125,3537.5,9.75,0.0,0.0
0.186,2855.0,9.06875,3583.75,9.735,0.0,0.0
0.196,3903.75,9.01125,3630.0,9.762500000000001,0.0,0.0
0.207,3417.5,9.12875,3623.75,9.74125,0.0,0.0
0.217,3417.5,9.12875,3015.0,9.72875,-1.25,0.0
0.227,4040.0,8.98875,3612.5,8.838750000000001,-1.25,0.0
0.237,4057.5,8.95625,2400.0,9.557500000000001,-1.25,0.0
0.248,4055.0,8.96,3135.0,9.74625,-1.25,0.0
0.258,3816.25,8.96,3630.0,9.75,-1.25,0.0
0.268,4115.0,8.9625,3411.25,9.72875,-1.25,0.0025
0.279,4113.75,8.95875,2836.25,9.7475,-1.25,0.0025
0.289,4108.75,8.97,2568.75,8.435,-1.25,0.0025
0.299,3827.5,8.96625,3615.0,9.74875,-1.25,0.0025
0.310,4108.75,8.950000000000001,3600.0,10.835,-1.25,0.0025
0.320,4108.75,8.950000000000001,2677.5,9.74125,0.0,0.00125
0.330,4113.75,8.950000000000001,3023.75,9.75375,0.0,0.00125
0.341,4110.0,8.94,3602.5,9.73625,0.0,0.00125
0.351,3883.75,8.97125,3602.5,9.73625,0.0,0.00125
0.361,3776.25,8.96625,3607.5,9.74,0.0,0.00125
0.371,4113.75,8.96,2521.25,9.745000000000001,0.0,0.0
0.382,4118.75,8.96125,2946.25,9.75,0.0,0.0
0.392,4018.75,8.96125,3632.5,9.731250000000001,0.0,0.0
0.402,3907.5,8.97,3618.75,9.9125,0.0,0.0
0.412,4130.0,8.95875,3618.75,9.9125,0.0,0.0
0.423,3977.5,8.965,2926.25,9.745000000000001,0.0,0.0
0.433,3933.75,8.95625,3620.0,9.74875,0.0,0.0
0.443,3711.25,8.9475,3651.25,10.26,0.0,0.0
0.453,3808.75,8.96,3631.25,10.55625,0.0,0.0
0.464,4117.5,8.963750000000001,3631.25,10.55625,0.0,0.0
0.474,4110.0,8.9675,3591.25,9.20875,0.0,0.0
0.484,3836.25,8.963750000000001,3660.0,9.4725,0.0,0.0
0.494,3781.25,8.9725,3648.75,8.2675,0.0,0.0
0.505,4111.25,8.9725,2.5,11.045,0.0,0.0
0.515,4116.25,8.981250000000001,2.5,11.045,-1.25,0.00125
0.525,4106.25,8.963750000000001,0.0,10.55875,-1.25,0.00125
0.536,4113.75,8.965,-1.25,10.575000000000001,-1.25,0.00125
0.546,4102.5,8.96875,-7.5,10.5375,-1.25,0.00125
0.556,4107.5,8.96,-1.25,10.28625,-1.25,0.00125
0.567,4125.0,8.97,-1.25,10.28625,0.0,0.00125
0.577,4118.75,8.950000000000001,-1.25,10.555,0.0,0.00125
0.587,4086.25,8.9475,-7.5,10.5975,0.0,0.00125
0.597,3970.0,8.9575,1.25,10.5775,0.0,0.00125
0.608,4125.0,8.9675,-6.25,9.887500000000001,0.0,0.00125
0.618,4112.5,8.96125,-20.0,10.18625,0.0,0.005
0.628,4112.5,8.96125,0.0,9.9825,0.0,0.005
0.638,4090.0,8.96125,6.25,10.51,0.0,0.005
0.649,4010.0,8.95875,1.25,10.557500000000001,0.0,0.005
0.659,4123.75,8.9575,0.0,10.465,0.0,0.005
0.669,4116.25,8.97125,0.0,10.465,0.0,0.0
0.680,4117.5,8.96875,0.0,10.03625,0.0,0.0
0.690,4122.5,8.963750000000001,0.0,9.44375,0.0,0.0
0.700,4110.0,8.9575,-76.25,10.508750000000001,0.0,0.0
0.710,4102.5,8.97,118.75,10.5725,0.0,0.0
0.721,4106.25,8.97,-7.5,9.61875,0.0,0.00125
0.731,4061.25,8.97,0.0,10.15,0.0,0.00125
0.741,4030.0,8.96875,-11.25,11.5825,0.0,0.00125
0.751,4117.5,8.96625,-3.75,10.5725,0.0,0.00125
0.762,4117.5,8.94375,-1.25,10.9675,0.0,0.00125
0.772,3870.0,8.965,-2.5,10.42,0.0,0.0
0.782,4111.25,8.965,1.25,10.1925,0.0,0.0
0.792,4113.75,8.98,-36.25,10.04625,0.0,0.0
0.803,4103.75,8.963750000000001,-6.25,10.57625,0.0,0.0
0.813,4103.75,8.963750000000001,0.0,10.52375,-1.25,0.0
0.823,4082.5,8.9675,-165.0,10.99875,-1.25,0.0
0.833,4116.25,8.977500000000001,-5.0,10.3575,-1.25,0.0
0.844,4092.5,8.96,12.5,10.133750000000001,-1.25,0.0
0.854,4113.75,8.9675,5.0,9.955,-1.25,0.0
