elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
0.000,1.25,9.70,531.25,0.00,0.00,1.39
0.061,1.25,10.08,226.25,0.00,-1.25,1.31
0.098,0.00,9.64,386.25,0.00,-1.25,1.32
0.136,1.25,9.87,778.75,0.00,-1.25,1.31
0.176,47.50,10.04,743.75,0.00,1.25,1.31
0.215,1.25,10.03,-47.50,0.00,0.00,1.33
0.253,0.00,10.70,545.00,0.00,-1.25,1.34
0.291,0.00,9.44,516.25,0.64,-2.50,1.35
0.328,0.00,9.67,751.25,0.00,-1.25,1.36
0.366,1.25,9.84,351.25,0.00,-1.25,1.36
0.406,1.25,10.42,767.50,0.00,1.25,1.37
0.445,65.00,10.17,696.25,0.00,0.00,1.39
0.481,1.25,10.04,-100.00,0.00,1.25,1.40
0.519,2.50,9.52,656.25,0.00,0.00,1.31
0.557,1.25,9.65,881.25,0.00,0.00,1.37
0.603,0.00,9.61,447.50,1.14,-1.25,1.35
0.651,1.25,9.46,41.25,1.64,0.00,1.34
0.710,0.00,9.42,676.25,0.00,1.25,1.35
0.747,0.00,9.65,776.25,0.00,0.00,1.38
0.784,1.25,9.83,645.00,0.33,0.00,1.37
0.825,3703.75,9.46,488.75,0.00,0.00,1.39
0.863,3963.75,10.11,278.75,0.00,-1.25,1.38
0.902,3866.25,9.61,12.50,0.00,-1.25,1.38
0.943,3860.00,9.22,442.50,0.00,-1.25,1.36
0.980,4003.75,9.19,45.00,0.00,0.00,1.36
1.026,3293.75,10.15,468.75,0.00,-1.25,1.33
1.071,2123.75,10.07,-171.25,0.00,-1.25,1.33
1.112,0.00,9.76,727.50,0.00,0.00,1.35
1.149,0.00,9.68,800.00,0.00,-1.25,1.35
1.188,0.00,9.70,678.75,0.00,-2.50,1.37
1.224,0.00,9.61,95.00,0.00,1.25,1.40
1.262,1.25,10.09,635.00,0.00,0.00,1.33
1.298,2.50,10.07,86.25,0.00,-1.25,1.36
1.338,0.00,10.00,885.00,0.00,0.00,1.37
1.385,3.75,10.77,736.25,0.00,0.00,1.38
1.423,0.00,10.02,-27.50,0.00,0.00,1.38
1.462,1.25,9.38,538.75,0.00,0.00,1.35
1.499,1.25,9.62,578.75,0.00,0.00,1.38
1.540,3242.50,9.43,-36.25,0.58,-1.25,1.39
1.579,4007.50,10.15,456.25,0.00,1.25,1.32
1.614,4115.00,9.18,382.50,1.26,-1.25,1.32
1.655,3486.25,10.26,77.50,0.00,0.00,1.31
1.696,3875.00,10.12,445.00,0.00,1.25,1.33
1.733,4090.00,9.18,350.00,1.23,0.00,1.34
1.770,4116.25,10.04,298.75,0.00,-1.25,1.35
1.808,4113.75,9.18,33.75,0.00,0.00,1.37
1.844,3743.75,9.22,473.75,0.49,-1.25,1.39
1.881,4111.25,9.46,78.75,0.00,1.25,1.39
1.920,4110.00,9.18,-91.25,0.00,-1.25,1.38
1.964,1.25,11.58,645.00,0.00,0.00,1.38
2.005,2.50,10.10,753.75,0.00,-1.25,1.32
2.055,1.25,11.84,461.25,0.00,0.00,1.31
2.099,2.50,10.02,-56.25,0.00,0.00,1.32
2.133,1.25,9.54,368.75,0.00,-1.25,1.34
2.169,-300.00,9.86,682.50,0.00,0.00,1.32
2.214,4076.25,9.94,342.50,0.00,-1.25,1.34
2.252,3446.25,9.25,471.25,0.38,1.25,1.34
2.290,4196.25,9.65,28.75,0.00,0.00,1.35
2.328,3650.00,9.22,496.25,0.00,1.25,1.36
2.364,4195.00,9.96,258.75,0.00,-1.25,1.39
2.402,4103.75,9.14,472.50,0.40,1.25,1.38
2.440,4190.00,10.03,82.50,0.00,-2.50,1.31
2.476,3968.75,9.14,480.00,0.66,-1.25,1.32
2.514,4192.50,10.04,132.50,0.00,-1.25,1.33
2.552,3922.50,9.18,472.50,0.40,1.25,1.34
2.589,4196.25,10.18,343.75,0.00,0.00,1.36
2.626,4195.00,9.18,488.75,0.53,-2.50,1.37
2.664,4193.75,9.73,78.75,0.00,1.25,1.38
2.703,3846.25,9.21,337.50,0.00,-1.25,1.39
2.743,4135.00,9.14,478.75,0.59,-1.25,1.36
2.780,4197.50,9.88,20.00,0.00,-1.25,1.31
2.817,4191.25,9.15,73.75,0.80,0.00,1.32
2.854,3931.25,9.38,478.75,0.00,0.00,1.33
2.892,4192.50,9.14,486.25,0.56,0.00,1.34
2.930,4198.75,10.06,38.75,0.69,-2.50,1.34
2.970,3772.50,9.21,472.50,1.17,0.00,1.36
3.010,4183.75,9.19,121.25,0.00,-1.25,1.32
3.053,3947.50,9.20,308.75,0.00,-1.25,1.33
3.092,4192.50,9.13,477.50,0.00,-1.25,1.33
3.132,3835.00,9.86,468.75,0.44,-1.25,1.33
3.172,4070.00,10.05,313.75,0.00,-1.25,1.33
3.211,4195.00,10.33,658.75,1.39,0.00,1.31
3.256,3883.75,9.28,-153.75,0.00,-1.25,1.32
3.294,3892.50,9.31,483.75,0.00,-1.25,1.33
3.334,4096.25,9.16,-8.75,0.00,1.25,1.34
3.370,3816.25,9.49,457.50,0.00,0.00,1.36
3.407,4095.00,9.16,102.50,0.00,-1.25,1.37
3.444,3648.75,9.17,461.25,0.00,0.00,1.39
3.482,4105.00,9.88,270.00,0.00,-1.25,1.38
3.519,3766.25,9.23,463.75,0.28,0.00,1.32
3.554,4107.50,10.09,315.00,0.00,1.25,1.33
3.591,4106.25,9.80,460.00,0.68,0.00,1.34
3.630,4100.00,10.09,186.25,0.00,-1.25,1.35
3.668,4113.75,9.15,150.00,0.41,0.00,1.37
3.705,4105.00,9.99,342.50,0.00,-1.25,1.37
3.744,3932.50,9.15,462.50,0.59,0.00,1.32
3.779,3353.75,9.53,448.75,0.00,1.25,1.32
3.817,4107.50,9.16,201.25,0.86,1.25,1.32
3.855,3953.75,9.67,385.00,0.00,-1.25,1.33
3.892,4092.50,9.16,65.00,0.48,-1.25,1.33
3.930,4108.75,10.07,445.00,0.00,1.25,1.35
3.968,4080.00,9.15,340.00,1.23,0.00,1.36
