Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.005,,,,,,
0.021,0.0,9.96875,-3.75,10.645,1.25,0.00375
0.033,0.0,9.96875,-3.75,10.645,1.25,0.00375
0.052,0.0,9.98625,-2.5,10.7225,1.25,0.00375
0.062,1.25,9.97375,0.0,10.637500000000001,1.25,0.00125
0.073,0.0,9.98,1738.75,3.4375,1.25,0.00125
0.083,1.25,9.97375,1887.5,0.0,1.25,0.00125
0.093,2.5,9.97625,-20.0,4.2700000000000005,1.25,0.00125
0.104,-1.25,9.965,3045.0,10.450000000000001,1.25,0.00125
0.114,0.0,9.97875,3572.5,9.84875,0.0,0.0
0.124,1.25,9.9725,3502.5,9.8725,0.0,0.0
0.135,1.25,9.97125,3382.5,9.93,0.0,0.0
0.145,1.25,9.96,3452.5,9.901250000000001,0.0,0.0
0.155,2.5,9.96625,3551.25,9.852500000000001,0.0,0.0
0.165,5.0,9.97125,3551.25,9.852500000000001,-2.5,0.0025
0.176,1.25,9.96125,3746.25,9.81,-2.5,0.0025
0.186,1.25,9.97375,3713.75,9.82,-2.5,0.0025
0.196,2.5,9.96625,3780.0,9.80875,-2.5,0.0025
0.206,-3.75,9.981250000000001,3780.0,9.80875,-2.5,0.0025
0.217,-3.75,9.981250000000001,3810.0,9.80125,0.0,0.005
0.227,0.0,10.008750000000001,3741.25,9.606250000000001,0.0,0.005
0.237,1.25,9.985,3783.75,9.37375,0.0,0.005
0.247,2.5,9.97625,3665.0,9.79875,0.0,0.005
0.257,1.25,9.975,3751.25,9.80125,0.0,0.005
0.268,2.5,9.981250000000001,3751.25,9.80125,0.0,0.00625
0.278,0.0,9.97,3803.75,10.1725,0.0,0.00625
0.289,1.25,9.97375,3792.5,9.8,0.0,0.00625
0.299,3.75,9.98,3432.5,9.807500000000001,0.0,0.00625
0.309,-1.25,9.9675,3796.25,10.0925,0.0,0.00625
0.320,-1.25,9.9675,3796.25,10.0925,-1.25,0.0
0.330,3.75,9.975,3672.5,9.80875,-1.25,0.0
0.340,1.25,9.97875,3613.75,9.7975,-1.25,0.0
0.350,0.0,9.96875,3815.0,9.76875,-1.25,0.0
0.361,0.0,9.9725,3815.0,9.76875,-1.25,0.0
0.371,0.0,9.9725,3840.0,9.79625,-1.25,0.00625
0.381,1.25,9.977500000000001,3595.0,9.79875,-1.25,0.00625
0.391,0.0,9.9875,3481.25,9.76375,-1.25,0.00625
0.402,0.0,9.97625,3835.0,9.78875,-1.25,0.00625
0.412,0.0,9.981250000000001,3813.75,9.80375,-1.25,0.00625
0.422,1.25,9.97625,3353.75,9.8,-2.5,0.00375
0.432,2.5,9.977500000000001,3846.25,9.7725,-2.5,0.00375
0.443,2.5,9.97875,3796.25,9.790000000000001,-2.5,0.00375
0.453,-1.25,9.98,3848.75,10.4725,-2.5,0.00375
0.463,2.5,9.97375,3778.75,9.79875,-2.5,0.00375
0.474,2.5,9.97375,3778.75,9.79875,-1.25,0.0
0.484,1.25,9.39,3801.25,9.887500000000001,-1.25,0.0
0.494,3303.75,9.10125,3792.5,9.30875,-1.25,0.0
0.504,3570.0,9.15375,3547.5,9.543750000000001,-1.25,0.0
0.515,3570.0,9.15375,3547.5,9.543750000000001,0.0,0.0025
0.525,3046.25,9.13,3770.0,9.81625,0.0,0.0025
0.536,3642.5,9.0825,3781.25,9.74125,0.0,0.0025
0.546,3802.5,9.09375,3776.25,9.7875,0.0,0.0025
0.556,3612.5,9.085,3020.0,9.80875,0.0,0.0025
0.566,3835.0,9.06125,3820.0,9.8225,0.0,0.00375
0.577,3833.75,9.07625,3815.0,10.445,0.0,0.00375
0.587,3832.5,9.0675,3825.0,8.76875,0.0,0.00375
0.597,3845.0,9.07625,3.75,10.64,0.0,0.00375
0.608,3818.75,9.08,-1.25,10.67875,0.0,0.00375
0.618,3855.0,9.08125,-3.75,10.69125,1.25,0.0025
0.628,3845.0,9.095,3.75,10.5975,1.25,0.0025
0.638,3835.0,9.07875,-2.5,10.38625,1.25,0.0025
0.649,3845.0,9.085,92.5,10.68125,1.25,0.0025
0.659,3838.75,9.0825,-1.25,10.65625,1.25,0.0025
0.669,3838.75,9.08625,-1.25,10.477500000000001,1.25,0.00375
0.680,3840.0,9.0925,-1.25,10.0225,1.25,0.00375
0.690,3850.0,9.0875,-8.75,10.02375,1.25,0.00375
0.700,3831.25,9.08625,0.0,10.6575,1.25,0.00375
0.711,3793.75,9.0825,0.0,10.65,1.25,0.00375
0.721,3852.5,9.08375,-5.0,10.7175,-1.25,0.00375
0.731,3836.25,9.075000000000001,-8.75,10.475,-1.25,0.00375
0.741,3847.5,9.0825,33.75,10.255,-1.25,0.00375
0.752,3843.75,9.08,-6.25,10.03125,-1.25,0.00375
0.762,3835.0,9.08375,0.0,10.262500000000001,-1.25,0.00375
0.772,3840.0,9.07875,-8.75,10.64625,1.25,0.00375
0.783,3840.0,9.07875,6.25,10.651250000000001,1.25,0.00375
0.793,3843.75,9.09,-7.5,10.543750000000001,1.25,0.00375
0.803,3837.5,9.08375,-2.5,10.2725,1.25,0.00375
0.813,3848.75,9.08125,-2.5,10.34125,1.25,0.00375
