Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.014,1.25,10.0375,-1.25,10.8025,,
0.039,1.25,10.0375,-1.25,10.8025,0.0,0.0
0.053,1.25,10.03875,-5.0,10.2325,0.0,0.0
0.063,0.0,10.03375,-1.25,10.7675,-1.25,0.005
0.074,1.25,10.03375,-1.25,9.765,-1.25,0.005
0.084,1.25,10.03375,1133.75,0.0,-1.25,0.005
0.094,1.25,10.03375,158.75,0.0,-1.25,0.005
0.104,1.25,10.03375,2936.25,9.99125,-1.25,0.005
0.115,0.0,10.0325,2936.25,9.99125,0.0,0.0025
0.125,2.5,10.0325,3632.5,10.06,0.0,0.0025
0.135,1.25,10.0325,3567.5,9.981250000000001,0.0,0.0025
0.146,2.5,10.02375,3493.75,9.94375,0.0,0.0025
0.156,0.0,10.026250000000001,3262.5,9.93,0.0,0.0025
0.166,0.0,10.026250000000001,3812.5,9.68,-1.25,0.00375
0.176,0.0,10.03875,3828.75,9.84125,-1.25,0.00375
0.187,0.0,10.02875,3891.25,9.901250000000001,-1.25,0.00375
0.197,0.0,10.02875,3965.0,9.895,-1.25,0.00375
0.207,2.5,10.03875,3987.5,9.90375,-1.25,0.00375
0.217,2.5,10.03875,3987.5,9.90375,0.0,0.00125
0.228,1.25,10.02875,3961.25,9.8975,0.0,0.00125
0.238,0.0,10.03375,3683.75,9.883750000000001,0.0,0.00125
0.248,1.25,10.0375,3628.75,9.905,0.0,0.00125
0.258,1.25,10.0375,3997.5,9.90375,0.0,0.00125
0.269,1.25,10.035,3262.5,9.91,-1.25,0.00375
0.279,0.0,10.043750000000001,3978.75,9.89125,-1.25,0.00375
0.289,0.0,10.05125,4001.25,9.88,-1.25,0.00375
0.300,-1.25,10.045,4020.0,9.88625,-1.25,0.00375
0.310,0.0,10.03625,3998.75,9.9875,-1.25,0.00375
0.320,1.25,10.04125,3861.25,9.87875,-1.25,0.005
0.330,0.0,10.04125,3367.5,9.8925,-1.25,0.005
0.341,2.5,10.043750000000001,3636.25,9.883750000000001,-1.25,0.005
0.351,1.25,10.04875,4001.25,9.92,-1.25,0.005
0.362,0.0,10.035,3993.75,9.8975,-1.25,0.005
0.372,0.0,10.035,3935.0,9.870000000000001,0.0,0.00375
0.382,1.25,10.04125,3882.5,9.9025,0.0,0.00375
0.392,-1.25,10.03125,3625.0,9.86625,0.0,0.00375
0.403,-1.25,10.03625,4010.0,9.91,0.0,0.00375
0.413,0.0,10.03625,3997.5,9.735,0.0,0.00375
0.423,0.0,10.01625,4005.0,9.88,0.0,0.0
0.434,1.25,10.0275,4007.5,9.89875,0.0,0.0
0.444,1.25,10.03,3998.75,9.895,0.0,0.0
0.454,5.0,10.040000000000001,4008.75,9.9,0.0,0.0
0.464,1.25,10.0375,3958.75,9.89625,0.0,0.0
0.475,0.0,10.043750000000001,4022.5,9.92875,1.25,0.0
0.485,2.5,10.03375,4020.0,9.88625,1.25,0.0
0.495,1.25,10.03125,4015.0,9.91375,1.25,0.0
0.505,2.5,10.040000000000001,4077.5,9.83,1.25,0.0
0.516,5.0,10.040000000000001,3936.25,9.89375,1.25,0.0
0.526,0.0,10.035,4010.0,9.8825,-1.25,0.0
0.536,0.0,10.0225,4032.5,9.91,-1.25,0.0
0.547,0.0,10.025,4012.5,10.11625,-1.25,0.0
0.557,-1.25,10.043750000000001,3955.0,9.475,-1.25,0.0
0.567,-1.25,10.03,3928.75,9.89125,-1.25,0.0
0.577,1.25,10.0275,3956.25,9.97,-1.25,0.0
0.588,1.25,10.03,4021.25,9.885,-1.25,0.0
0.598,2.5,10.03125,4053.75,9.895,-1.25,0.0
0.608,0.0,10.03125,3902.5,9.69375,-1.25,0.0
0.618,0.0,10.0275,3667.5,9.90375,0.0,0.0025
0.629,1.25,10.0325,4026.25,9.9025,0.0,0.0025
0.639,1.25,10.026250000000001,4023.75,9.88875,0.0,0.0025
0.649,-1.25,10.03375,3952.5,9.88875,0.0,0.0025
0.659,2.5,10.0325,3952.5,9.88875,0.0,0.0025
0.670,-1.25,10.03625,3995.0,9.915000000000001,-1.25,0.00375
0.680,2.5,10.0375,4012.5,9.89375,-1.25,0.00375
0.690,2.5,10.03,4000.0,9.905,-1.25,0.00375
0.700,1.25,10.0375,4030.0,9.43875,-1.25,0.00375
0.711,1.25,10.02875,4030.0,9.43875,-1.25,0.00375
0.721,1.25,10.0325,3386.25,9.885,0.0,0.005
0.731,2.5,10.0375,4015.0,9.9,0.0,0.005
0.741,2.5,10.0425,4027.5,9.94375,0.0,0.005
0.752,1.25,10.035,4036.25,10.195,0.0,0.005
0.762,-1.25,10.0375,4036.25,10.195,0.0,0.005
0.772,0.0,10.0375,4010.0,9.93875,0.0,0.0
0.783,1.25,10.025,3986.25,9.76125,0.0,0.0
0.793,2.5,10.040000000000001,3938.75,9.76,0.0,0.0
0.803,-1.25,10.03875,3983.75,9.8975,0.0,0.0
0.814,0.0,10.0425,3983.75,9.8975,0.0,0.0
0.824,3.75,10.03125,4017.5,9.45375,1.25,0.0025
0.834,1.25,10.043750000000001,3998.75,10.215,1.25,0.0025
0.845,0.0,10.03,3881.25,9.885,1.25,0.0025
0.855,1.25,10.03625,4018.75,9.885,1.25,0.0025
0.865,-1.25,10.02875,4018.75,9.885,-1.25,0.00375
0.876,0.0,10.03875,4023.75,9.89375,-1.25,0.00375
0.886,-1.25,10.0375,3950.0,9.82,-1.25,0.00375
0.896,0.0,10.035,3852.5,9.87875,-1.25,0.00375
0.907,1.25,10.0375,4016.25,9.88625,-1.25,0.00375
0.917,0.0,10.03,4008.75,9.89625,1.25,0.00625
0.927,1.25,10.035,4043.75,9.89375,1.25,0.00625
0.937,0.0,10.0375,4000.0,9.5725,1.25,0.00625
0.948,-1.25,10.03125,3337.5,9.89375,1.25,0.00625
0.958,-1.25,10.03125,4016.25,9.90625,1.25,0.00625
0.968,1.25,10.035,4016.25,9.90625,-1.25,0.0
0.979,-2.5,10.02875,3537.5,9.89125,-1.25,0.0
0.989,1.25,10.0375,3862.5,9.90875,-1.25,0.0
0.999,1.25,10.04125,4017.5,9.89875,-1.25,0.0
1.010,1.25,10.04125,4021.25,9.95375,-1.25,0.0
1.020,0.0,10.02875,4021.25,9.95375,-1.25,0.0
1.030,0.0,10.0425,4031.25,9.95375,-1.25,0.0
1.040,0.0,10.0375,4000.0,10.06875,-1.25,0.0
1.051,-1.25,10.0375,4012.5,9.6275,-1.25,0.0
1.061,-1.25,10.0375,4007.5,9.885,-1.25,0.0
1.071,3.75,10.0375,4007.5,9.885,-1.25,0.0
1.081,2.5,10.03125,4031.25,9.887500000000001,-1.25,0.0
1.092,0.0,10.04125,4043.75,9.88875,-1.25,0.0
1.102,3.75,10.035,4053.75,10.18,-1.25,0.0
1.112,3.75,10.035,4053.75,10.18,-1.25,0.0
1.123,0.0,10.03,3998.75,9.94,0.0,0.0
1.133,1.25,10.03375,4032.5,9.88625,0.0,0.0
1.143,1.25,10.0375,3936.25,9.6575,0.0,0.0
1.153,0.0,10.025,4002.5,9.87625,0.0,0.0
1.164,0.0,10.025,3715.0,9.9125,0.0,0.0
1.174,1.25,10.03625,4012.5,9.90625,2.5,0.00125
1.184,2.5,10.0375,4013.75,10.10125,2.5,0.00125
1.194,1.25,10.03375,3972.5,10.02375,2.5,0.00125
1.205,0.0,10.03625,3802.5,9.2125,2.5,0.00125
1.215,0.0,10.03625,4047.5,9.88125,2.5,0.00125
1.225,1.25,10.035,3995.0,9.79875,0.0,0.0
1.236,0.0,10.03125,3988.75,9.87375,0.0,0.0
1.246,1.25,10.03625,4001.25,9.92,0.0,0.0
1.256,0.0,10.03,3906.25,9.88625,0.0,0.0
1.266,0.0,10.03,4001.25,9.9475,-1.25,0.00125
1.277,0.0,10.035,4025.0,10.0525,-1.25,0.00125
1.287,0.0,10.0375,4018.75,9.8925,-1.25,0.00125
1.297,0.0,10.043750000000001,3970.0,9.75,-1.25,0.00125
1.308,-1.25,10.03375,3696.25,9.89,-1.25,0.00125
1.318,-1.25,10.03375,4027.5,9.42125,0.0,0.0025
1.328,1.25,10.035,3951.25,9.885,0.0,0.0025
1.339,1.25,10.03625,4043.75,9.89,0.0,0.0025
1.349,1.25,10.03375,3940.0,9.883750000000001,0.0,0.0025
1.359,0.0,10.035,4025.0,9.895,0.0,0.0025
1.369,2.5,10.03625,3973.75,10.22875,0.0,0.005
1.380,0.0,10.03625,4008.75,9.70625,0.0,0.005
1.390,1.25,10.040000000000001,3948.75,9.8,0.0,0.005
1.400,-1.25,10.026250000000001,3877.5,9.88875,0.0,0.005
1.411,2.5,10.03375,4043.75,9.91,0.0,0.005
1.421,-1.25,10.040000000000001,4028.75,9.89,-1.25,0.0
1.431,1.25,10.0375,3967.5,9.89,-1.25,0.0
1.441,1.25,10.03,3972.5,9.87875,-1.25,0.0
1.452,2.5,10.0325,3513.75,9.87375,-1.25,0.0
1.462,2.5,10.0325,4021.25,9.89125,-1.25,0.0
1.474,1.25,10.035,4012.5,9.883750000000001,-1.25,0.0
1.484,1.25,10.026250000000001,3388.75,9.89,-1.25,0.0
1.497,0.0,10.0325,3867.5,9.895,-1.25,0.0
1.509,1.25,10.0375,3761.25,9.885,-1.25,0.0
1.519,2.5,10.03875,3761.25,9.885,0.0,0.00375
1.530,0.0,10.03625,4016.25,9.8825,0.0,0.00375
1.540,1.25,10.04875,4016.25,9.8825,0.0,0.00375
1.550,1.25,10.04875,4041.25,9.88,0.0,0.00375
1.561,0.0,10.03,4006.25,9.89375,0.0,0.00375
1.571,2.5,10.03125,3958.75,9.9025,0.0,0.0
1.581,2.5,10.02375,4023.75,9.90375,0.0,0.0
1.592,2.5,10.02375,3975.0,9.37375,0.0,0.0
1.602,1.25,10.03375,4043.75,9.89125,0.0,0.0
1.612,1.25,10.03375,4042.5,9.9025,0.0,0.0
1.623,1.25,10.03125,4042.5,9.9025,0.0,0.0
1.633,1.25,10.0375,3967.5,9.96125,0.0,0.0
1.644,1.25,10.04125,4065.0,9.8825,0.0,0.0
1.655,1.25,10.026250000000001,3996.25,9.87625,0.0,0.0
1.665,0.0,10.03875,4023.75,10.13125,0.0,0.0
1.676,1.25,10.040000000000001,4053.75,9.90375,1.25,0.0
1.686,0.0,10.04125,4006.25,10.05125,1.25,0.0
1.696,1.25,10.03125,4000.0,9.8825,1.25,0.0
1.709,0.0,10.04875,3961.25,9.8825,1.25,0.0
1.720,0.0,10.04875,3353.75,9.88,1.25,0.0
1.730,0.0,10.040000000000001,3987.5,9.87875,0.0,0.0025
1.740,1.25,10.04125,3995.0,9.85875,0.0,0.0025
1.752,1.25,10.04125,3480.0,9.89375,0.0,0.0025
1.765,-1.25,10.03625,4010.0,9.88625,0.0,0.0025
1.775,-1.25,10.03625,4010.0,9.88625,0.0,0.0025
1.788,3.75,10.0425,4037.5,9.88625,0.0,0.0025
1.801,-2.5,10.04125,4022.5,9.887500000000001,0.0,0.0025
1.812,2.5,10.03,3995.0,9.885,0.0,0.0025
