Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.014,3857.5,11.540000000000001,,,1.25,0.00125
0.026,3857.5,11.543750000000001,-1.25,0.00125,1.25,0.00125
0.036,3860.0,11.54125,,,1.25,0.00125
0.046,3860.0,11.543750000000001,-1.25,0.005,1.25,0.00125
0.056,3865.0,11.535,-1.25,0.005,1.25,0.00125
0.067,3860.0,11.53875,-1.25,0.0075,,0.005
0.077,3857.5,11.5425,-2.5,,,0.005
0.088,3858.75,11.535,-1.25,0.00875,,0.005
0.098,3860.0,11.540000000000001,,,,0.005
0.109,3865.0,11.53875,,0.00375,-1.25,
0.119,3862.5,11.5425,,0.005,-1.25,
0.130,3861.25,11.53875,,,-1.25,
0.140,3863.75,11.5375,,0.0125,-1.25,
0.150,3860.0,11.53875,,,-1.25,
0.161,3860.0,11.53875,,0.00875,-1.25,
0.171,3857.5,11.53875,,0.015,,0.0025
0.181,3860.0,11.5425,,,,0.0025
0.191,3862.5,11.53875,,0.0075,,0.0025
0.202,3861.25,11.540000000000001,,,,0.0025
0.212,3861.25,11.540000000000001,-1.25,0.00125,,0.0025
0.222,3861.25,11.5375,1.25,0.00875,,0.0025
0.232,3860.0,11.53875,-1.25,,,0.0025
0.243,3861.25,11.53375,,0.005,,0.0025
0.253,3857.5,11.543750000000001,-1.25,0.00875,,0.0025
0.263,3856.25,11.54125,-1.25,,,0.0025
0.274,3858.75,11.53875,,0.00625,,0.0025
0.284,3861.25,11.540000000000001,,0.0075,,0.0025
0.294,3860.0,11.5425,1.25,0.00375,,0.0025
0.304,3861.25,11.54875,,0.0025,,0.0025
0.315,3857.5,11.53625,,,,0.0025
0.325,3860.0,11.5425,,0.00625,-1.25,0.0025
0.336,3858.75,11.545,1.25,,-1.25,0.0025
0.346,3845.0,12.4275,,,-1.25,0.0025
0.356,3845.0,12.4275,,,-1.25,0.0025
0.367,1.25,12.49125,-1.25,,-1.25,0.00375
