elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,10.90,712.50,0.00,-1.25,1.39
0.149,1.25,10.11,693.75,0.00,-1.25,1.36
0.315,2.50,9.48,625.00,0.00,0.00,1.36
0.463,0.00,9.47,698.75,0.00,0.00,1.32
0.611,1.25,10.19,880.00,1.46,0.00,1.40
0.774,1.25,9.76,696.25,0.00,0.00,1.38
0.991,3747.50,9.24,30.00,0.00,-1.25,1.34
1.104,4106.25,9.25,467.50,0.00,-1.25,1.31
1.299,1.25,9.81,878.75,0.00,-1.25,1.37
1.506,1.25,11.29,751.25,0.17,0.00,1.36
1.642,55.00,9.68,511.25,0.00,0.00,1.40
1.850,0.00,10.88,566.25,0.00,0.00,1.34
1.956,1.25,9.75,533.75,0.00,-1.25,1.35
2.092,1.25,6.95,491.25,0.91,-1.25,1.32
2.225,3993.75,9.21,470.00,0.82,-1.25,1.31
2.386,3438.75,9.33,338.75,0.00,-1.25,1.37
2.518,4098.75,9.21,468.75,0.00,-1.25,1.36
2.870,-8.75,9.89,403.75,0.00,0.00,1.32
3.174,4178.75,9.46,17.50,0.00,0.00,1.38
3.464,4163.75,9.17,120.00,0.57,-1.25,1.38
3.596,3695.00,9.16,315.00,0.00,0.00,1.36
3.733,4153.75,9.16,337.50,0.00,-1.25,1.39
3.888,4200.00,9.16,496.25,0.00,-1.25,1.38
4.203,3676.25,9.62,43.75,0.00,0.00,1.33
4.349,4035.00,9.19,377.50,0.69,-1.25,1.38
4.430,4028.75,10.27,465.00,0.88,-1.25,1.32
4.522,4095.00,10.22,101.25,0.61,0.00,1.36
4.631,3632.50,9.18,463.75,0.71,-2.50,1.39
4.921,3975.00,10.21,231.25,0.00,0.00,1.35
5.233,4086.25,9.18,475.00,0.00,0.00,1.38
5.432,4062.50,9.17,0.00,0.12,1.25,1.36
5.648,4090.00,9.24,321.25,0.58,0.00,1.36
5.829,4086.25,10.36,458.75,0.00,0.00,1.31
5.985,3933.75,9.47,467.50,0.00,-1.25,1.32
6.089,4091.25,9.96,12.50,0.58,0.00,1.39
6.329,4097.50,9.28,446.25,0.40,-1.25,1.32
6.488,0.00,10.01,487.50,0.00,0.00,1.38
6.574,0.00,9.53,381.25,0.00,1.25,1.39
6.687,2.50,10.69,727.50,0.00,0.00,1.32
6.929,-155.00,11.59,455.00,0.00,0.00,1.35
7.248,0.00,10.05,290.00,0.00,0.00,1.31
7.464,4071.25,9.25,38.75,0.00,-1.25,1.33
7.707,4038.75,9.19,110.00,0.00,0.00,1.36
7.909,1.25,9.71,678.75,0.00,-1.25,1.38
8.211,3015.00,10.25,271.25,0.24,-1.25,1.32
8.361,4165.00,9.14,480.00,0.00,-2.50,1.32
8.635,3981.25,9.17,48.75,0.08,1.25,1.32
8.872,4216.25,9.61,312.50,0.00,1.25,1.36
9.042,4246.25,9.14,-102.50,0.00,0.00,1.35
9.263,1.25,9.95,658.75,0.00,0.00,1.34
9.440,4067.50,9.50,10.00,0.00,-1.25,1.35
9.741,4087.50,9.19,48.75,1.06,1.25,1.35
10.177,3802.50,9.61,-25.00,0.00,0.00,1.34
10.333,4046.25,9.20,330.00,0.67,0.00,1.33
10.517,4087.50,9.25,22.50,1.10,-1.25,1.31
10.606,4077.50,9.17,52.50,0.64,1.25,1.31
10.773,3483.75,9.17,471.25,0.00,1.25,1.35
10.870,4078.75,9.80,-27.50,0.99,-1.25,1.32
11.036,4082.50,9.22,477.50,0.64,1.25,1.35
11.305,3723.75,9.16,373.75,0.58,1.25,1.36
11.900,0.00,9.37,837.50,0.00,0.00,1.31
12.280,1.25,10.02,688.75,0.00,0.00,1.35
12.752,0.00,10.17,718.75,0.00,1.25,1.34
13.029,11.25,9.63,277.50,0.00,-2.50,1.36
13.384,4067.50,9.75,-15.00,0.00,0.00,1.38
13.680,1.25,10.01,2.50,0.00,-1.25,1.38
13.980,3.75,10.04,146.25,0.78,-1.25,1.33
14.271,4096.25,9.89,433.75,0.00,-1.25,1.33
14.473,4001.25,9.98,-103.75,0.00,1.25,1.31
14.776,3926.25,9.16,406.25,0.00,0.00,1.38
15.217,4141.25,9.20,855.00,0.00,0.00,1.31
15.412,4037.50,9.42,376.25,0.29,0.00,1.35
15.631,3750.00,10.13,462.50,0.60,-1.25,1.33
15.808,4063.75,10.21,483.75,0.58,0.00,1.32
16.022,3747.50,9.18,412.50,0.00,0.00,1.36
16.140,4057.50,10.11,431.25,0.00,-1.25,1.38
16.301,4065.00,9.17,237.50,0.00,-1.25,1.38
16.469,3795.00,9.17,447.50,0.00,-1.25,1.38
16.699,3567.50,9.53,430.00,0.93,0.00,1.34
17.278,3710.00,10.21,293.75,0.22,-1.25,1.35
17.394,4057.50,10.19,481.25,0.58,0.00,1.27
17.494,4046.25,9.27,472.50,0.00,0.00,1.13
17.675,1.25,10.01,873.75,0.00,-1.25,1.07
18.049,1.25,10.02,853.75,1.54,0.00,1.04
18.270,0.00,9.56,472.50,0.00,0.00,1.02
