elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,11.30,785.00,0.00,30.00,5.15
0.066,0.00,10.25,882.50,0.00,27.50,5.21
0.114,1.25,10.25,753.75,0.00,30.00,5.21
0.163,1.25,10.31,836.25,0.00,30.00,5.21
0.206,1.25,11.97,527.50,0.00,23.75,5.21
0.249,3.75,10.25,13.75,0.00,32.50,5.21
0.300,1.25,10.25,68.75,0.00,1293.75,5.22
0.340,0.00,10.64,617.50,0.00,600.00,5.21
0.379,1.25,9.62,705.00,0.27,431.25,5.21
0.419,1.25,9.77,886.25,0.00,1360.00,5.21
0.458,1.25,9.93,595.00,0.00,1507.50,5.22
0.497,0.00,10.18,803.75,0.00,1493.75,4.75
0.535,0.00,10.27,676.25,0.00,1502.50,4.73
0.573,0.00,11.18,611.25,0.00,1235.00,4.72
0.611,0.00,9.65,667.50,0.18,27.50,4.71
0.649,1.25,9.86,516.25,0.00,30.00,4.71
0.687,17.50,10.12,927.50,0.00,31.25,4.70
0.730,-10.00,10.36,807.50,0.00,1143.75,4.71
0.771,-1.25,11.06,875.00,0.00,1373.75,4.71
0.811,6.25,10.36,666.25,1.13,98.75,4.70
0.850,1.25,9.60,58.75,0.00,27.50,4.69
0.887,1.25,9.82,906.25,0.00,72.50,5.20
0.924,1.25,10.02,817.50,0.00,1475.00,5.21
0.959,2.50,10.31,911.25,0.00,1478.75,5.15
0.997,0.00,11.58,121.25,0.00,1530.00,4.71
1.034,1.25,9.61,680.00,1.44,1522.50,4.71
1.074,0.00,10.01,777.50,0.32,1482.50,5.22
1.120,1.25,9.85,881.25,0.00,1478.75,5.21
1.159,1.25,10.00,606.25,0.00,1477.50,5.21
1.199,1.25,10.20,901.25,0.00,1470.00,5.21
1.241,1.25,10.25,430.00,0.00,1473.75,5.21
1.281,0.00,11.62,21.25,0.00,1476.25,5.21
1.323,0.00,10.24,-21.25,1.64,821.25,4.93
1.365,1.25,10.21,692.50,0.00,363.75,5.11
1.410,0.00,9.61,611.25,0.00,91.25,5.12
1.451,0.00,9.74,878.75,0.90,1058.75,5.22
1.491,1.25,9.88,896.25,0.00,22.50,5.21
1.530,1.25,10.17,861.25,0.00,33.75,5.21
1.568,0.00,10.24,336.25,0.00,31.25,4.84
1.606,1.25,11.49,567.50,0.00,31.25,5.21
1.644,1.25,9.65,598.75,2.04,31.25,5.21
1.680,-1.25,10.03,800.00,0.00,32.50,5.21
1.717,1.25,10.18,836.25,0.00,31.25,5.21
1.757,1.25,11.70,476.25,0.00,28.75,5.21
1.796,-175.00,10.37,588.75,0.00,32.50,5.21
1.834,1.25,9.58,543.75,0.00,31.25,5.21
1.871,0.00,9.86,886.25,0.00,22.50,5.21
1.909,0.00,10.09,420.00,0.00,31.25,5.21
1.947,7.50,10.31,795.00,0.00,31.25,5.21
1.986,2.50,10.26,667.50,0.00,30.00,5.21
2.023,0.00,10.92,587.50,0.00,31.25,5.21
2.071,-2.50,11.60,550.00,0.00,26.25,5.21
2.109,-1.25,9.74,890.00,2.30,31.25,5.21
2.147,1.25,10.04,823.75,0.00,31.25,5.21
2.186,0.00,10.15,903.75,0.00,31.25,5.21
2.226,0.00,10.32,847.50,0.00,28.75,5.21
2.266,0.00,11.70,55.00,0.00,32.50,5.21
2.303,1.25,9.60,553.75,0.00,32.50,5.21
2.342,0.00,9.79,891.25,2.01,1105.00,4.89
2.382,2.50,9.96,826.25,0.00,508.75,5.06
2.419,0.00,10.69,901.25,0.00,305.00,5.12
2.457,1.25,10.25,-5.00,0.00,275.00,5.13
2.496,-2.50,12.04,33.75,0.00,31.25,5.21
2.538,1.25,9.63,570.00,0.00,31.25,5.21
2.580,0.00,9.79,255.00,0.00,1487.50,5.21
2.621,0.00,9.96,812.50,0.00,1505.00,5.21
2.659,1.25,10.12,463.75,0.00,1543.75,4.74
2.696,-2.50,11.53,838.75,0.00,1486.25,5.04
2.737,7.50,11.05,663.75,0.00,1488.75,4.72
2.775,1.25,9.88,51.25,0.00,1422.50,4.73
2.812,0.00,9.79,841.25,0.00,295.00,4.71
2.850,1.25,9.99,635.00,0.00,30.00,4.70
2.888,1.25,11.80,852.50,0.00,30.00,4.70
2.927,0.00,10.24,658.75,0.00,31.25,4.99
2.964,0.00,10.25,55.00,0.00,1030.00,4.83
3.004,0.00,9.69,741.25,0.00,1441.25,5.21
3.042,-1.25,9.90,467.50,0.00,1470.00,4.84
3.077,0.00,10.19,905.00,0.00,1495.00,4.73
3.115,0.00,11.62,47.50,0.00,1371.25,4.73
3.152,0.00,10.59,685.00,0.00,1462.50,4.72
3.191,1.25,9.72,853.75,0.06,30.00,4.70
3.228,-1.25,9.95,900.00,0.00,28.75,4.70
3.269,2.50,10.11,896.25,0.00,25.00,4.70
3.308,1.25,10.25,273.75,0.00,33.75,4.70
3.347,-1.25,11.90,473.75,0.00,742.50,5.06
3.386,2.50,10.44,687.50,0.00,372.50,5.12
3.425,1.25,9.69,218.75,0.06,243.75,5.21
3.461,0.00,9.98,786.25,0.00,32.50,5.21
3.500,1.25,10.16,896.25,0.00,30.00,5.21
3.539,1.25,11.43,591.25,0.00,32.50,5.21
3.577,0.00,10.27,667.50,0.08,11.25,5.21
3.612,1.25,9.72,386.25,0.00,802.50,5.21
3.651,1.25,9.95,897.50,0.00,31.25,5.21
3.687,-6.25,10.45,855.00,0.00,32.50,5.21
3.725,0.00,10.25,395.00,0.00,32.50,5.21
3.764,0.00,10.70,2.50,0.83,32.50,5.21
3.805,1.25,9.63,603.75,0.00,31.25,5.21
3.841,0.00,9.88,797.50,0.00,32.50,5.21
3.879,1.25,10.18,826.25,0.00,30.00,5.21
3.919,1.25,10.25,900.00,0.00,31.25,5.21
3.956,0.00,11.80,532.50,0.00,30.00,5.21
3.994,-1.25,10.35,675.00,0.00,33.75,5.21
4.035,0.00,9.72,556.25,0.00,33.75,5.21
4.075,1.25,9.87,751.25,0.00,30.00,5.21
4.113,8.75,10.19,826.25,0.00,30.00,5.21
4.151,0.00,10.25,900.00,0.00,31.25,5.21
4.191,0.00,10.25,523.75,0.00,23.75,5.21
4.229,1.25,9.59,172.50,0.00,31.25,5.21
4.269,2.50,9.77,632.50,0.00,31.25,5.21
4.309,0.00,9.91,747.50,0.00,30.00,5.21
4.347,-1.25,10.22,823.75,0.00,1067.50,5.11
4.384,1.25,10.25,11.25,0.00,493.75,5.07
4.422,0.00,11.43,522.50,0.00,311.25,5.12
4.460,2.50,9.67,683.75,0.00,260.00,5.21
4.499,0.00,9.83,423.75,0.00,31.25,5.21
4.539,2.50,10.15,801.25,0.00,30.00,5.21
4.577,2.50,10.30,903.75,0.00,1557.50,4.70
4.615,1.25,10.40,80.00,0.00,332.50,4.69
4.650,0.00,9.59,668.75,1.24,30.00,4.70
4.689,0.00,9.88,672.50,0.00,30.00,4.70
4.726,0.00,10.06,900.00,0.00,28.75,4.98
4.764,1.25,11.45,832.50,0.00,32.50,4.82
4.804,2.50,11.74,516.25,0.00,1451.25,5.21
4.841,0.00,10.29,656.25,0.83,1452.50,5.22
4.880,0.00,9.79,852.50,0.00,1467.50,5.08
4.917,2.50,9.98,541.25,0.00,1488.75,4.72
4.956,0.00,11.68,875.00,0.00,1511.25,4.72
4.994,1.25,10.31,660.00,0.00,1507.50,4.72
5.031,0.00,10.26,266.25,0.00,1045.00,4.71
5.070,1.25,9.69,551.25,0.00,25.00,4.70
5.109,0.00,9.90,501.25,0.00,31.25,4.70
5.146,7.50,10.14,818.75,0.00,30.00,4.78
5.184,1.25,10.25,562.50,0.00,40.00,5.21
5.223,-1.25,10.69,563.75,0.00,1452.50,5.21
5.261,0.00,9.61,585.00,0.00,1445.00,4.97
5.304,1.25,9.84,578.75,0.00,32.50,4.82
5.344,2.50,9.88,848.75,0.00,810.00,4.98
5.382,1.25,10.29,825.00,0.00,366.25,5.10
5.418,1.25,10.26,856.25,0.00,275.00,5.13
5.457,0.00,11.33,50.00,0.00,30.00,5.21
5.494,0.00,9.65,586.25,0.00,1741.25,4.61
5.532,0.00,9.86,785.00,0.00,255.00,5.21
5.568,0.00,10.16,896.25,0.00,32.50,4.96
5.605,-1.25,11.67,602.50,0.00,30.00,5.21
5.643,0.00,10.24,648.75,1.19,31.25,5.21
5.681,2.50,9.80,570.00,0.00,28.75,5.21
5.719,0.00,9.92,893.75,0.00,28.75,5.21
5.755,11.25,10.33,848.75,0.00,27.50,5.21
5.793,5.00,10.35,657.50,0.00,32.50,5.21
5.832,1.25,11.02,50.00,0.00,22.50,5.21
5.870,0.00,9.68,620.00,0.00,30.00,5.21
5.908,0.00,9.88,648.75,0.00,32.50,5.21
5.944,10.00,10.13,905.00,0.00,31.25,5.21
5.982,1.25,10.25,158.75,0.00,31.25,5.21
6.021,-240.00,10.75,516.25,0.00,31.25,5.21
6.060,1.25,9.58,666.25,0.00,30.00,5.21
6.099,0.00,9.76,885.00,1.60,31.25,5.21
6.140,1.25,9.87,621.25,0.84,30.00,5.21
6.181,2.50,10.04,686.25,0.00,28.75,5.21
6.219,-1.25,10.65,818.75,0.00,33.75,5.21
6.258,0.00,10.30,351.25,0.00,31.25,5.21
6.300,1.25,10.27,657.50,0.00,31.25,5.21
6.344,1.25,11.00,551.25,0.00,30.00,4.73
6.386,1.25,9.65,591.25,0.00,680.00,5.03
6.427,0.00,9.76,788.75,0.00,348.75,5.11
6.468,0.00,9.95,888.75,0.00,288.75,5.12
6.506,1.25,10.32,503.75,0.00,30.00,5.12
6.546,2.50,10.37,843.75,0.00,31.25,4.86
6.586,-7.50,11.68,666.25,0.00,555.00,5.21
6.622,0.00,9.72,591.25,0.00,1501.25,5.22
6.659,0.00,9.85,891.25,1.04,1502.50,5.11
6.697,0.00,10.25,745.00,0.00,1542.50,4.71
6.735,0.00,10.26,906.25,0.00,1447.50,4.72
6.772,0.00,11.82,625.00,0.00,381.25,4.71
6.811,1.25,10.21,547.50,0.00,891.25,4.72
6.851,0.00,9.74,790.00,0.00,27.50,4.71
6.890,0.00,9.94,861.25,0.00,31.25,4.70
6.927,0.00,10.18,903.75,0.00,30.00,4.81
6.965,1.25,10.25,36.25,0.00,211.25,5.21
7.003,1.25,10.73,611.25,0.00,1452.50,5.21
7.042,1.25,9.69,242.50,0.06,1448.75,5.21
7.080,0.00,9.98,782.50,0.00,1461.25,5.22
7.117,1.25,10.13,893.75,0.00,1512.50,4.73
7.155,0.00,10.63,870.00,0.00,1510.00,4.73
7.193,0.00,10.32,673.75,0.56,1096.25,4.72
7.232,0.00,9.57,65.00,0.00,25.00,4.71
7.270,1.25,9.82,910.00,0.00,33.75,4.70
7.308,-1.25,9.98,657.50,0.00,32.50,4.70
7.348,1.25,11.80,582.50,0.00,30.00,4.76
7.388,2.50,11.05,862.50,0.00,455.00,5.08
7.426,0.00,10.25,365.00,0.56,253.75,5.18
7.463,2.50,9.62,-37.50,0.00,31.25,5.11
7.506,1.25,9.67,595.00,1.15,31.25,4.71
7.546,1.25,10.06,625.00,0.00,31.25,5.12
7.590,0.00,9.96,897.50,0.00,1057.50,5.21
7.631,1.25,10.17,790.00,0.00,23.75,5.21
7.670,3.75,11.84,661.25,0.00,30.00,5.21
7.708,0.00,10.25,8.75,1.36,31.25,5.21
7.746,0.00,9.71,230.00,0.00,30.00,5.21
7.784,1.25,9.85,891.25,0.00,31.25,5.08
7.823,1.25,10.02,426.25,0.00,31.25,5.21
7.862,1.25,10.31,762.50,0.00,31.25,5.21
7.902,-17.50,10.37,665.00,0.00,31.25,5.21
7.939,0.00,10.37,-26.25,0.00,28.75,5.21
7.978,1.25,9.74,411.25,0.00,32.50,5.21
8.015,1.25,9.95,730.00,0.00,31.25,5.21
8.053,3.75,10.20,880.00,0.00,31.25,5.21
8.092,0.00,10.31,192.50,0.00,27.50,5.21
8.130,-1.25,11.75,343.75,0.00,30.00,5.21
8.168,0.00,9.68,662.50,1.08,31.25,5.21
8.205,-1.25,9.93,830.00,0.00,31.25,5.21
8.244,5.00,10.12,896.25,0.00,32.50,5.21
8.282,0.00,10.24,540.00,0.00,32.50,5.21
8.320,3.75,10.65,533.75,0.00,31.25,5.21
8.357,2.50,9.63,412.50,0.04,1376.25,4.80
8.396,1.25,9.96,537.50,0.00,545.00,5.05
8.437,1.25,9.98,878.75,0.00,316.25,5.12
8.476,1.25,10.18,900.00,0.00,268.75,5.13
8.513,2.50,10.57,177.50,0.00,280.00,5.21
8.552,0.00,10.77,548.75,0.00,176.25,5.21
8.590,-1.25,9.66,411.25,0.08,27.50,4.68
8.628,1.25,9.91,896.25,0.00,28.75,4.70
8.667,2.50,10.08,890.00,0.00,28.75,5.02
8.705,10.00,11.84,818.75,0.00,968.75,5.21
8.742,-20.00,10.27,662.50,0.00,1441.25,5.21
8.781,-1.25,9.67,70.00,0.00,1480.00,5.21
8.818,1.25,9.83,890.00,1.84,1503.75,5.03
