Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.019,0.0,9.96625,1.25,10.74,,
0.037,0.0,9.96625,1.25,10.74,0.0,0.0
0.050,0.0,9.975,0.0,10.51375,0.0,0.0
0.060,0.0,9.965,0.0,10.13875,-1.25,0.0
0.071,3.75,9.97125,102.5,10.15625,-1.25,0.0
0.081,3.75,9.97125,3485.0,9.86,-1.25,0.0
0.091,1.25,9.95625,3503.75,9.887500000000001,-1.25,0.0
0.101,1.25,9.95625,3376.25,9.91375,-1.25,0.0
0.112,1.25,9.955,3376.25,9.91375,-1.25,0.0
0.122,0.0,9.963750000000001,3472.5,9.865,0.0,0.0
0.132,-1.25,9.963750000000001,3396.25,9.8375,0.0,0.0
0.143,1.25,9.95375,3563.75,9.8,0.0,0.0
0.153,1.25,9.963750000000001,3802.5,9.79625,0.0,0.0
0.163,1.25,9.963750000000001,3802.5,9.79625,0.0,0.00375
0.173,0.0,9.9675,3858.75,9.80625,0.0,0.00375
0.184,0.0,9.53375,3858.75,9.80875,0.0,0.00375
0.194,3393.75,9.10875,3871.25,9.8225,0.0,0.00375
0.204,3393.75,9.10875,3860.0,10.17625,0.0,0.00375
0.215,3195.0,9.2525,3397.5,9.82625,0.0,0.0
0.225,2741.25,9.120000000000001,3168.75,9.821250000000001,0.0,0.0
0.235,3772.5,9.075000000000001,3773.75,9.82625,0.0,0.0
0.245,3492.5,9.071250000000001,3870.0,9.78875,0.0,0.0
0.256,3492.5,9.071250000000001,3868.75,9.29875,0.0,0.0
0.266,3626.25,9.0775,3890.0,9.80625,-1.25,0.0
0.277,3805.0,9.07875,3578.75,9.80375,-1.25,0.0
0.287,3791.25,9.0775,3368.75,9.8175,-1.25,0.0
0.297,3602.5,9.0925,3861.25,9.8025,-1.25,0.0
0.307,3602.5,9.0925,3842.5,9.815,-1.25,0.0
0.318,3790.0,9.0875,3496.25,10.5075,0.0,0.00125
