elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,11.25,9.80,843.75,1.98,26.25,4.65
0.061,1.25,9.47,661.25,0.00,31.25,4.70
0.120,1.25,10.10,560.00,0.00,32.50,4.25
0.178,3.75,10.10,892.50,0.00,23.75,4.27
0.234,0.00,9.80,881.25,0.00,1668.75,4.34
0.293,0.00,9.54,682.50,0.00,1652.50,5.21
0.351,1.25,10.10,581.25,0.00,27.50,4.26
0.415,0.00,9.99,886.25,0.00,27.50,4.53
0.474,0.00,9.72,396.25,1.83,2223.75,5.21
0.531,0.00,10.93,65.00,0.00,1601.25,5.21
0.591,-8.75,10.14,893.75,0.00,1643.75,5.21
0.651,3.75,9.88,923.75,0.00,2217.50,5.21
0.710,-1.25,9.61,512.50,0.00,1665.00,5.21
0.773,2.50,10.10,56.25,1.02,1137.50,4.06
0.839,3913.75,10.48,416.25,0.00,1316.25,5.22
0.907,4221.25,9.26,472.50,0.00,1620.00,5.21
0.969,4213.75,9.23,430.00,0.00,3743.75,5.24
1.025,3573.75,10.33,438.75,0.00,3950.00,4.75
1.086,6.25,10.09,712.50,0.00,2465.00,4.51
1.144,2.50,9.99,832.50,0.00,3978.75,4.74
1.204,0.00,9.71,855.00,0.23,31.25,4.27
1.262,0.00,9.56,68.75,1.21,28.75,4.26
1.321,1.25,11.47,893.75,0.00,3200.00,4.83
1.387,1.25,9.72,645.00,0.35,1673.75,4.12
1.454,1.25,10.10,732.50,0.00,2862.50,5.21
1.510,0.00,10.09,896.25,0.00,2923.75,4.84
1.568,1.25,6.71,-1.25,1.03,2808.75,5.22
1.626,2997.50,9.42,452.50,0.00,3027.50,5.21
1.688,4218.75,9.25,455.00,0.47,2847.50,5.24
1.745,4241.25,9.36,447.50,0.83,301.25,4.73
1.803,4241.25,9.26,405.00,0.93,28.75,4.67
1.861,4238.75,9.22,462.50,0.00,31.25,4.67
1.919,4220.00,10.36,446.25,0.00,1627.50,5.21
1.986,0.00,10.60,222.50,0.00,2050.00,5.07
2.053,1.25,10.72,733.75,0.00,28.75,4.66
2.115,-1.25,9.84,708.75,0.00,1657.50,5.21
2.173,1.25,10.95,382.50,0.00,1651.25,5.21
2.233,2.50,10.01,533.75,0.28,2338.75,4.70
2.294,4093.75,9.32,478.75,0.80,1536.25,5.21
2.353,4328.75,9.18,401.25,0.00,1598.75,5.21
