elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.96,577.50,0.00,31.25,5.21
0.059,0.00,9.66,592.50,0.00,28.75,5.21
0.095,1.25,10.01,800.00,0.00,31.25,5.21
0.125,1.25,10.69,666.25,0.00,32.50,5.21
0.151,-1.25,9.70,890.00,0.13,62.50,5.22
0.182,8.75,10.23,193.75,0.00,287.50,5.22
0.202,0.00,9.80,883.75,0.00,315.00,5.21
0.224,1.25,10.33,198.75,0.00,27.50,5.20
0.244,1.25,10.00,852.50,0.00,30.00,5.20
0.265,16.25,10.22,126.25,0.34,27.50,5.21
0.285,1.25,10.07,895.00,0.00,2273.75,5.20
0.305,1.25,9.57,638.75,1.25,1980.00,5.19
0.324,1.25,10.31,903.75,0.00,27.50,5.20
0.346,1.25,9.68,782.50,1.15,26.25,5.20
0.366,0.00,10.40,27.50,0.00,31.25,5.21
0.386,1.25,10.06,888.75,0.00,28.75,5.19
0.406,-2.50,10.22,342.50,1.21,27.50,5.21
0.426,1.25,10.06,421.25,0.00,27.50,5.20
0.445,0.00,9.55,683.75,0.98,30.00,5.21
0.465,22.50,10.21,50.00,0.00,2301.25,5.20
0.484,1.25,9.80,477.50,0.00,1085.00,5.20
0.504,1.25,10.35,666.25,0.20,688.75,5.21
0.524,1.25,9.97,781.25,0.00,51.25,5.22
0.543,1.25,11.28,-3.75,0.00,197.50,5.21
0.563,-1.25,11.57,906.25,0.00,355.00,5.21
0.582,0.00,9.70,763.75,0.00,618.75,5.21
0.606,-7.50,10.29,766.25,0.00,32.50,5.21
0.629,0.00,9.86,810.00,0.00,31.25,5.21
0.650,-1.25,10.61,5.00,0.00,31.25,5.21
0.670,0.00,9.87,883.75,0.00,28.75,5.21
0.690,5.00,10.28,590.00,0.00,32.50,5.21
0.711,1.25,10.06,853.75,0.00,31.25,5.21
0.731,1.25,9.76,47.50,0.21,30.00,5.21
0.751,0.00,10.67,547.50,0.00,32.50,5.21
0.770,0.00,9.78,896.25,0.00,31.25,5.21
0.789,1.25,10.26,558.75,0.15,30.00,5.21
0.809,1.25,9.95,603.75,0.00,31.25,5.21
0.828,1.25,11.76,627.50,1.75,31.25,5.21
0.848,-5.00,10.13,655.00,0.00,31.25,5.21
0.868,0.00,9.65,570.00,0.00,31.25,5.21
0.887,-3.75,10.22,570.00,0.00,33.75,5.21
0.907,0.00,9.81,710.00,0.00,31.25,5.21
0.926,2.50,10.28,252.50,0.00,33.75,5.20
0.946,0.00,10.03,858.75,0.00,27.50,5.21
0.966,1.25,9.55,37.50,0.00,27.50,5.20
0.985,0.00,11.51,905.00,0.00,30.00,5.21
1.006,1.25,9.72,836.25,0.00,28.75,5.21
1.026,1.25,10.28,682.50,0.00,30.00,5.21
1.046,0.00,9.90,775.00,0.00,30.00,5.20
1.065,-1.25,10.23,76.25,0.00,430.00,5.21
1.087,1.25,10.02,885.00,0.00,32.50,5.21
1.110,2.50,10.75,672.50,0.74,32.50,5.21
1.132,10.00,10.13,780.00,0.00,31.25,5.21
1.153,1.25,9.57,593.75,1.30,31.25,5.21
1.174,0.00,10.31,195.00,0.00,31.25,5.21
1.193,1.25,9.87,895.00,0.00,32.50,5.21
1.213,-3.75,10.22,591.25,1.69,31.25,5.21
1.233,2.50,9.97,496.25,0.00,31.25,5.21
1.253,0.00,11.63,686.25,0.00,31.25,5.21
1.273,15.00,10.16,797.50,0.00,31.25,5.21
1.294,1.25,9.55,80.00,0.00,32.50,4.95
1.321,2.50,10.11,833.75,0.00,28.75,5.02
1.342,1.25,11.10,708.75,0.77,30.00,5.21
1.369,0.00,10.29,893.75,0.00,31.25,5.21
1.398,6.25,10.23,55.00,0.00,32.50,5.21
1.419,1.25,10.08,896.25,0.00,31.25,4.57
1.439,0.00,10.32,573.75,0.00,32.50,5.21
1.460,-1.25,10.52,902.50,0.00,32.50,4.48
1.480,1.25,9.65,767.50,0.61,27.50,5.21
1.500,1.25,10.70,21.25,0.00,31.25,5.20
1.520,0.00,9.85,885.00,0.00,32.50,5.21
1.539,3.75,10.21,455.00,1.08,30.00,5.02
1.558,-1.25,10.09,381.25,0.00,32.50,5.21
1.578,1.25,9.54,58.75,0.00,30.00,5.25
1.601,0.00,10.69,863.75,0.00,63.75,5.22
