Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.004,,,,,,
0.025,1.25,10.115,-1.25,8.5175,-1.25,0.0025
0.047,1.25,10.11375,-1.25,8.9375,-1.25,0.0025
0.059,1.25,10.11125,-2.5,9.08375,-1.25,0.0
0.069,2.5,10.11,0.0,9.06125,-1.25,0.0
0.080,1.25,10.10875,1.25,8.76,-1.25,0.0
0.090,0.0,10.11,-1.25,8.55625,-1.25,0.0
0.100,1.25,10.10875,1.25,9.08125,-1.25,0.0
0.111,1.25,10.106250000000001,0.0,8.97875,-1.25,0.0
0.121,1.25,10.11125,0.0,8.755,0.0,0.005
0.131,1.25,10.11,-5.0,8.545,0.0,0.005
0.142,1.25,10.1125,-3.75,9.07375,0.0,0.005
0.152,0.0,10.10875,1.25,9.03125,0.0,0.005
0.162,1.25,10.102500000000001,1.25,9.03125,0.0,0.005
0.173,1.25,10.11,-3.75,8.99875,0.0,0.005
0.183,2.5,10.1075,2.5,9.075000000000001,0.0,0.005
0.194,1.25,10.11125,-1.25,9.071250000000001,0.0,0.005
0.204,0.0,10.10875,0.0,8.805,0.0,0.005
0.214,0.0,10.1075,1.25,8.540000000000001,1.25,0.00125
0.225,1.25,10.11625,-1.25,9.0675,1.25,0.00125
0.236,0.0,10.11375,-1.25,9.085,1.25,0.00125
0.246,0.0,10.106250000000001,-1.25,8.8,1.25,0.00125
0.256,0.0,10.106250000000001,1.25,8.5925,1.25,0.00125
0.266,1.25,10.10875,0.0,9.07875,0.0,0.00125
0.277,0.0,10.11375,0.0,9.071250000000001,0.0,0.00125
0.287,1.25,10.11,0.0,8.805,0.0,0.00125
0.297,1.25,10.11125,1.25,8.5925,0.0,0.00125
0.308,1.25,10.11125,0.0,9.071250000000001,0.0,0.00125
0.318,0.0,10.105,-3.75,8.94875,-1.25,0.00375
0.328,0.0,10.105,0.0,8.7825,-1.25,0.00375
0.338,1.25,10.11375,0.0,8.571250000000001,-1.25,0.00375
0.349,1.25,10.10375,-2.5,9.07,-1.25,0.00375
0.359,-1.25,10.115,0.0,9.06,-1.25,0.00375
0.370,0.0,10.11125,1.25,8.72625,1.25,0.0025
0.380,0.0,10.106250000000001,0.0,9.075000000000001,1.25,0.0025
0.390,1.25,10.11125,0.0,9.05125,1.25,0.0025
0.401,0.0,10.11375,0.0,9.05125,1.25,0.0025
0.411,0.0,10.1125,0.0,8.51375,0.0,0.0025
0.421,1.25,10.11125,0.0,9.075000000000001,0.0,0.0025
0.431,1.25,10.105,1.25,9.045,0.0,0.0025
0.442,0.0,10.1075,1.25,8.775,0.0,0.0025
0.452,1.25,10.10875,-1.25,8.557500000000001,0.0,0.0025
0.462,-1.25,10.1075,3.75,9.0775,0.0,0.0025
0.472,0.0,10.115,0.0,9.0475,0.0,0.0025
0.482,1.25,10.10375,0.0,8.76625,0.0,0.0025
