Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.020,0.0,10.02125,3832.5,9.87375,,
0.031,0.0,10.02125,3832.5,9.87375,0.0,0.00375
0.047,0.0,10.0225,3562.5,9.8675,0.0,0.00375
0.058,2.5,10.02,3881.25,10.0225,0.0,0.0
0.068,3.75,10.02375,3782.5,9.883750000000001,0.0,0.0
0.079,0.0,10.0325,3457.5,9.883750000000001,0.0,0.0
0.089,2.5,10.02875,3885.0,9.89625,0.0,0.0
0.099,1.25,10.015,3890.0,9.8825,0.0,0.0
0.109,5.0,10.02125,3888.75,9.87875,0.0,0.0
0.120,2.5,10.01125,3766.25,9.8675,-1.25,0.00375
0.130,-1.25,10.035,3868.75,9.887500000000001,-1.25,0.00375
0.140,2.5,10.043750000000001,3886.25,10.21625,-1.25,0.00375
0.151,1.25,10.0275,3902.5,9.64125,-1.25,0.00375
0.161,1.25,10.0225,3847.5,9.90625,-1.25,0.00375
0.171,1.25,10.008750000000001,3712.5,9.9075,0.0,0.0025
0.181,1.25,10.0325,3806.25,9.8975,0.0,0.0025
0.192,0.0,10.026250000000001,3867.5,9.90375,0.0,0.0025
0.202,0.0,10.02875,3881.25,9.87375,0.0,0.0025
0.212,-1.25,10.0275,3848.75,9.85,0.0,0.0025
0.223,0.0,10.03125,3851.25,10.055,0.0,0.0025
0.233,0.0,10.01375,3903.75,10.15,0.0,0.0025
0.243,1.25,10.015,3858.75,9.26875,0.0,0.0025
0.253,1.25,10.03,3821.25,9.85,0.0,0.0025
0.264,0.0,10.02,3851.25,9.8625,0.0,0.0025
0.274,0.0,10.026250000000001,3868.75,9.88875,-1.25,0.00375
0.284,1.25,10.01375,3885.0,9.981250000000001,-1.25,0.00375
0.294,2.5,10.03,3897.5,10.2425,-1.25,0.00375
0.305,1.25,10.026250000000001,3866.25,9.90625,-1.25,0.00375
0.315,1.25,10.03125,3300.0,9.90875,-1.25,0.005
0.325,1.25,10.03,3858.75,9.515,-1.25,0.005
0.336,-1.25,10.01625,3856.25,9.8775,-1.25,0.005
0.346,-1.25,10.02,3858.75,9.870000000000001,-1.25,0.005
0.356,-1.25,10.02,3893.75,9.885,-1.25,0.005
0.366,-1.25,10.02875,3656.25,9.86125,1.25,0.0025
0.377,0.0,10.00625,3843.75,9.88,1.25,0.0025
0.387,0.0,10.026250000000001,3833.75,9.79125,1.25,0.0025
0.397,2.5,10.02,3850.0,9.89875,1.25,0.0025
0.407,-1.25,10.02375,3196.25,9.89125,1.25,0.0025
0.418,0.0,10.005,3793.75,9.90625,1.25,0.0025
0.428,-1.25,10.01625,3826.25,10.1125,1.25,0.0025
0.438,0.0,10.03375,3826.25,10.1125,1.25,0.0025
0.449,1.25,10.03125,3543.75,9.9,1.25,0.0025
0.459,-1.25,10.03125,3543.75,9.9,1.25,0.0025
0.469,-1.25,10.02375,3866.25,10.15,1.25,0.00375
0.480,3.75,10.025,3841.25,9.855,1.25,0.00375
0.490,-1.25,10.02125,3871.25,9.89875,1.25,0.00375
0.500,0.0,10.03375,3817.5,9.883750000000001,1.25,0.00375
0.510,-1.25,10.02875,3817.5,9.883750000000001,1.25,0.00375
0.521,1.25,10.02375,3870.0,10.370000000000001,0.0,0.00375
0.531,0.0,10.0225,3851.25,9.88125,0.0,0.00375
0.541,0.0,10.0225,3848.75,9.825000000000001,0.0,0.00375
0.552,0.0,10.0275,3551.25,9.88875,0.0,0.00375
0.562,0.0,10.0275,3873.75,9.63625,0.0,0.00375
0.573,1.25,10.025,3823.75,9.86625,-2.5,0.0025
0.583,1.25,10.026250000000001,3881.25,10.2875,-2.5,0.0025
0.593,1.25,10.0275,3681.25,9.38,-2.5,0.0025
0.603,-1.25,10.02375,3403.75,9.88625,-2.5,0.0025
0.614,2.5,10.035,3878.75,9.875,0.0,0.00125
0.624,0.0,10.01125,3876.25,9.8725,0.0,0.00125
0.634,0.0,10.026250000000001,3838.75,9.918750000000001,0.0,0.00125
0.644,0.0,10.0325,3892.5,10.4025,0.0,0.00125
0.655,-1.25,10.02125,3852.5,9.9,0.0,0.00125
0.665,-1.25,10.02125,3861.25,10.125,1.25,0.00125
0.675,1.25,10.02375,3851.25,9.92625,1.25,0.00125
0.686,1.25,10.02125,3630.0,9.6325,1.25,0.00125
0.696,1.25,10.01625,3448.75,9.87625,1.25,0.00125
0.706,1.25,10.025,3755.0,9.885,1.25,0.00125
0.717,1.25,10.025,3757.5,9.82375,0.0,0.0025
0.727,1.25,10.01375,3746.25,9.883750000000001,0.0,0.0025
0.737,2.5,10.03625,3821.25,9.870000000000001,0.0,0.0025
0.747,0.0,10.0425,3671.25,9.883750000000001,0.0,0.0025
0.758,2.5,10.01625,3875.0,9.88875,0.0,0.0025
0.768,2.5,10.01625,3891.25,9.875,0.0,0.00375
0.778,2.5,10.043750000000001,3577.5,9.88625,0.0,0.00375
0.788,1.25,10.03,3600.0,9.887500000000001,0.0,0.00375
0.799,-1.25,10.0175,3822.5,9.86625,0.0,0.00375
0.809,3.75,10.02375,3866.25,9.87125,0.0,0.00375
0.819,3.75,10.02375,3820.0,9.883750000000001,0.0,0.0
0.829,0.0,10.025,3767.5,9.8475,0.0,0.0
0.840,0.0,10.02125,3615.0,9.8775,0.0,0.0
0.850,0.0,10.025,3615.0,9.8775,0.0,0.0
0.860,5.0,10.026250000000001,3856.25,9.88625,0.0,0.0
0.871,1.25,10.01375,3557.5,9.88,-1.25,0.00375
0.881,0.0,10.015,3586.25,9.89625,-1.25,0.00375
0.891,2.5,10.02,3880.0,9.870000000000001,-1.25,0.00375
0.902,3.75,10.01875,3878.75,9.865,-1.25,0.00375
0.912,2.5,10.02875,3878.75,9.865,-1.25,0.00375
