elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
0.000,-1.25,11.52,362.50,0.00,-1.25,1.38
0.066,1.25,10.66,701.25,0.00,0.00,1.40
0.110,0.00,10.14,662.50,2.51,-1.25,1.34
0.140,0.00,9.59,885.00,0.73,-1.25,1.32
0.176,-1.25,11.80,883.75,0.00,-1.25,1.31
0.203,2.50,11.85,662.50,0.00,1.25,1.35
0.275,-1.25,9.74,877.50,0.27,0.00,1.32
0.336,1.25,9.74,761.25,0.00,0.00,1.37
0.366,1.25,9.99,888.75,0.00,0.00,1.36
0.390,0.00,9.42,178.75,0.00,0.00,1.34
0.411,1.25,11.74,873.75,0.00,-1.25,1.34
0.430,2.50,9.57,838.75,0.00,1.25,1.33
0.453,1.25,11.14,685.00,0.00,-1.25,1.34
0.472,1.25,9.69,728.75,0.00,-1.25,1.34
0.492,2.50,10.69,196.25,0.00,0.00,1.34
0.511,0.00,9.98,877.50,0.00,0.00,1.34
0.532,1.25,9.39,515.00,0.06,0.00,1.35
0.551,-1.25,10.18,362.50,0.00,0.00,1.35
0.571,1.25,9.78,838.75,0.00,-1.25,1.35
0.590,5.00,10.03,26.25,0.53,0.00,1.33
0.613,0.00,9.82,732.50,0.00,0.00,1.33
0.632,-157.50,10.05,523.75,0.00,1.25,1.34
0.652,1.25,9.93,751.25,0.00,0.00,1.31
0.678,2.50,11.37,700.00,0.00,-1.25,1.31
0.698,-1.25,9.94,725.00,0.00,1.25,1.32
0.717,0.00,9.48,446.25,0.00,-1.25,1.32
0.738,1.25,11.61,711.25,0.00,-1.25,1.32
0.758,0.00,9.62,691.25,0.00,0.00,1.32
0.777,0.00,11.26,693.75,0.00,0.00,1.32
0.796,1.25,9.79,876.25,0.00,-1.25,1.32
0.816,1.25,10.20,477.50,0.00,-1.25,1.32
0.835,0.00,10.13,881.25,0.00,-1.25,1.33
0.855,0.00,9.54,731.25,0.00,0.00,1.33
0.874,0.00,10.06,27.50,0.00,0.00,1.33
0.894,0.00,9.78,861.25,0.00,1.25,1.34
0.913,2.50,10.05,507.50,0.00,0.00,1.34
0.933,-1.25,9.88,651.25,0.00,-1.25,1.34
0.954,2.50,9.43,550.00,0.20,-1.25,1.33
0.973,1.25,10.05,485.00,0.00,-1.25,1.33
0.994,0.00,9.63,865.00,0.00,0.00,1.33
1.013,23.75,10.04,637.50,1.91,-1.25,1.34
1.033,0.00,9.77,630.00,0.00,-1.25,1.34
1.052,1.25,10.46,337.50,0.00,-1.25,1.34
1.072,0.00,9.95,802.50,0.00,0.00,1.35
1.091,1.25,9.52,731.25,0.00,0.00,1.32
1.116,1.25,10.13,702.50,0.00,-1.25,1.32
1.138,0.00,9.47,433.75,0.00,-1.25,1.38
1.165,58.75,9.95,657.50,0.00,0.00,1.34
1.191,1.25,10.46,71.25,0.00,-2.50,1.32
1.216,0.00,9.87,335.00,0.00,0.00,1.32
1.237,1.25,10.09,687.50,1.21,0.00,1.32
1.257,0.00,10.00,562.50,0.00,0.00,1.32
1.277,0.00,9.73,858.75,0.00,-1.25,1.32
1.298,0.00,10.04,538.75,0.00,1.25,1.31
1.319,0.00,11.45,692.50,0.00,-2.50,1.31
1.359,1.25,9.73,720.00,0.00,0.00,1.36
1.387,13.75,10.04,117.50,0.00,0.00,1.33
1.414,-1.25,9.55,728.75,0.00,1.25,1.33
1.435,1.25,10.04,710.00,0.85,0.00,1.39
1.462,1.25,9.61,677.50,0.00,-1.25,1.37
1.488,0.00,10.01,871.25,0.00,0.00,1.33
1.513,0.00,9.45,771.25,2.72,0.00,1.33
1.533,1.25,10.19,88.75,0.00,1.25,1.34
1.552,1.25,9.82,873.75,0.00,1.25,1.34
1.572,0.00,10.05,548.75,2.41,-1.25,1.34
1.591,1.25,9.85,398.75,0.00,-1.25,1.35
1.611,1.25,11.02,542.50,0.00,0.00,1.35
1.630,3.75,10.04,768.75,0.00,0.00,1.35
1.650,1.25,9.58,441.25,0.00,-1.25,1.36
1.670,0.00,10.30,75.00,0.00,-1.25,1.32
1.698,3.75,9.53,692.50,0.00,-1.25,1.32
1.720,1.25,11.56,686.25,0.00,-1.25,1.33
1.740,1.25,9.65,782.50,0.00,-1.25,1.31
1.760,1.25,11.22,671.25,0.00,-1.25,1.31
1.779,0.00,9.81,736.25,0.00,0.00,1.31
