elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.71,866.25,0.00,-1.25,1.33
00.559,1.25,10.05,818.75,0.00,0.00,1.3211.119,2451.25,9.43,478.75,0.75,0.00,1.321.1.807,-1.25,9.93,877.50,0.00,0.00,1.35
2.437,3788.75,9.24,473.75,0.95,0.00,1.333.149,2966.25,9.74,311.25,0.00,0.00,1.34
3.916,4118.75,9.16,13.75,1.28,-2.50,1.34
4.555,4116.25,9.24,313.75,0.00,0.00,1.32
5.5.268,4117.50,10.04,22.50,0.00,-1.25,1.335.6.111,4101.25,9.16,493.75,0.58,-1.25,1.326.6.891,-155.00,9.48,748.75,0.00,0.00,1.37.27.513,1.25,9.97,857.50,0.00,0.00,1.377.8.323,4103.75,9.22,803.75,0.00,0.00,1.3499.532,4202.50,9.17,207.50,0.00,0.00,1.310.10.405,3910.00,9.15,207.50,0.00,-1.25,1.011.466,-12.50,10.03,743.75,0.00,1.25,1.00
1212.298,1.25,10.49,883.75,0.00,0.00,0.971213.046,1.25,10.07,882.50,0.00,0.00,0.941414.391,1.25,10.05,801.25,0.00,0.00,0.915.15.264,0.00,9.49,371.25,0.00,-1.25,0.92115.990,2.50,10.72,537.50,0.00,-2.50,1.316.16.714,-1.25,9.57,887.50,0.00,-1.25,1.317.17.430,2.50,9.57,872.50,0.00,-1.25,1.17.818.307,0.00,9.55,700.00,0.00,0.00,1.18.419.061,0.00,9.87,150.00,0.00,0.00,1.331919.780,1.25,9.74,307.50,0.00,-1.25,1.321920.414,2.50,9.95,886.25,0.00,-1.25,1.33
21.174,4186.25,9.22,461.25,0.00,1.25,1.33
21.871,4091.25,9.95,92.50,0.00,1.25,1.34
22.468,3817.50,9.17,103.75,0.57,-1.25,1.36
23.056,3456.25,10.23,93.75,1.34,-1.25,1.32
24.298,3581.25,10.22,310.00,0.00,0.00,1.33
25.468,0.00,10.09,677.50,0.00,-1.25,1.38
26.873,0.00,9.97,640.00,0.00,-1.25,1.34
27.648,3696.25,9.19,372.50,0.00,-1.25,1.38
29.204,3750.00,9.17,163.75,0.00,-1.25,1.31
30.211,4107.50,9.67,45.00,0.00,-1.25,1.32
31.230,3881.25,9.17,32.50,0.00,-1.25,1.33
32.100,3643.75,9.23,443.75,0.53,0.00,1.40
32.933,4095.00,10.01,370.00,0.00,0.00,1.34
33.836,0.00,9.68,238.75,0.00,0.00,1.40
34.497,4087.50,9.18,-52.50,0.00,0.00,1.32
35.370,4097.50,9.15,477.50,0.00,1.25,1.38
36.085,3966.25,9.24,485.00,0.00,0.00,1.33
36.777,4065.00,9.22,450.00,0.00,-1.25,1.37
37.605,4067.50,9.16,460.00,0.00,-1.25,1.32
38.350,4073.75,10.16,480.00,0.00,-1.25,1.35
39.143,0.00,10.85,877.50,0.00,-1.25,1.06
39.879,0.00,10.16,612.50,0.00,0.00,1.02
40.471,-1.25,10.16,878.75,0.00,1.25,0.99
41.098,2.50,10.05,663.75,0.00,-1.25,0.97
41.717,-1.25,11.73,596.25,0.00,1.25,0.96
42.490,0.00,11.67,32.50,0.00,-1.25,0.94
43.321,2.50,10.96,785.00,0.00,0.00,0.93
44.126,1.25,9.67,17.50,0.00,1.25,0.91
44.894,1.25,10.04,53.75,0.00,0.00,0.90
45.550,30.00,10.52,890.00,0.00,-2.50,0.90
46.157,0.00,10.07,13.75,0.00,-1.25,0.89
46.789,0.00,10.04,532.50,0.00,-1.25,0.88
47.829,1.25,9.77,36.25,0.00,0.00,0.87
48.762,2.50,10.05,760.00,0.00,0.00,0.86
49.575,1.25,9.88,-340.00,0.00,0.00,0.85
50.431,-2.50,9.67,513.75,0.00,1.25,0.84
51.246,1.25,10.16,803.75,0.00,1.25,0.83
52.258,1.25,9.47,312.50,0.00,0.00,0.83
53.020,1.25,9.92,743.75,0.00,0.00,0.82
54.228,6.25,10.07,616.25,0.00,-2.50,0.81
55.316,0.00,10.63,887.50,0.00,-1.25,0.80
56.875,0.00,9.76,541.25,0.00,-1.25,0.79
58.158,17.50,9.85,328.75,0.00,-1.25,0.78
59.792,1.25,9.41,682.50,0.00,1.25,0.76
8.021,-10.00,11.64,668.75,1.45,-1.25,0.78
59.466,1.25,11.11,723.75,2.35,0.00,0.76
,0.45,-1.25,1.22
10.027,3632.50,9.21,345.00,0.45,0.00,1.06
10.667,0.00,9.93,680.00,0.00,0.00,1.03
11.073,1.25,9.60,526.25,0.00,0.00,1.01
11.470,1.25,10.93,636.25,0.00,-1.25,0.99
