Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.021,1.25,10.11375,-1.25,10.96,0.0,0.0
0.039,1.25,10.11375,-1.25,10.96,0.0,0.0
0.052,1.25,10.11,-3.75,10.8375,0.0,0.0
0.063,1.25,10.11375,0.0,10.455,0.0,0.0
0.073,1.25,10.1225,676.25,10.33125,0.0,0.0
0.083,0.0,10.11625,676.25,10.33125,0.0,0.0
0.093,0.0,10.120000000000001,3961.25,9.985,0.0,0.0
0.104,0.0,10.1175,4101.25,10.071250000000001,0.0,0.0
0.114,0.0,10.1175,3870.0,10.06,0.0,0.0
0.124,0.0,10.11,4081.25,10.01375,0.0,0.0
0.135,0.0,10.11375,4163.75,10.012500000000001,0.0,0.0
0.145,1.25,10.11375,4163.75,10.012500000000001,0.0,0.0
0.155,2.5,10.1125,4031.25,10.00125,0.0,0.0
0.165,0.0,10.115,4297.5,9.99125,0.0,0.0
0.176,0.0,10.115,4341.25,9.86625,0.0,0.0
0.186,1.25,10.1175,4255.0,9.975,0.0,0.0
0.196,5.0,10.12125,3971.25,9.977500000000001,0.0,0.0
0.207,1.25,10.106250000000001,4401.25,9.87125,0.0,0.0
0.217,1.25,9.82875,4197.5,9.9625,1.25,0.0
0.227,3428.75,9.2325,4382.5,10.46875,1.25,0.0
0.237,3848.75,9.23875,4375.0,10.24875,1.25,0.0
0.248,3470.0,9.19,4380.0,10.09375,1.25,0.0
0.258,3470.0,9.19,4361.25,9.9425,1.25,0.0
0.268,3885.0,9.1575,4376.25,9.9875,1.25,0.0
0.279,4105.0,9.14875,4377.5,10.012500000000001,1.25,0.0
0.290,4141.25,9.13875,4396.25,10.227500000000001,1.25,0.0
0.300,4145.0,9.13125,4121.25,9.89875,1.25,0.0
0.310,4145.0,9.13125,4335.0,9.9675,1.25,0.0
0.320,3880.0,9.14,4335.0,9.9675,0.0,0.0025
0.331,4140.0,9.14875,4411.25,10.37125,0.0,0.0025
0.341,4137.5,9.14375,-1.25,10.96875,0.0,0.0025
0.351,4101.25,9.14,0.0,10.92625,0.0,0.0025
0.362,4101.25,9.14,1.25,10.981250000000001,-1.25,0.00125
0.372,4135.0,9.14375,27.5,10.96125,-1.25,0.00125
0.383,4141.25,9.14375,-16.25,10.8675,-1.25,0.00125
0.393,4131.25,9.14875,0.0,10.56,-1.25,0.00125
0.403,4081.25,9.15375,0.0,10.4275,-1.25,0.00125
0.413,4081.25,9.15375,-5.0,10.97625,-1.25,0.0
0.424,4153.75,9.145,6.25,10.96,-1.25,0.0
0.434,4157.5,9.137500000000001,-1.25,10.835,-1.25,0.0
0.444,4135.0,9.14,0.0,10.61,-1.25,0.0
0.454,4148.75,9.1425,0.0,10.445,-1.25,0.0
0.465,4148.75,9.1425,-6.25,10.92875,0.0,0.0
0.475,4146.25,9.137500000000001,-1.25,10.87375,0.0,0.0
0.485,4137.5,9.1325,1.25,11.055,0.0,0.0
0.495,4091.25,9.14125,0.0,10.65375,0.0,0.0
0.506,4091.25,9.14125,0.0,10.39375,0.0,0.0
0.516,4145.0,9.135,0.0,11.00375,0.0,0.0
0.526,4132.5,9.14125,1.25,10.945,0.0,0.0
0.537,4055.0,9.13125,-6.25,10.945,0.0,0.0
0.547,4126.25,9.1425,-1.25,10.682500000000001,0.0,0.0
0.557,4146.25,9.1475,10.0,10.48875,0.0,0.0
0.568,4146.25,9.1475,-1.25,11.1125,1.25,0.0
0.578,4130.0,9.145,1.25,10.925,1.25,0.0
0.588,4150.0,9.14375,1.25,10.9675,1.25,0.0
0.598,4143.75,9.14375,-2.5,10.727500000000001,1.25,0.0
0.609,4138.75,9.135,8.75,10.59125,1.25,0.0
0.619,4138.75,9.135,-1.25,10.95875,0.0,0.0
0.629,4056.25,9.151250000000001,-2.5,10.92875,0.0,0.0
0.640,4152.5,9.145,-1.25,10.835,0.0,0.0
0.650,4146.25,9.12875,-5.0,10.72375,0.0,0.0
0.660,4142.5,9.13625,-12.5,10.49875,0.0,0.0
0.670,4081.25,9.137500000000001,0.0,10.96625,1.25,0.0
0.681,4053.75,9.145,-1.25,10.9575,1.25,0.0
0.691,4145.0,9.13625,-143.75,10.8825,1.25,0.0
0.701,4153.75,9.1425,-13.75,10.59875,1.25,0.0
0.711,4136.25,9.145,-1.25,10.685,-1.25,0.00125
0.722,4125.0,9.13125,-1.25,10.9725,-1.25,0.00125
0.732,4073.75,9.14375,-17.5,10.86625,-1.25,0.00125
0.742,4136.25,9.14375,-2.5,10.81625,-1.25,0.00125
0.752,4142.5,9.151250000000001,-2.5,10.81625,-1.25,0.00125
0.763,4138.75,9.137500000000001,1.25,10.60875,-1.25,0.00125
0.773,4163.75,9.137500000000001,-31.25,10.96875,-1.25,0.0
0.784,4128.75,9.13875,2.5,10.9725,-1.25,0.0
0.794,4147.5,9.151250000000001,-171.25,11.008750000000001,-1.25,0.0
0.805,4132.5,9.145,0.0,10.61,-1.25,0.0
0.815,4105.0,9.14375,0.0,10.61,0.0,0.0
0.825,4143.75,9.1275,3.75,10.97,0.0,0.0
0.836,4140.0,9.135,26.25,10.96125,0.0,0.0
0.846,4141.25,9.14875,0.0,10.9075,0.0,0.0
0.856,4142.5,9.1425,0.0,10.61,0.0,0.0
0.867,4137.5,9.145,0.0,10.61,-1.25,0.00125
0.877,4146.25,9.14125,15.0,10.9425,-1.25,0.00125
0.887,4138.75,9.1325,10.0,10.9575,-1.25,0.00125
0.898,4147.5,9.1425,0.0,10.92625,-1.25,0.00125
0.908,4143.75,9.13875,-1.25,10.58,-1.25,0.00125
0.918,4140.0,9.1325,-1.25,10.58,-1.25,0.0
0.928,4148.75,9.137500000000001,1.25,10.76,-1.25,0.0
0.939,4142.5,9.1325,-1.25,10.61375,-1.25,0.0
0.949,4137.5,9.137500000000001,3553.75,10.16375,-1.25,0.0
0.960,4023.75,9.13625,3977.5,9.91,-1.25,0.0
0.970,4143.75,9.1425,3333.75,10.11875,-1.25,0.0
0.980,4137.5,9.13875,3481.25,10.08375,-1.25,0.0
0.991,4141.25,9.125,4096.25,10.04625,-1.25,0.0
1.001,3863.75,9.12375,4133.75,10.026250000000001,-1.25,0.0
1.011,3962.5,9.14,4297.5,9.8325,-1.25,0.0
1.022,4131.25,9.13625,4297.5,9.8325,0.0,0.0
1.032,4138.75,9.11375,4362.5,9.97375,0.0,0.0
1.042,4138.75,9.11375,4368.75,9.485,0.0,0.0
1.053,4145.0,9.13625,4368.75,9.485,0.0,0.0
1.063,4135.0,9.1325,3588.75,9.981250000000001,0.0,0.0
1.073,4135.0,9.1325,4383.75,9.9525,-1.25,0.005
1.084,4140.0,9.13125,2928.75,9.95875,-1.25,0.005
1.094,4141.25,9.120000000000001,4426.25,9.96875,-1.25,0.005
1.104,4132.5,9.151250000000001,4388.75,9.9675,-1.25,0.005
1.115,3961.25,9.13125,4388.75,9.9675,0.0,0.0
1.125,4068.75,9.13,4410.0,9.91,0.0,0.0
1.135,4113.75,9.1325,3798.75,9.69375,0.0,0.0
1.145,4137.5,9.10875,4368.75,9.95875,0.0,0.0
1.156,4036.25,9.1275,4376.25,9.963750000000001,0.0,0.0
1.166,4107.5,9.14125,4376.25,9.963750000000001,-1.25,0.00125
1.176,4136.25,9.1425,3092.5,9.96875,-1.25,0.00125
1.187,4137.5,9.13125,3092.5,9.96875,-1.25,0.00125
1.197,4002.5,9.13625,4400.0,9.92375,-1.25,0.00125
1.208,4097.5,9.12375,-1.25,10.9675,-1.25,0.00125
1.218,4026.25,9.137500000000001,-1.25,10.9675,0.0,0.0
1.228,4140.0,9.1275,1.25,10.9575,0.0,0.0
1.239,4136.25,9.125,-12.5,10.96,0.0,0.0
1.249,4122.5,9.13875,-1.25,10.762500000000001,0.0,0.0
1.260,4138.75,9.13875,0.0,10.42,0.0,0.0
1.270,4126.25,9.13625,0.0,10.42,-1.25,0.0025
1.280,4132.5,9.12875,-8.75,10.963750000000001,-1.25,0.0025
1.290,4137.5,9.12125,-1.25,10.9625,-1.25,0.0025
1.301,4135.0,9.135,-1.25,10.6075,-1.25,0.0025
