elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,4.43,-1.25,0.00,0.00,1.34
0.074,0.00,0.00,-1.25,0.67,-1.25,1.34
0.125,2.50,0.00,1.25,0.00,-1.25,1.34
0.177,0.00,0.00,0.00,0.00,0.00,1.34
0.219,-1.25,0.00,-1.25,0.00,1.25,1.34
0.283,1.25,0.35,7.50,0.00,0.00,1.34
0.376,1.25,0.66,0.00,0.19,0.00,1.34
0.423,0.00,0.72,0.00,0.33,0.00,1.34
0.541,-23.75,0.16,-1.25,1.61,0.00,1.34
0.719,1.25,0.74,-1.25,0.19,0.00,1.34
1.120,-2.50,0.68,16.25,5.03,0.00,1.34
1.485,0.00,0.00,-1.25,0.43,-6.25,1.34
2.001,0.00,0.47,520.00,4.39,0.00,1.34
2.328,1.25,0.12,-1.25,0.00,1.25,1.34
2.777,-8.75,0.00,0.00,0.00,0.00,1.34
3.041,0.00,0.00,168.75,0.11,0.00,1.34
3.772,-10.00,0.00,6.25,0.58,0.00,1.34
4.324,-3.75,0.00,6.25,0.70,-1.25,1.34
5.587,1.25,0.00,323.75,0.71,1.25,1.34
6.452,0.00,0.00,-2.50,0.00,0.00,1.34
7.025,-7.50,0.00,-1.25,0.00,0.00,1.35
7.865,1.25,3.81,-2.50,4.26,1.25,1.35
8.734,0.00,0.00,0.00,0.83,0.00,1.34
9.709,1.25,0.00,1.25,0.13,-7.50,1.34
11.289,2.50,10.76,811.25,0.00,1727.50,5.21
12.269,-2.50,10.20,795.00,1.76,162.50,5.21
13.396,0.00,12.11,922.50,0.00,30.00,5.20
14.300,1.25,9.92,730.00,0.00,32.50,5.21
15.983,5.00,10.59,681.25,1.45,30.00,5.20
17.540,0.00,10.23,590.00,0.00,32.50,5.21
18.499,1.25,9.98,817.50,0.00,31.25,5.21
19.385,0.00,10.60,160.00,0.00,32.50,5.21
20.563,1.25,10.56,923.75,0.00,31.25,5.22
23.734,0.00,10.57,825.00,0.00,30.00,5.21
25.155,6.25,10.63,836.25,0.17,32.50,5.21
25.782,1.25,9.97,258.75,0.00,96.25,5.21
26.473,1.25,10.21,562.50,0.00,32.50,5.21
27.428,0.00,11.35,921.25,0.00,0.00,5.21
28.844,1.25,10.55,913.75,0.00,32.50,5.21
30.266,0.00,10.62,781.25,0.00,32.50,5.21
31.971,0.00,10.44,795.00,0.00,31.25,5.21
34.160,10.00,10.29,831.25,0.92,28.75,5.21
35.856,20.00,10.13,221.25,0.00,31.25,5.21
37.003,-13.75,10.55,716.25,0.00,32.50,5.21
43.049,0.00,11.01,355.00,0.00,30.00,5.21
48.061,-2.50,10.54,826.25,0.00,30.00,5.21
56.249,1.25,9.88,573.75,0.00,31.25,5.21
71.354,1.25,12.06,620.00,0.00,32.50,5.21
88.472,0.00,10.30,705.00,0.00,31.25,5.21
104.586,0.00,10.28,756.25,0.00,30.00,5.21
