elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,10.99,508.75,0.00,32.50,5.21
0.056,17.50,10.23,573.75,0.00,31.25,5.21
0.085,1.25,10.78,690.00,0.00,30.00,5.21
0.131,1.25,9.85,520.00,0.00,32.50,5.21
0.164,3.75,10.11,668.75,0.00,30.00,5.21
0.187,2.50,10.27,531.25,0.97,31.25,5.21
0.208,1.25,10.20,411.25,0.00,31.25,5.21
0.229,0.00,9.67,811.25,0.00,30.00,5.21
0.250,0.00,11.59,646.25,0.00,31.25,5.21
0.270,0.00,9.80,816.25,0.00,31.25,5.21
0.290,0.00,10.31,0.00,0.00,31.25,5.21
0.311,1.25,10.12,903.75,0.00,31.25,5.21
0.332,0.00,10.73,476.25,0.00,30.00,5.21
0.353,1.25,10.16,848.75,0.00,31.25,5.21
0.374,0.00,9.59,221.25,0.00,32.50,5.21
0.394,1.25,10.22,820.00,0.00,32.50,5.21
0.415,1.25,9.73,500.00,0.00,28.75,5.21
0.437,-12.50,10.22,593.75,0.00,31.25,5.21
0.458,0.00,9.85,891.25,0.00,32.50,5.21
0.479,6.25,10.23,495.00,1.08,28.75,5.21
0.499,1.25,9.96,406.25,0.00,26.25,5.21
0.519,0.00,11.50,680.00,0.00,32.50,5.21
0.540,6.25,10.13,788.75,0.00,31.25,5.21
0.561,-1.25,9.58,868.75,0.11,30.00,5.21
0.585,1.25,10.08,800.00,0.00,33.75,5.21
0.613,0.00,10.28,112.50,0.00,32.50,5.21
0.636,0.00,10.04,822.50,0.00,30.00,5.21
0.661,1.25,10.23,523.75,0.00,32.50,5.21
0.685,0.00,10.21,895.00,0.00,32.50,5.21
0.707,1.25,10.30,127.50,0.00,32.50,5.21
0.729,0.00,10.07,848.75,0.00,31.25,5.21
0.749,1.25,9.59,626.25,0.00,32.50,5.21
0.770,2.50,10.22,775.00,0.00,31.25,5.21
0.791,0.00,9.71,887.50,0.00,31.25,5.21
0.813,1.25,10.23,145.00,0.00,31.25,5.21
0.833,1.25,9.90,852.50,0.00,32.50,5.21
0.853,13.75,11.76,531.25,1.39,32.50,5.21
0.874,0.00,10.02,507.50,0.00,31.25,5.21
0.895,0.00,11.23,691.25,0.26,30.00,5.21
0.915,-11.25,10.23,816.25,0.00,31.25,5.21
0.935,0.00,9.71,892.50,0.00,30.00,5.21
0.956,3.75,10.29,131.25,0.00,33.75,5.21
0.976,1.25,9.87,900.00,0.00,32.50,5.21
0.997,0.00,10.25,100.00,0.00,27.50,5.21
1.018,1.25,10.08,896.25,0.00,27.50,5.21
1.039,3.75,10.22,295.00,1.02,28.75,5.21
1.059,2.50,10.12,898.75,0.00,31.25,5.21
1.080,0.00,9.57,272.50,0.00,32.50,5.21
1.100,1.25,11.32,702.50,0.00,32.50,5.21
1.127,0.00,9.78,225.00,0.00,32.50,5.21
1.156,-2.50,10.03,763.75,0.00,31.25,5.21
1.178,1.25,10.31,548.75,0.00,31.25,5.21
1.198,1.25,10.16,370.00,0.00,28.75,5.21
1.219,1.25,9.73,878.75,0.00,27.50,5.21
1.239,1.25,10.22,507.50,0.00,31.25,5.21
1.261,-1.25,9.94,816.25,0.00,32.50,5.21
1.281,10.00,10.22,-21.25,0.00,31.25,5.21
1.301,0.00,9.96,887.50,0.00,31.25,5.21
1.322,7.50,10.23,583.75,0.00,32.50,5.21
1.342,1.25,10.09,901.25,0.00,31.25,5.21
1.363,2.50,9.57,203.75,0.53,31.25,5.21
1.383,0.00,10.38,445.00,0.00,30.00,5.21
1.404,0.00,9.70,876.25,0.00,31.25,5.21
1.424,1.25,10.29,667.50,0.00,27.50,5.21
1.445,2.50,9.94,896.25,0.00,31.25,5.21
1.465,3.75,10.24,3.75,0.00,31.25,5.21
1.494,1.25,9.91,830.00,0.00,30.00,5.21
1.515,1.25,10.28,85.00,0.00,31.25,5.21
1.536,0.00,10.13,895.00,0.00,32.50,5.21
1.556,0.00,10.30,165.00,0.00,31.25,5.21
1.580,0.00,10.01,843.75,0.00,31.25,5.21
1.602,1.25,10.23,2.50,0.00,32.50,5.21
1.630,0.00,9.86,892.50,0.00,31.25,5.21
1.657,1.25,10.31,277.50,0.00,31.25,5.21
1.678,1.25,10.04,766.25,0.00,27.50,5.21
1.699,2.50,10.60,-16.25,0.00,30.00,5.21
1.719,1.25,10.11,895.00,0.00,31.25,5.21
1.740,1.25,9.56,366.25,0.00,28.75,5.21
1.760,2.50,11.07,908.75,0.00,31.25,5.21
1.780,1.25,9.72,815.00,0.00,31.25,5.21
1.801,1.25,10.56,518.75,0.00,32.50,5.21
1.820,0.00,9.85,798.75,0.00,30.00,5.21
1.843,1.25,11.92,682.50,0.00,31.25,5.21
