elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
2.552,-21.25,10.03,532.50,0.00,0.00,1.37
2.576,1.25,9.67,641.25,0.00,0.00,1.32
2.605,-158.75,10.28,890.00,0.00,0.00,1.40
2.633,0.00,9.51,878.75,2.04,1.25,1.36
2.658,0.00,10.13,721.25,0.00,-1.25,1.33
2.685,0.00,10.95,673.75,1.75,-1.25,1.33
2.705,0.00,9.96,528.75,0.00,0.00,1.32
2.726,0.00,9.64,858.75,0.00,0.00,1.32
2.746,-10.00,10.02,528.75,0.00,0.00,1.33
2.765,0.00,9.64,875.00,0.00,-1.25,1.32
2.785,0.00,11.59,693.75,0.04,0.00,1.32
2.804,0.00,9.81,782.50,0.00,0.00,1.32
2.825,1.25,10.50,686.25,0.00,-1.25,1.32
2.845,0.00,9.98,750.00,0.00,-1.25,1.33
2.864,0.00,9.50,398.75,0.00,0.00,1.33
2.884,1.25,11.52,617.50,0.00,0.00,1.34
2.903,1.25,9.63,723.75,0.00,-1.25,1.33
2.924,0.00,10.44,688.75,0.00,0.00,1.33
2.944,1.25,9.78,867.50,0.00,0.00,1.33
2.963,0.00,10.12,435.00,0.00,1.25,1.32
2.986,1.25,9.67,722.50,0.00,0.00,1.38
3.015,1.25,10.17,13.75,0.00,0.00,1.38
3.035,2.50,10.02,883.75,0.00,-1.25,1.38
3.055,0.00,9.85,58.75,0.00,-1.25,1.38
3.074,1.25,10.54,332.50,0.00,0.00,1.39
3.094,0.00,9.49,862.50,0.00,1.25,1.39
3.114,1.25,10.18,322.50,0.00,-1.25,1.39
3.135,1.25,9.84,875.00,0.00,0.00,1.38
3.154,11.25,10.04,137.50,0.00,0.00,1.37
3.176,1.25,9.87,865.00,0.00,0.00,1.37
3.196,0.00,10.06,456.25,2.63,1.25,1.38
3.215,1.25,10.00,472.50,0.00,-1.25,1.38
3.235,0.00,9.68,876.25,0.26,0.00,1.38
3.254,2.50,10.03,35.00,0.00,1.25,1.39
3.274,0.00,9.66,445.00,0.00,0.00,1.39
3.293,1.25,11.63,682.50,0.00,1.25,1.40
3.312,-1.25,9.82,712.50,0.00,0.00,1.40
3.332,2.50,10.06,136.25,0.00,0.00,1.40
3.351,0.00,10.46,883.75,0.00,0.00,1.32
3.371,1.25,9.55,702.50,0.00,0.00,1.33
3.390,0.00,10.21,-188.75,0.00,-1.25,1.35
3.411,0.00,9.92,697.50,0.00,0.00,1.36
3.431,0.00,10.14,533.75,0.00,0.00,1.39
3.454,1.25,9.75,755.00,0.00,0.00,1.36
3.477,1.25,10.12,-146.25,0.00,0.00,1.34
3.502,0.00,9.84,876.25,0.00,-1.25,1.34
3.521,-11.25,10.03,27.50,2.57,0.00,1.34
3.540,1.25,9.93,350.00,0.00,-1.25,1.35
3.560,0.00,9.43,853.75,0.00,1.25,1.35
3.580,5.00,10.10,476.25,0.00,-2.50,1.35
3.599,1.25,9.66,467.50,0.00,0.00,1.35
3.619,0.00,11.14,690.00,0.76,-1.25,1.36
3.638,0.00,9.78,690.00,0.00,0.00,1.35
3.660,1.25,10.49,688.75,0.00,0.00,1.34
3.682,1.25,9.88,645.00,0.00,1.25,1.34
3.701,1.25,9.45,643.75,0.30,-1.25,1.34
3.720,3.75,10.03,670.00,0.00,0.00,1.35
3.740,1.25,9.57,536.25,0.00,0.00,1.35
3.759,1.25,11.42,687.50,0.00,0.00,1.35
3.779,0.00,9.71,715.00,0.00,0.00,1.35
3.799,0.00,10.17,683.75,0.00,-1.25,1.36
3.819,1.25,10.15,890.00,0.00,-1.25,1.36
3.838,1.25,9.43,507.50,0.00,1.25,1.36
3.858,0.00,11.20,763.75,0.00,1.25,1.37
3.877,-1.25,9.58,871.25,0.00,1.25,1.37
3.897,1.25,10.04,522.50,0.00,0.00,1.37
3.917,0.00,9.94,881.25,0.00,0.00,1.36
3.937,-7.50,10.03,470.00,1.40,0.00,1.36
3.957,1.25,9.93,346.25,0.00,1.25,1.34
3.987,-1.25,10.04,48.75,0.00,0.00,1.31
4.008,1.25,9.87,866.25,0.00,-1.25,1.31
4.028,1.25,10.05,501.25,0.00,0.00,1.32
4.048,0.00,10.02,740.00,0.00,0.00,1.32
4.068,1.25,9.55,877.50,0.00,-1.25,1.31
4.087,0.00,10.04,77.50,0.00,-1.25,1.31
4.108,2.50,9.70,473.75,0.00,-1.25,1.31
4.127,1.25,11.66,677.50,0.75,-1.25,1.32
4.147,2.50,9.81,702.50,0.00,-1.25,1.32
4.166,0.00,10.13,-23.75,0.00,1.25,1.32
4.186,0.00,9.96,761.25,0.00,0.00,1.31
4.209,-1.25,9.49,757.50,0.00,-1.25,1.32
4.228,3.75,10.03,501.25,0.00,1.25,1.32
4.248,1.25,9.61,372.50,0.00,-1.25,1.32
4.267,0.00,10.14,646.25,0.00,1.25,1.32
4.287,1.25,9.79,737.50,0.00,-1.25,1.32
4.306,-1.25,10.23,-77.50,0.00,-1.25,1.32
4.326,0.00,10.15,878.75,0.00,0.00,1.33
4.345,1.25,9.46,748.75,0.00,0.00,1.33
4.365,-158.75,10.04,17.50,0.00,-2.50,1.33
4.384,0.00,9.72,875.00,0.00,0.00,1.33
4.404,10.00,10.03,30.00,2.35,-1.25,1.32
4.425,0.00,9.85,870.00,0.00,1.25,1.32
4.445,2.50,10.06,512.50,0.00,-1.25,1.32
4.466,1.25,9.95,723.75,0.00,-1.25,1.32
4.486,1.25,9.46,286.25,0.00,0.00,1.31
4.511,0.00,10.61,877.50,0.00,-1.25,1.37
4.536,0.00,9.56,651.25,1.31,-1.25,1.37
4.555,-138.75,10.03,737.50,0.00,1.25,1.38
4.574,2.50,9.55,356.25,0.00,-1.25,1.38
4.594,-1.25,10.04,693.75,0.00,0.00,1.38
4.614,1.25,9.73,698.75,0.00,0.00,1.40
4.633,0.00,10.14,-223.75,0.00,0.00,1.40
4.653,0.00,10.00,887.50,0.00,-1.25,1.39
4.672,0.00,9.42,368.75,0.00,0.00,1.37
4.694,0.00,10.06,883.75,0.00,-1.25,1.39
