elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,10.17,697.50,0.00,-1.25,1.38
0.063,0.00,11.40,697.50,1.03,-1.25,1.39
0.093,1.25,11.49,673.75,2.30,-2.50,1.37
0.139,0.00,10.04,428.75,0.00,-1.25,1.38
0.172,1.25,9.71,685.00,0.00,-1.25,1.36
0.197,2.50,11.66,697.50,0.00,0.00,1.35
0.217,0.00,9.79,301.25,0.00,-1.25,1.34
0.242,7.50,10.04,523.75,0.00,1.25,1.33
0.265,1.25,9.76,740.00,0.00,0.00,1.31
0.288,0.00,11.61,681.25,0.00,0.00,1.31
0.309,2.50,9.84,738.75,0.00,-1.25,1.40
0.331,2.50,11.59,658.75,1.52,1.25,1.40
0.354,-1.25,9.92,866.25,0.00,-1.25,1.36
0.377,1.25,10.15,350.00,0.00,1.25,1.35
0.398,1.25,10.14,768.75,0.00,0.00,1.34
0.420,0.00,9.41,696.25,0.00,-2.50,1.34
0.441,25.00,9.98,711.25,0.00,0.00,1.33
0.463,1.25,9.58,703.75,0.20,1.25,1.33
0.484,0.00,10.04,638.75,0.00,0.00,1.33
0.505,1.25,9.77,863.75,0.19,1.25,1.31
0.526,-98.75,10.04,256.25,0.00,-1.25,1.31
0.548,0.00,9.75,717.50,0.00,1.25,1.35
0.570,2.50,10.40,-296.25,0.00,0.00,1.38
0.593,2.50,9.62,878.75,0.00,-1.25,1.33
0.625,73.75,9.95,777.50,0.00,-1.25,1.37
0.654,0.00,11.75,665.00,1.01,0.00,1.33
0.683,1.25,9.69,758.75,0.00,-1.25,1.32
0.706,1.25,11.54,688.75,0.00,-1.25,1.32
0.727,0.00,9.79,700.00,0.00,0.00,1.31
0.748,-2.50,11.35,612.50,2.49,-1.25,1.36
0.769,1.25,9.85,441.25,0.00,0.00,1.38
0.790,0.00,10.49,663.75,0.00,0.00,1.39
0.812,0.00,10.12,887.50,0.00,0.00,1.36
0.837,1.25,10.42,82.50,0.00,0.00,1.36
0.858,3.75,9.88,402.50,0.00,-1.25,1.33
0.883,1.25,10.08,370.00,0.00,-1.25,1.32
0.904,1.25,9.98,663.75,0.00,0.00,1.32
0.925,1.25,9.42,827.50,2.10,-1.25,1.32
0.945,1.25,10.12,887.50,0.00,0.00,1.31
0.967,2.50,9.51,521.25,0.00,1.25,1.39
