Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.004,,,,,,
0.015,,9.94,-1.25,,,
0.026,2296.25,9.20125,,0.01625,,
0.036,3390.0,9.120000000000001,-1.25,0.08125,,
0.047,3222.5,9.16375,-1.25,0.08125,,
0.057,3222.5,9.16375,-7.5,0.04125,,
0.067,3558.75,9.075000000000001,,0.02375,,
0.077,3517.5,9.0975,,0.01375,,
0.088,3418.75,9.12125,-7.5,0.08375,,
0.098,3462.5,9.0925,-5.0,0.0925,,
0.108,3480.0,9.09375,-5.0,0.0925,,
0.118,3505.0,9.0875,-1.25,0.02625,,
0.128,3491.25,9.095,-1.25,0.20625000000000002,,
0.138,3507.5,9.08375,-8.75,0.09,,
0.149,3503.75,9.085,1.25,0.0225,,
0.159,3491.25,9.088750000000001,1.25,0.0225,,
0.169,3511.25,9.0875,,0.0175,,
0.179,3507.5,9.09,-1.25,0.11125,,
0.189,3481.25,9.08,-2.5,0.0625,,
0.199,3483.75,9.0875,-2.5,0.03,,
0.209,3502.5,9.09125,1.25,0.01,-1.25,
0.220,3513.75,9.085,-1.25,0.02625,-1.25,
0.230,3516.25,9.08625,-2.5,0.09,-1.25,
0.240,3498.75,9.0825,5.0,0.10875,-1.25,
0.250,3491.25,9.09,,0.0225,-1.25,
0.260,3502.5,9.0825,,0.0425,1.25,
0.270,3512.5,9.088750000000001,-1.25,0.01125,1.25,
0.280,3500.0,9.075000000000001,1.25,0.135,1.25,
0.291,3515.0,9.08375,-3.75,0.0225,1.25,
0.301,3495.0,9.09,-2.5,0.0225,1.25,
0.311,3502.5,9.0925,-1.25,0.02,,
0.321,3511.25,9.088750000000001,,0.045,,
0.331,3511.25,9.085,-2.5,0.0925,,
0.341,3506.25,9.0825,1.25,0.06,,
0.352,3507.5,9.08,,0.025,,
0.362,3513.75,9.0925,-1.25,0.1475,1.25,
0.372,3513.75,9.0925,,0.02875,1.25,
0.382,3502.5,9.08625,-3.75,0.11,1.25,
0.393,3502.5,9.088750000000001,,0.015,1.25,
0.404,3497.5,9.0825,-2.5,0.08750000000000001,1.25,
0.415,3500.0,9.0775,-2.5,0.08750000000000001,,0.00125
0.426,3511.25,9.085,-2.5,0.0225,,0.00125
0.437,3515.0,9.0925,-2.5,0.0225,,0.00125
0.449,3498.75,9.08375,1.25,0.0225,,0.00125
0.459,3501.25,9.09,1.25,0.0225,,0.00125
0.469,3501.25,9.09,-3.75,0.09375,,0.00125
0.480,3502.5,9.08375,1.25,0.02125,1.25,
0.492,3506.25,9.085,1.25,0.0275,1.25,
0.502,3501.25,9.0875,,0.015,1.25,
0.513,3500.0,9.08375,,0.13875,,
0.524,3515.0,9.088750000000001,,0.1,,
0.534,3497.5,9.088750000000001,,0.025,,
0.545,3511.25,9.09,-1.25,0.015,,
0.556,3493.75,9.0875,,0.035,,
0.567,3511.25,9.09,,0.025,,0.00375
0.577,3522.5,9.09,-6.25,0.04,,0.00375
0.587,3515.0,9.0775,-1.25,0.0175,,0.00375
0.598,3491.25,9.085,,0.01875,,0.00375
0.608,3513.75,9.085,-1.25,0.07875,,0.00375
0.618,3511.25,9.0875,-3.75,0.02375,-1.25,0.005
0.628,3516.25,9.085,-1.25,0.0675,-1.25,0.005
0.638,3506.25,9.08375,-2.5,0.0475,-1.25,0.005
0.649,3512.5,9.0925,,0.01875,-1.25,0.005
0.659,3512.5,9.0925,-1.25,0.1325,-1.25,0.005
0.670,3512.5,9.09,5.0,0.02375,1.25,
0.680,3521.25,9.0875,-2.5,0.02625,1.25,
0.690,3508.75,9.08625,,0.02,1.25,
0.701,3502.5,9.09125,,0.01625,1.25,
0.711,3507.5,9.0825,,0.0775,1.25,
0.721,3503.75,9.09125,-1.25,0.07625,-2.5,
0.731,3503.75,9.0825,6.25,0.02875,-2.5,
0.742,3505.0,9.09125,-1.25,0.02125,-2.5,
0.752,3513.75,9.09875,-1.25,0.0175,-2.5,
0.762,3487.5,9.08125,6.25,0.10625,,
0.772,3507.5,9.0875,3.75,0.10625,,
0.783,3510.0,9.085,,0.015,,
0.793,3502.5,9.0875,1.25,0.0275,,
0.803,3500.0,9.07875,-6.25,0.13625,,
0.813,3516.25,9.0875,-6.25,0.13625,,
0.824,3501.25,9.08375,,0.0125,,
0.834,3506.25,9.07875,-2.5,0.02375,,
0.844,3506.25,9.09,-2.5,0.03375,,
0.854,3496.25,9.08375,-2.5,0.03375,,
0.864,3510.0,9.09125,-2.5,0.04125,,
0.874,3513.75,9.08375,,0.01875,,
0.885,3512.5,9.0825,-2.5,0.0275,,
0.895,3502.5,9.0875,2.5,0.0725,,
0.905,3507.5,9.085,1.25,0.105,,
0.915,3508.75,9.08375,1.25,0.0275,,
0.925,3496.25,9.0825,-1.25,0.01375,,
0.935,3517.5,9.07875,-1.25,0.07,,
0.946,3498.75,9.08125,1.25,0.21125,,
0.956,3508.75,9.085,1.25,0.21125,,
0.966,3515.0,9.0825,,0.0225,-2.5,0.0025
0.976,3515.0,9.08375,-1.25,0.02,-2.5,0.0025
0.987,3506.25,9.0875,3.75,0.10875,-2.5,0.0025
0.997,3515.0,9.088750000000001,8.75,0.09375,-2.5,0.0025
1.007,3511.25,9.08125,-1.25,0.01,-2.5,0.0025
1.017,3503.75,9.08125,1.25,0.02,1.25,
1.027,3506.25,9.088750000000001,1.25,0.1125,1.25,
1.037,3500.0,9.0875,-2.5,0.115,1.25,
1.048,3515.0,9.09,3.75,0.01875,1.25,
1.058,3507.5,9.0825,1.25,0.01375,1.25,
1.068,3508.75,9.08125,2.5,0.02,-1.25,
1.078,3512.5,9.08375,-1.25,0.035,-1.25,
1.089,3510.0,9.085,5.0,0.085,-1.25,
1.099,3508.75,9.08625,-3.75,0.0525,-1.25,
1.109,3507.5,9.088750000000001,,0.01375,-1.25,
1.119,3502.5,9.0825,,0.02,1.25,0.00125
1.130,3512.5,9.088750000000001,-2.5,0.14,1.25,0.00125
1.140,3496.25,9.08125,1.25,0.1075,1.25,0.00125
1.150,3513.75,9.088750000000001,,0.0225,1.25,0.00125
1.160,3482.5,9.08,,0.0125,1.25,
1.170,3505.0,9.088750000000001,-1.25,0.065,1.25,
1.180,3513.75,9.08375,,0.09625,1.25,
1.191,3508.75,9.085,,0.02625,1.25,
1.201,3500.0,9.1,2.5,0.02375,1.25,
1.211,3505.0,9.08,,0.01875,,
1.221,3500.0,9.0925,,0.0225,,
1.231,3508.75,9.08375,,0.1125,,
1.241,3506.25,9.0825,-1.25,0.07875,,
1.251,3497.5,9.0775,1.25,0.0275,,
1.262,3506.25,9.0825,-2.5,0.0175,-2.5,
1.272,3501.25,9.08375,,0.0225,-2.5,
1.282,3515.0,9.0875,-6.25,0.043750000000000004,-2.5,
1.292,3512.5,9.085,7.5,0.095,-2.5,
1.302,3503.75,9.08375,-2.5,0.0175,-2.5,
1.313,3513.75,9.09125,1.25,0.0375,,
1.323,3518.75,9.08,,0.07625,,
1.333,3501.25,9.0875,,0.18375,,
1.343,3503.75,9.08375,,0.0225,,
1.353,3507.5,9.08625,1.25,0.02375,,
1.363,3512.5,9.0825,1.25,0.01625,,
1.374,3505.0,9.09375,-1.25,0.0325,,
1.384,3497.5,9.09,3.75,0.07375,,
1.394,3507.5,9.0875,-2.5,0.03375,,
1.404,3470.0,9.085,,0.0125,,
1.415,3487.5,9.08125,-1.25,0.1225,,0.0025
1.425,3511.25,9.0825,2.5,0.09875,,0.0025
1.435,3510.0,9.0825,-8.75,0.08625000000000001,,0.0025
1.445,3508.75,9.08,,0.00875,,0.0025
1.455,3506.25,9.08375,-1.25,0.02375,,0.0025
1.465,3511.25,9.09125,,0.08125,,
1.476,3511.25,9.09875,-1.25,0.105,,
1.486,3511.25,9.08125,2.5,0.02625,,
1.496,3497.5,9.08,,0.01875,,
1.506,3510.0,9.07875,-1.25,0.0325,,
1.516,3513.75,9.09125,-1.25,0.115,-1.25,
1.526,3507.5,9.088750000000001,2.5,0.095,-1.25,
1.536,3513.75,9.0875,2.5,0.06375,-1.25,
1.547,3515.0,9.0825,-1.25,0.0175,-1.25,
1.557,3518.75,9.08125,,0.01875,-1.25,
1.567,3512.5,9.09,1.25,0.1675,,0.00375
1.577,3510.0,9.0925,-7.5,0.0725,,0.00375
1.588,3468.75,9.0775,-1.25,0.0175,,0.00375
1.598,3468.75,9.0775,-1.25,0.01375,,0.00375
1.608,3516.25,9.09375,,0.09375,,0.00375
1.618,3515.0,9.08125,-2.5,0.0225,,0.0075
1.629,3507.5,9.0875,,0.01,,0.0075
1.639,3498.75,9.088750000000001,,0.07625,,0.0075
1.649,3508.75,9.08125,1.25,0.08875,,0.0075
1.660,3500.0,9.07875,-6.25,0.06625,,0.0075
1.670,3500.0,9.0825,1.25,0.0275,,0.00375
1.680,3510.0,9.09,,0.01625,,0.00375
1.690,3503.75,9.0875,1.25,0.0275,,0.00375
1.700,3513.75,9.088750000000001,-2.5,0.10125,,0.00375
1.711,3486.25,9.07875,,0.07,,0.00375
1.721,3506.25,9.09,6.25,0.025,1.25,0.0025
1.731,3512.5,9.085,1.25,0.01875,1.25,0.0025
1.741,3508.75,9.09875,-1.25,0.025,1.25,0.0025
1.751,3506.25,9.085,,0.09125,1.25,0.0025
1.761,3516.25,9.09,2.5,0.08875,1.25,0.0025
1.772,3506.25,9.0825,,0.0275,-1.25,0.005
1.782,3506.25,9.08625,-1.25,0.01625,-1.25,0.005
1.792,3510.0,9.0925,,0.075,-1.25,0.005
1.802,3517.5,9.08125,-2.5,0.14875,-1.25,0.005
1.812,3497.5,9.09125,-3.75,0.02125,-1.25,0.005
1.823,3503.75,9.095,1.25,0.02375,-2.5,0.0025
1.833,3508.75,9.07625,,0.02125,-2.5,0.0025
1.843,3500.0,9.088750000000001,-1.25,0.05,-2.5,0.0025
1.854,3508.75,9.0825,-1.25,0.11125,-2.5,0.0025
1.864,3485.0,9.08125,-6.25,0.04625,,
1.874,2.5,9.946250000000001,1.25,0.015,,
1.884,,9.94375,-1.25,,,
1.894,2.5,9.9425,,,,
1.905,,9.9425,-1.25,0.04125,,
1.915,,9.94375,,,,0.0025
1.925,,9.9425,-1.25,0.01,,0.0025
1.935,1.25,9.94375,,,,0.0025
1.945,1.25,9.94375,,0.00875,,0.0025
1.955,-1.25,9.945,-1.25,,,0.0025
1.966,1.25,9.94125,2.5,,,
1.976,2.5,9.94125,1.25,0.01125,,
1.986,,9.94375,-2.5,,,
1.996,1.25,9.9425,3.75,0.0025,,
2.006,1.25,9.94,1.25,,,
2.016,-1.25,9.9425,-2.5,0.0175,-1.25,
2.026,-1.25,9.9425,-1.25,,-1.25,
2.037,1.25,9.94375,,0.015,-1.25,
2.047,1.25,9.94375,-2.5,0.043750000000000004,-1.25,
2.057,1.25,9.94375,1.25,,-1.25,
2.067,1.25,9.94,-1.25,0.02375,,0.0025
2.077,1.25,9.935,,,,0.0025
2.087,,9.94375,,0.005,,0.0025
2.098,1.25,9.93625,,0.0075,,0.0025
2.108,1.25,9.9425,,0.0075,,0.0025
2.118,,9.94125,1.25,0.02625,,
2.128,2.5,9.94125,,0.00125,,
2.138,1.25,9.94125,-1.25,0.0025,,
2.148,1.25,9.94,2.5,0.0075,,
2.159,,9.94125,1.25,,,
2.169,,9.945,-1.25,0.01625,1.25,
2.179,,9.94125,-3.75,0.01,1.25,
2.189,,9.94125,-1.25,0.025,1.25,
2.199,2.5,9.94125,,0.01,1.25,
2.209,,9.94125,,,1.25,
2.220,1.25,9.93875,,0.015,1.25,0.00125
2.230,1.25,9.94375,-2.5,,1.25,0.00125
2.240,2.5,9.94125,-6.25,,1.25,0.00125
2.250,1.25,9.94125,-3.75,0.01125,1.25,0.00125
2.260,1.25,9.94125,-1.25,,1.25,0.00125
2.270,1.25,9.93875,-1.25,0.0225,-1.25,0.0025
2.280,,9.93875,-2.5,0.03625,-1.25,0.0025
2.290,,9.94125,,,-1.25,0.0025
2.301,1.25,9.9425,1.25,0.01375,-1.25,0.0025
2.311,2.5,9.94125,,,-1.25,0.0025
2.321,1.25,9.9375,2.5,0.01125,-1.25,
2.331,1.25,9.93875,,0.00625,-1.25,
2.341,-1.25,9.94125,,,-1.25,
2.351,,9.94125,,0.0125,-1.25,
2.361,,9.9425,2.5,0.01875,-1.25,
2.372,,9.94,,0.015,-1.25,0.005
2.382,,9.9375,2.5,0.01,-1.25,0.005
2.392,1.25,9.94125,2.5,,-1.25,0.005
2.402,,9.94125,1.25,0.02375,-1.25,0.005
2.412,,9.94375,-1.25,,-1.25,0.005
2.422,1.25,9.93875,-1.25,0.04,,0.0025
2.433,1.25,9.93875,-2.5,0.02625,,0.0025
2.443,,9.94,-2.5,,,0.0025
2.453,1.25,9.94,1.25,0.0225,,0.0025
2.463,,9.94,2.5,,,0.0025
2.473,,9.93875,,0.015,,0.0025
2.483,-1.25,9.9425,1.25,0.01,,0.0025
2.493,1.25,9.9425,,,,0.0025
2.504,,9.93875,,0.02125,,0.0025
2.514,,9.94375,-2.5,,-2.5,0.0025
2.524,,9.93875,1.25,,-2.5,0.0025
2.534,,9.94125,,0.00875,-2.5,0.0025
2.544,1.25,9.94125,,,-2.5,0.0025
2.554,1.25,9.94,,0.01625,-2.5,0.0025
2.564,,9.945,1.25,,,0.00375
2.575,-1.25,9.94,-1.25,0.0375,,0.00375
2.585,,9.9425,-2.5,0.01125,,0.00375
2.595,-2.5,9.9425,-2.5,,,0.00375
2.605,,9.93875,2.5,0.01125,,0.00375
2.615,,9.94375,1.25,0.00125,-1.25,0.0025
2.625,1.25,9.94125,1.25,,-1.25,0.0025
2.636,,9.94,-1.25,0.0125,-1.25,0.0025
2.646,1.25,9.94125,-2.5,,-1.25,0.0025
2.656,1.25,9.93875,,0.01875,-1.25,0.0025
2.666,,9.9425,,0.03,1.25,
2.676,1.25,9.9425,5.0,,1.25,
2.686,,9.94375,1.25,0.01875,1.25,
2.696,1.25,9.9425,1.25,,1.25,
2.707,1.25,9.94125,-2.5,0.01875,1.25,
2.717,,9.9425,-5.0,0.03375,,0.00375
2.727,,9.94125,-1.25,0.025,,0.00375
2.737,,9.93875,1.25,0.01375,,0.00375
2.747,-1.25,9.93875,,,,0.00375
2.757,,9.94125,,0.01125,,0.00375
