Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.004,,,,,,
0.030,2.5,10.12875,-2.5,0.0,1.25,0.0
0.041,0.0,10.12875,2.5,0.02375,1.25,0.0
0.052,1.25,10.12875,0.0,0.0,1.25,0.0
0.063,0.0,10.13,2.5,0.0,1.25,0.0
0.074,0.0,10.13,-1.25,0.02625,0.0,0.005
0.086,1.25,10.1325,-2.5,0.0,0.0,0.005
0.098,1.25,10.1325,-5.0,0.0,0.0,0.005
0.111,1.25,10.12875,-2.5,0.01375,0.0,0.005
0.126,1.25,10.13125,-3.75,0.01,-1.25,0.0025
0.137,0.0,10.13125,1.25,0.01,-1.25,0.0025
0.147,0.0,10.13,0.0,0.0,-1.25,0.0025
0.157,2.5,10.13125,-2.5,0.015,-1.25,0.0025
0.167,0.0,10.13,-5.0,0.0,-1.25,0.0
0.177,2.5,10.13125,-3.75,0.01375,-1.25,0.0
0.188,1.25,10.12875,-3.75,0.0075,-1.25,0.0
0.198,1.25,10.1325,2.5,0.0,-1.25,0.0
0.208,1.25,10.12875,0.0,0.0175,-1.25,0.0
0.218,1.25,10.1275,-2.5,0.0,0.0,0.0
0.228,1.25,10.12875,-2.5,0.0125,0.0,0.0
0.239,0.0,10.12625,-5.0,0.005,0.0,0.0
0.249,0.0,10.13,0.0,0.0,0.0,0.0
0.259,2.5,10.1275,-1.25,0.01625,0.0,0.0
0.269,0.0,10.12875,-1.25,0.0,0.0,0.0
0.279,0.0,10.13,1.25,0.0,0.0,0.0
0.290,1.25,10.1275,3.75,0.0075,0.0,0.0
0.300,0.0,10.1275,0.0,0.0,0.0,0.0
0.310,0.0,10.12875,-1.25,0.0225,0.0,0.0
0.320,0.0,10.1275,-3.75,0.0,0.0,0.0
0.330,1.25,10.12875,-1.25,0.00375,0.0,0.0
0.341,1.25,10.13,-3.75,0.0075,0.0,0.0
0.351,0.0,10.13,-2.5,0.0,0.0,0.0
0.361,0.0,10.13125,0.0,0.02375,0.0,0.0
0.371,1.25,10.12875,2.5,0.01,0.0,0.0
0.381,0.0,10.12875,1.25,0.00875,0.0,0.0
0.392,0.0,10.13,1.25,0.01375,0.0,0.0
0.402,1.25,10.1275,2.5,0.0,0.0,0.0
0.412,0.0,10.1325,0.0,0.01875,-1.25,0.0
0.422,1.25,10.13125,-5.0,0.0,-1.25,0.0
0.432,0.0,10.13,-5.0,0.0,-1.25,0.0
0.442,1.25,10.12875,-2.5,0.01,-1.25,0.0
0.453,1.25,10.12875,-2.5,0.0,-1.25,0.0
0.463,0.0,10.12625,-3.75,0.015,-2.5,0.0
0.473,1.25,10.12625,-1.25,0.00375,-2.5,0.0
0.483,0.0,10.13,-3.75,0.0025,-2.5,0.0
0.493,1.25,10.13,-5.0,0.0175,-2.5,0.0
0.504,1.25,10.125,-1.25,0.0,-2.5,0.0
0.514,1.25,10.1325,-1.25,0.025,0.0,0.0
0.525,0.0,10.12875,0.0,0.00625,0.0,0.0
0.536,0.0,10.133750000000001,0.0,0.00375,0.0,0.0
0.547,0.0,10.13125,-2.5,0.0175,0.0,0.0
0.558,1.25,10.1275,2.5,0.00875,0.0,0.0
0.569,0.0,10.12625,1.25,0.0,0.0,0.0
0.579,1.25,10.13,1.25,0.02375,0.0,0.0
0.589,1.25,10.13,0.0,0.0,0.0,0.0
0.599,0.0,10.1325,1.25,0.00875,0.0,0.0
0.610,1.25,10.13,0.0,0.0,0.0,0.0
0.620,0.0,10.12875,-1.25,0.02125,-1.25,0.0
0.630,1.25,10.125,-2.5,0.0,-1.25,0.0
0.640,1.25,10.13,0.0,0.0025,-1.25,0.0
0.650,1.25,10.1275,-1.25,0.005,-1.25,0.0
0.660,1.25,10.13,3.75,0.0,-1.25,0.0
0.671,0.0,10.12625,1.25,0.0175,-1.25,0.0
0.681,0.0,10.13,0.0,0.0,-1.25,0.0
0.691,0.0,10.13,0.0,0.0,-1.25,0.0
0.702,1.25,10.13125,-1.25,0.0,-1.25,0.0
0.712,1.25,10.12875,0.0,0.0225,-1.25,0.0
0.723,0.0,10.13,-2.5,0.0175,-1.25,0.00375
0.733,0.0,10.13125,-3.75,0.0,-1.25,0.00375
0.744,1.25,10.13,-1.25,0.00125,-1.25,0.00375
0.754,0.0,10.1275,-1.25,0.015,-1.25,0.00375
0.764,1.25,10.12625,1.25,0.0,0.0,0.0
0.774,1.25,10.13,1.25,0.01875,0.0,0.0
0.784,0.0,10.1275,1.25,0.0,0.0,0.0
0.795,1.25,10.13,3.75,0.01125,0.0,0.0
0.805,1.25,10.13125,3.75,0.015,0.0,0.0
0.815,3.75,10.13,0.0,0.0,-1.25,0.0
0.825,0.0,10.125,-1.25,0.0125,-1.25,0.0
0.835,2.5,10.12875,-1.25,0.0,-1.25,0.0
0.846,1.25,10.13125,-1.25,0.0,-1.25,0.0
0.856,1.25,10.12875,0.0,0.01375,-1.25,0.0
0.866,1.25,10.12625,0.0,0.0,0.0,0.0
0.876,0.0,10.1275,-1.25,0.0175,0.0,0.0
0.886,1.25,10.13,-2.5,0.0,0.0,0.0
0.896,1.25,10.12875,-5.0,0.0,0.0,0.0
0.907,0.0,10.12625,-3.75,0.00875,0.0,0.0
0.917,1.25,10.13,-1.25,0.0,0.0,0.00125
0.927,1.25,10.13,-1.25,0.02,0.0,0.00125
0.937,1.25,10.1275,2.5,0.00625,0.0,0.00125
0.947,1.25,10.13,1.25,0.0,0.0,0.00125
0.957,1.25,10.12625,1.25,0.0175,0.0,0.00125
0.968,0.0,10.13,1.25,0.00125,-1.25,0.0025
0.978,0.0,10.13,-1.25,0.01125,-1.25,0.0025
0.988,0.0,10.13125,-5.0,0.0,-1.25,0.0025
0.998,2.5,10.12875,-2.5,0.0,-1.25,0.0025
1.008,0.0,10.12875,0.0,0.0125,-1.25,0.0025
1.018,2.5,10.1275,-3.75,0.0,0.0,0.00125
1.029,1.25,10.12625,0.0,0.01625,0.0,0.00125
1.040,1.25,10.12625,5.0,0.0,0.0,0.00125
1.050,1.25,10.13,1.25,0.0,0.0,0.00125
1.061,0.0,10.13,1.25,0.01875,0.0,0.00125
1.071,0.0,10.12875,1.25,0.00875,-1.25,0.0025
1.081,1.25,10.12875,0.0,0.0,-1.25,0.0025
1.092,0.0,10.12875,-1.25,0.015,-1.25,0.0025
1.102,0.0,10.125,0.0,0.0,-1.25,0.0025
1.112,1.25,10.1275,-3.75,0.0175,-1.25,0.0025
1.122,0.0,10.1275,-1.25,0.00375,0.0,0.00125
1.133,1.25,10.13125,0.0,0.0,0.0,0.00125
1.143,1.25,10.1275,0.0,0.01125,0.0,0.00125
1.153,0.0,10.12625,0.0,0.0,0.0,0.00125
1.163,-1.25,10.1275,1.25,0.0225,0.0,0.00125
1.173,0.0,10.13,0.0,0.00875,0.0,0.0
1.184,1.25,10.13125,-5.0,0.0,0.0,0.0
1.194,0.0,10.13,-2.5,0.01125,0.0,0.0
1.204,1.25,10.13,1.25,0.0,0.0,0.0
1.214,1.25,10.1275,2.5,0.02125,0.0,0.0
1.224,0.0,10.12625,1.25,0.00875,-1.25,0.00125
1.234,0.0,10.13,1.25,0.015,-1.25,0.00125
1.245,1.25,10.12875,1.25,0.0,-1.25,0.00125
1.255,2.5,10.12875,2.5,0.01875,-1.25,0.00125
1.265,2.5,10.12875,2.5,0.01875,-2.5,0.00125
1.275,1.25,10.1275,2.5,0.0,-2.5,0.00125
1.285,-1.25,10.13,-1.25,0.01875,-2.5,0.00125
1.296,0.0,10.13,-1.25,0.0,-2.5,0.00125
1.306,0.0,10.13,-2.5,0.0225,-2.5,0.00125
1.316,1.25,10.1275,-2.5,0.0225,0.0,0.0
1.328,1.25,10.1275,-7.5,0.0,0.0,0.0
1.338,2.5,10.13,-1.25,0.0125,0.0,0.0
