Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.019,-1.25,10.1325,-2.5,8.835,-1.25,0.0
0.031,-1.25,10.133750000000001,-1.25,8.47875,-1.25,0.0
0.041,1.25,10.13,3.75,9.0175,-1.25,0.0
0.052,1.25,10.13625,821.25,8.5,-1.25,0.0
0.062,0.0,10.13875,2980.0,8.2975,-1.25,0.0
0.072,0.0,10.13,3253.75,8.28375,-1.25,0.0
0.083,3.75,10.133750000000001,3261.25,8.28875,-1.25,0.0
0.093,-1.25,10.120000000000001,3241.25,8.28,-1.25,0.0
0.103,0.0,10.133750000000001,3320.0,8.26875,-1.25,0.0
0.114,-1.25,10.1325,3323.75,8.47625,1.25,0.0
0.124,2.5,10.13875,0.0,9.0225,1.25,0.0
0.134,2.5,10.133750000000001,-5.0,9.025,1.25,0.0
0.145,1.25,10.1325,-1.25,8.9975,1.25,0.0
0.155,0.0,10.137500000000001,1.25,8.91375,1.25,0.0
0.165,0.0,10.13,1.25,8.91375,0.0,0.0
0.176,2.5,10.133750000000001,1.25,9.03625,0.0,0.0
0.186,0.0,10.13625,-5.0,9.012500000000001,0.0,0.0
0.196,0.0,10.13625,-1.25,8.8175,0.0,0.0
0.206,1.25,10.133750000000001,-1.25,8.55625,0.0,0.0
0.217,1.25,10.13625,-1.25,8.55625,1.25,0.0
0.227,0.0,10.137500000000001,1.25,8.98625,1.25,0.0
0.237,2.5,10.1325,0.0,8.77875,1.25,0.0
0.248,1.25,10.135,0.0,8.77875,1.25,0.0
0.258,0.0,10.12875,-1.25,8.4675,1.25,0.0
0.268,0.0,10.133750000000001,-1.25,9.00375,-2.5,0.005
0.278,0.0,10.133750000000001,1.25,8.76,-2.5,0.005
0.289,0.0,10.13875,1.25,8.4975,-2.5,0.005
0.299,1.25,10.1275,0.0,9.07625,-2.5,0.005
0.309,0.0,10.137500000000001,1.25,9.0225,-2.5,0.005
0.320,0.0,10.13875,0.0,8.78125,-1.25,0.0
0.330,-1.25,10.137500000000001,0.0,8.56375,-1.25,0.0
0.340,1.25,10.13,-2.5,9.0175,-1.25,0.0
0.351,0.0,10.133750000000001,1.25,9.01375,-1.25,0.0
0.361,2.5,10.1325,0.0,8.76125,-1.25,0.0
0.371,0.0,10.1325,0.0,8.49875,-1.25,0.0
0.382,1.25,10.14375,-2.5,9.0175,-1.25,0.0
0.392,1.25,10.13125,-7.5,8.99625,-1.25,0.0
0.402,1.25,10.135,-2.5,8.713750000000001,-1.25,0.0
0.412,1.25,10.137500000000001,0.0,8.52125,-1.25,0.0
0.423,1.25,10.13875,7.5,9.02,-1.25,0.0
0.433,1.25,10.13125,-1.25,8.90875,-1.25,0.0
0.443,0.0,10.1325,0.0,8.6925,-1.25,0.0
0.454,1.25,10.13625,0.0,8.4875,-1.25,0.0
0.464,0.0,10.14,0.0,9.03,-1.25,0.0025
0.474,0.0,10.14,-2.5,8.825000000000001,-1.25,0.0025
0.484,0.0,10.1325,-2.5,8.575000000000001,-1.25,0.0025
0.495,0.0,10.1275,-1.25,8.5625,-1.25,0.0025
0.505,2.5,10.135,-5.0,9.01375,-1.25,0.0025
0.515,2.5,10.135,-1.25,8.6875,0.0,0.00125
0.526,0.0,10.133750000000001,0.0,8.4875,0.0,0.00125
0.536,0.0,10.13625,-2.5,8.99625,0.0,0.00125
0.546,1.25,10.135,-1.25,8.9975,0.0,0.00125
0.557,3.75,10.1425,-2.5,8.77875,0.0,0.00125
0.567,3.75,10.1425,1.25,8.55875,0.0,0.0
0.577,-1.25,10.137500000000001,-1.25,9.01625,0.0,0.0
0.587,0.0,10.13625,-3.75,8.945,0.0,0.0
0.598,0.0,10.13625,-1.25,8.735,0.0,0.0
0.608,2.5,10.1325,0.0,8.48125,1.25,0.0
0.619,0.0,10.12875,1.25,8.9925,1.25,0.0
0.629,1.25,10.13625,0.0,8.9275,1.25,0.0
0.639,-1.25,10.1325,0.0,8.715,1.25,0.0
0.650,0.0,10.13125,-1.25,8.463750000000001,1.25,0.0
0.660,0.0,10.14125,-1.25,9.0175,1.25,0.0
0.670,0.0,10.133750000000001,-2.5,8.790000000000001,-1.25,0.0
0.681,-1.25,10.135,-1.25,8.47625,-1.25,0.0
0.691,0.0,10.13875,0.0,9.02,-1.25,0.0
0.701,0.0,10.13625,0.0,8.92625,-1.25,0.0
0.711,1.25,10.13125,0.0,8.92625,-1.25,0.0
0.722,1.25,10.14125,0.0,8.4675,-1.25,0.0
0.732,2.5,10.135,-1.25,9.02125,-1.25,0.0
0.742,-1.25,10.133750000000001,1.25,8.91,-1.25,0.0
0.753,1.25,10.13875,0.0,8.695,-1.25,0.0
0.763,0.0,10.13625,-2.5,8.435,1.25,0.0
0.773,0.0,10.13125,-2.5,9.008750000000001,1.25,0.0
0.783,0.0,10.1325,-1.25,8.88625,1.25,0.0
0.794,1.25,10.13125,-1.25,8.62375,1.25,0.0
0.804,1.25,10.13875,1520.0,1.60625,1.25,0.0
0.814,2.5,10.133750000000001,1520.0,1.60625,-1.25,0.0
0.825,0.0,10.12875,3075.0,8.3025,-1.25,0.0
0.835,0.0,10.120000000000001,3231.25,8.28875,-1.25,0.0
0.845,1.25,10.13125,2808.75,8.29625,-1.25,0.0
0.855,0.0,10.13625,3288.75,8.258750000000001,-1.25,0.0
0.866,1.25,9.76,3298.75,8.26625,2.5,0.00125
0.876,2950.0,9.293750000000001,3321.25,8.727500000000001,2.5,0.00125
0.886,3762.5,9.25625,3316.25,8.275,2.5,0.00125
0.897,3156.25,9.276250000000001,3327.5,8.26375,2.5,0.00125
0.907,3846.25,9.16375,3176.25,9.040000000000001,2.5,0.00125
0.917,4175.0,9.14,3176.25,9.040000000000001,0.0,0.0
0.928,4155.0,9.15,3.75,9.0525,0.0,0.0
0.938,4177.5,9.13125,2.5,8.92375,0.0,0.0
0.948,4191.25,9.137500000000001,-3.75,8.64,0.0,0.0
0.959,4127.5,9.14,-1.25,9.03,0.0,0.0
0.969,4181.25,9.14375,-2.5,8.88875,0.0,0.0
0.979,4181.25,9.14375,-1.25,8.795,0.0,0.0
0.989,4192.5,9.13625,0.0,9.065,0.0,0.0
1.000,4152.5,9.13875,-12.5,8.86125,0.0,0.0
1.010,4195.0,9.135,-12.5,8.86125,0.0,0.0
1.020,4195.0,9.135,-6.25,8.78375,-1.25,0.00125
1.030,4186.25,9.13125,-1.25,8.977500000000001,-1.25,0.00125
1.041,4161.25,9.13125,-1.25,8.87375,-1.25,0.00125
1.051,4191.25,9.137500000000001,-1.25,8.87375,-1.25,0.00125
1.061,3896.25,10.1325,37.5,9.04625,-1.25,0.00125
1.072,3896.25,10.1325,-1.25,8.87875,-1.25,0.005
1.082,0.0,10.13625,-1.25,8.727500000000001,-1.25,0.005
1.092,-1.25,10.13875,-1.25,9.03625,-1.25,0.005
1.102,0.0,10.137500000000001,0.0,8.925,-1.25,0.005
1.113,1.25,10.14125,0.0,8.7925,0.0,0.00125
1.123,-1.25,10.137500000000001,-2.5,8.78625,0.0,0.00125
1.133,-1.25,10.135,2.5,9.0075,0.0,0.00125
1.144,-1.25,10.135,0.0,8.85375,0.0,0.00125
1.154,1.25,10.135,-1.25,8.713750000000001,0.0,0.00125
1.164,1.25,10.13,0.0,9.0325,0.0,0.00125
1.175,0.0,10.13625,-1.25,8.8375,-1.25,0.0025
1.185,-1.25,10.135,-1.25,8.725,-1.25,0.0025
1.195,1.25,10.13875,-1.25,9.0275,-1.25,0.0025
1.205,0.0,10.13625,0.0,8.93,-1.25,0.0025
1.216,1.25,10.13625,1.25,8.7775,0.0,0.00125
1.226,0.0,10.133750000000001,0.0,9.0425,0.0,0.00125
1.236,-1.25,10.13625,0.0,8.91,0.0,0.00125
1.246,-1.25,10.135,-1.25,8.82375,0.0,0.00125
1.257,0.0,10.133750000000001,0.0,9.07875,0.0,0.00125
1.267,1.25,10.133750000000001,-1.25,8.963750000000001,-1.25,0.00125
1.277,0.0,10.1325,-1.25,8.815,-1.25,0.00125
1.287,1.25,10.13875,-1.25,9.02,-1.25,0.00125
1.298,1.25,10.13875,-1.25,9.02,-1.25,0.00125
1.308,0.0,10.137500000000001,-1.25,8.89125,-1.25,0.00125
1.318,1.25,10.1325,-1.25,8.7425,0.0,0.0
1.328,1.25,10.133750000000001,1.25,8.90875,0.0,0.0
1.339,0.0,10.1325,-1.25,8.78875,0.0,0.0
1.349,0.0,10.135,-1.25,9.04125,0.0,0.0
1.359,-1.25,10.137500000000001,-1.25,9.04125,0.0,0.0
1.369,1.25,10.13625,0.0,8.85,-1.25,0.00375
1.380,0.0,10.133750000000001,0.0,8.43875,-1.25,0.00375
1.390,-1.25,10.1325,0.0,9.012500000000001,-1.25,0.00375
1.400,2.5,10.137500000000001,-2.5,8.88125,-1.25,0.00375
1.411,-1.25,10.1325,-2.5,8.88125,-1.25,0.00375
1.421,0.0,10.133750000000001,-3.75,8.555,-1.25,0.0
1.431,1.25,10.133750000000001,0.0,8.99125,-1.25,0.0
1.441,1.25,10.133750000000001,-1.25,8.87125,-1.25,0.0
1.452,1.25,10.13125,-1.25,8.5975,-1.25,0.0
1.462,0.0,10.13625,-2.5,9.015,-1.25,0.0
1.472,1.25,10.1325,-2.5,9.015,-1.25,0.0025
