elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,10.14,553.75,0.00,-1.25,1.36
0.071,-1.25,10.14,893.75,0.00,1.25,1.32
0.115,1.25,10.14,740.00,0.00,0.00,1.37
0.169,0.00,11.76,781.25,0.00,-1.25,1.35
0.209,1.25,10.25,686.25,0.00,0.00,1.36
0.248,0.00,10.18,40.00,0.00,-1.25,1.39
0.283,1.25,9.71,872.50,0.00,0.00,1.31
0.321,1.25,10.14,797.50,0.00,-1.25,1.30
0.359,-2.50,10.20,893.75,0.00,0.00,1.31
0.399,0.00,10.14,648.75,0.00,0.00,1.31
0.437,-1.25,9.54,555.00,0.00,0.00,1.32
0.476,1.25,9.71,885.00,1.65,0.00,1.33
0.513,2.50,9.96,742.50,0.00,0.00,1.34
0.552,-283.75,10.60,672.50,0.00,-1.25,1.36
0.588,1.25,10.14,553.75,0.18,-1.25,1.37
0.626,0.00,9.56,277.50,0.00,0.00,1.35
0.669,1.25,9.71,781.25,0.00,-1.25,1.35
0.709,1.25,9.91,888.75,0.00,1.25,1.36
0.747,0.00,10.96,743.75,0.00,0.00,1.38
0.786,62.50,11.52,556.25,0.00,0.00,1.39
0.824,1.25,10.17,65.00,2.77,1.25,1.31
0.863,1.25,9.76,750.00,0.00,-2.50,1.34
0.902,0.00,9.89,781.25,0.00,-1.25,1.30
0.941,0.00,10.11,893.75,0.00,0.00,1.30
0.979,1.25,10.23,433.75,0.00,0.00,1.32
1.016,1.25,9.48,661.25,0.00,-1.25,1.33
1.053,1.25,9.75,786.25,0.00,0.00,1.34
1.091,2.50,9.95,897.50,0.00,0.00,1.33
1.134,0.00,10.11,877.50,0.00,0.00,1.31
1.177,-152.50,10.22,806.25,0.00,1.25,1.31
1.217,3.75,10.16,670.00,0.00,0.00,1.32
1.257,0.00,9.66,661.25,0.00,0.00,1.30
1.301,0.00,9.57,505.00,0.00,-1.25,1.33
1.363,-8.75,10.29,525.00,0.00,-1.25,1.33
1.414,1.25,10.14,58.75,0.00,-1.25,1.37
1.484,0.00,9.80,853.75,0.00,-1.25,1.39
1.523,1.25,9.96,886.25,0.00,0.00,1.39
1.563,0.00,11.38,787.50,0.00,0.00,1.30
1.601,2.50,10.26,666.25,0.00,0.00,1.31
1.639,1.25,9.61,183.75,2.50,-1.25,1.31
1.679,0.00,9.79,788.75,0.00,0.00,1.31
1.717,1.25,9.99,801.25,0.00,-1.25,1.32
1.755,0.00,11.61,532.50,0.00,0.00,1.34
1.792,1.25,10.16,665.00,2.79,-1.25,1.35
1.830,0.00,9.74,97.50,0.00,0.00,1.36
1.868,0.00,9.85,876.25,0.00,-1.25,1.39
1.905,0.00,11.35,801.25,0.00,0.00,1.39
1.944,6.25,10.26,672.50,0.00,-1.25,1.34
1.981,1.25,10.58,107.50,0.00,0.00,1.31
2.019,0.00,9.72,862.50,0.00,-1.25,1.31
2.056,1.25,9.95,800.00,0.00,-1.25,1.32
2.094,-157.50,10.22,766.25,0.00,1.25,1.33
2.133,2.50,10.14,662.50,0.03,-1.25,1.35
2.170,0.00,9.64,542.50,0.03,0.00,1.35
2.211,1.25,9.75,882.50,0.00,0.00,1.36
2.248,0.00,10.14,718.75,0.00,-1.25,1.37
2.286,8.75,10.23,863.75,0.00,-1.25,1.38
2.324,1.25,10.14,187.50,1.80,0.00,1.36
2.362,1.25,9.58,66.25,0.00,0.00,1.30
2.400,-1.25,9.78,872.50,0.00,1.25,1.31
2.440,1.25,9.99,481.25,0.00,0.00,1.31
2.478,-157.50,11.77,700.00,0.00,0.00,1.30
2.519,5.00,10.16,695.00,0.00,0.00,1.31
2.560,1.25,10.24,491.25,0.00,0.00,1.39
2.604,1.25,9.48,192.50,0.00,-1.25,1.37
2.646,1.25,9.79,823.75,0.00,-1.25,1.38
2.685,2.50,9.93,876.25,0.00,-1.25,1.38
2.725,1.25,10.14,897.50,0.00,0.00,1.38
2.763,2.50,11.10,43.75,0.00,1.25,1.30
2.802,1.25,10.73,683.75,0.00,0.00,1.30
2.839,0.00,9.68,626.25,0.08,0.00,1.32
2.877,1.25,9.92,888.75,0.00,0.00,1.32
2.914,0.00,10.14,812.50,0.00,-1.25,1.33
2.953,5.00,10.76,692.50,0.00,0.00,1.34
2.991,1.25,9.51,1.25,0.00,-1.25,1.35
3.029,-1.25,9.78,776.25,0.00,-1.25,1.36
3.067,-1.25,10.03,783.75,0.00,-1.25,1.38
3.104,-1.25,11.15,607.50,0.00,0.00,1.39
3.144,0.00,10.27,687.50,0.00,0.00,1.30
3.182,-1.25,9.59,466.25,0.00,1.25,1.33
3.223,1.25,9.82,770.00,0.18,-1.25,1.30
3.260,1.25,10.02,890.00,0.00,0.00,1.32
3.297,1.25,11.56,456.25,0.00,-2.50,1.32
3.334,0.00,10.15,608.75,0.00,-1.25,1.33
