elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,9.83,893.75,0.00,2445.00,5.22
0.041,2.50,9.92,870.00,0.00,31.25,5.21
0.079,1.25,10.15,796.25,0.00,28.75,5.20
0.117,8.75,10.23,650.00,0.00,32.50,5.21
0.153,1.25,9.88,75.00,0.00,27.50,5.21
0.191,-1.25,9.71,883.75,1.06,2952.50,5.20
0.229,1.25,9.93,760.00,0.00,43.75,5.21
0.266,2.50,10.25,895.00,0.00,30.00,4.52
0.303,1.25,10.16,45.00,0.00,31.25,5.21
0.341,1.25,10.01,682.50,1.23,30.00,5.21
0.378,1.25,9.76,808.75,0.00,31.25,5.21
0.415,1.25,9.89,890.00,0.00,28.75,5.21
0.451,6.25,10.21,846.25,0.00,280.00,5.21
0.490,1.25,10.16,313.75,0.00,565.00,5.21
0.527,1.25,10.35,461.25,0.00,28.75,5.20
0.566,0.00,9.62,831.25,2.17,31.25,5.24
0.603,0.00,9.84,891.25,0.04,32.50,5.23
0.645,1.25,10.04,828.75,0.00,31.25,4.77
0.682,0.00,10.16,893.75,0.00,31.25,5.21
0.719,1.25,11.44,592.50,0.00,32.50,5.21
0.756,1.25,9.49,571.25,0.00,31.25,5.21
0.807,1.25,10.17,543.75,0.00,30.00,5.21
0.856,1.25,10.71,595.00,0.00,31.25,5.21
0.903,2.50,10.16,636.25,0.00,31.25,5.21
0.948,1.25,10.16,658.75,1.80,31.25,5.21
0.986,1.25,9.63,488.75,0.00,31.25,5.21
1.028,1.25,9.59,603.75,0.00,32.50,5.21
03,-1.25,10.18,667.50,0.00,565.00,5.21
1.040,1.25,11.53,136.25,0.00,28.75,5.21
1.079,0.00,9.62,528.75,0.00,31.25,5.24
1.116,1.25,9.77,630.00,0.00,31.25,5.23
1.155,10.00,10.04,890.00,0.00,31.25,5.21
1.191,1.25,10.16,107.50,0.00,32.50,5.21
1.229,3.75,10.24,592.50,0.00,32.50,5.21
1.266,1.25,9.49,661.25,0.00,30.00,5.21
1.316,0.00,10.21,647.50,0.00,32.50,5.21
1.361,2.50,11.09,32.50,1.48,32.50,5.21
1.408,1.25,10.24,373.75,0.00,30.00,5.21
1.454,0.00,9.51,496.25,0.00,30.00,5.21
1.492,0.00,9.69,441.25,0.96,31.25,5.21
