elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.83,15.00,0.00,2652.50,5.21
0.058,0.00,9.72,126.25,0.00,30.00,4.80
0.095,1.25,10.15,777.50,0.00,31.25,4.58
0.135,0.00,10.35,903.75,0.00,31.25,5.21
0.165,0.00,11.20,648.75,0.00,31.25,5.21
0.188,-1.25,10.25,717.50,0.00,27.50,5.21
0.209,1.25,9.81,730.00,0.00,28.75,5.23
0.231,-1.25,10.47,63.75,0.00,31.25,5.21
0.252,0.00,10.04,892.50,0.00,30.00,5.21
0.272,0.00,10.54,27.50,0.00,526.25,5.21
0.294,1.25,10.20,851.25,0.00,32.50,5.21
0.314,17.50,10.36,-12.50,0.00,31.25,5.21
0.335,1.25,10.22,895.00,0.00,31.25,5.21
0.356,1.25,9.71,256.25,0.00,31.25,5.21
0.377,0.00,10.36,837.50,0.00,32.50,5.21
0.398,0.00,9.87,665.00,0.00,28.75,5.21
0.419,0.00,10.36,460.00,1.26,31.25,5.21
0.441,1.25,10.02,897.50,0.00,32.50,5.21
0.462,18.75,10.37,607.50,0.00,30.00,5.21
0.482,-1.25,10.18,900.00,0.00,30.00,5.21
0.503,0.00,9.75,428.75,1.09,31.25,5.21
0.523,1.25,10.88,282.50,0.00,30.00,5.21
0.544,1.25,9.83,887.50,0.00,31.25,5.21
0.564,0.00,10.45,425.00,0.00,30.00,5.21
0.585,1.25,10.13,823.75,0.00,28.75,5.21
0.606,1.25,10.41,0.00,0.00,32.50,5.21
0.627,0.00,10.14,827.50,0.00,32.50,5.21
0.649,1.25,10.41,395.00,0.00,28.75,5.21
0.671,35.00,10.33,816.25,0.00,30.00,5.21
0.693,0.00,9.94,676.25,0.82,31.25,5.21
0.714,-8.75,10.36,256.25,0.00,31.25,5.21
0.734,1.25,10.02,892.50,0.00,32.50,5.21
0.756,22.50,10.37,2.50,0.00,27.50,5.21
0.778,0.00,10.06,895.00,0.00,31.25,5.21
0.798,0.00,10.41,381.25,0.00,32.50,5.21
0.818,0.00,10.35,906.25,0.00,28.75,5.21
0.838,-1.25,9.72,117.50,0.00,31.25,5.21
0.859,1.25,11.60,678.75,0.00,32.50,5.21
0.880,0.00,9.91,800.00,0.00,28.75,5.21
0.900,0.00,10.43,663.75,0.00,31.25,5.21
0.921,1.25,10.07,788.75,0.00,31.25,5.21
0.941,1.25,11.61,331.25,0.00,31.25,5.21
0.963,5.00,10.23,840.00,0.00,32.50,5.21
0.984,3.75,9.77,752.50,0.00,31.25,5.21
1.004,2.50,10.36,423.75,0.00,33.75,5.21
1.025,1.25,9.96,890.00,0.00,31.25,5.21
1.045,2.50,10.36,611.25,0.00,31.25,5.21
1.067,-1.25,10.21,900.00,0.00,31.25,5.21
