elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,10.01,437.50,0.00,30.00,5.21
0.076,0.00,9.69,796.25,0.07,27.50,5.21
0.130,0.00,9.69,677.50,1.83,30.00,4.62
0.177,1.25,9.54,760.00,0.00,31.25,5.21
0.218,0.00,9.51,672.50,0.00,32.50,5.20
0.263,1.25,9.63,827.50,0.00,31.25,5.21
0.315,1.25,9.49,421.25,0.00,31.25,5.21
0.364,1.25,9.70,650.00,1.70,1436.25,4.69
0.412,1.25,10.16,878.75,0.00,31.25,5.21
0.521,0.00,10.10,572.50,0.00,31.25,5.21
0.575,1.25,9.99,890.00,0.00,32.50,5.21
0.639,0.00,9.52,651.25,0.00,30.00,5.21
0.702,-1.25,10.12,832.50,0.00,31.25,5.21
0.761,1.25,9.88,893.75,0.00,31.25,5.21
0.817,2.50,9.61,535.00,1.89,31.25,5.21
0.881,1.25,10.79,678.75,0.00,30.00,5.21
0.942,6.25,9.98,896.25,0.00,32.50,5.21
1.001,1.25,9.70,862.50,0.00,32.50,5.21
1.058,1.25,9.45,648.75,0.00,31.25,5.21
1.128,10.00,9.82,718.75,0.00,32.50,5.21
1.200,0.00,10.14,655.00,0.00,30.00,5.21
1.256,1.25,10.14,671.25,0.00,30.00,5.21
1.309,-2.50,11.18,680.00,0.00,31.25,5.21
1.360,1.25,10.12,847.50,0.00,31.25,5.21
1.407,1.25,10.10,888.75,0.00,31.25,5.21
1.452,-5.00,10.15,580.00,0.00,30.00,5.21
1.493,6.25,10.11,328.75,0.72,32.50,5.21
1.530,1.25,9.59,587.50,0.00,30.00,5.21
1.568,0.00,9.68,886.25,1.28,31.25,5.21
1.606,1.25,9.92,811.25,0.00,31.25,5.21
1.644,1.25,10.39,813.75,0.00,32.50,5.21
1.689,0.00,11.35,841.25,0.00,31.25,5.21
1.728,1.25,10.67,655.00,0.92,31.25,5.21
1.765,1.25,9.62,76.25,0.00,30.00,5.21
1.803,0.00,9.68,837.50,0.00,31.25,5.21
1.840,2.50,9.84,606.25,0.00,28.75,5.21
1.880,1.25,11.51,815.00,0.00,32.50,5.21
1.919,2.50,10.18,620.00,0.00,32.50,5.21
1.962,0.00,11.40,488.75,0.00,31.25,5.21
2.002,-1.25,10.18,648.75,0.00,32.50,5.21
2.040,0.00,9.71,837.50,0.00,31.25,5.21
2.078,0.00,9.80,872.50,0.00,31.25,5.21
2.115,2.50,10.11,696.25,0.00,31.25,5.21
2.152,5.00,10.20,663.75,0.00,32.50,5.21
2.191,1.25,10.13,245.00,0.00,30.00,5.21
2.229,-1.25,9.53,748.75,0.43,32.50,5.21
2.266,1.25,9.72,602.50,0.00,30.00,5.21
2.304,5.00,9.97,815.00,0.00,30.00,5.21
2.342,0.00,10.11,722.50,0.00,31.25,5.21
2.381,-2.50,11.71,563.75,0.00,31.25,5.21
2.417,0.00,9.63,652.50,0.00,31.25,5.21
2.458,0.00,9.58,701.25,0.00,31.25,5.21
2.496,0.00,9.86,807.50,0.00,31.25,5.21
2.537,6.25,10.02,791.25,0.00,30.00,5.21
2.580,1.25,9.96,666.25,0.00,31.25,5.21
2.622,5.00,11.56,818.75,0.00,31.25,5.21
2.662,18.75,11.49,485.00,0.00,31.25,5.21
2.703,3.75,10.19,655.00,0.00,32.50,5.21
2.741,1.25,9.54,151.25,0.00,30.00,5.21
2.778,1.25,9.76,881.25,0.00,30.00,5.21
2.816,0.00,9.99,750.00,0.00,32.50,5.21
2.854,7.50,10.15,630.00,0.00,32.50,5.21
2.892,-1.25,10.10,137.50,0.00,32.50,5.21
2.930,-1.25,9.51,225.00,0.00,32.50,5.21
2.972,0.00,9.53,3.75,0.00,32.50,5.21
3.012,0.00,9.78,885.00,0.00,31.25,5.21
3.050,1.25,9.98,896.25,0.00,32.50,5.21
3.088,0.00,11.57,717.50,0.00,30.00,5.21
3.125,1.25,10.10,121.25,0.00,30.00,5.21
3.163,-1.25,9.49,535.00,0.00,31.25,5.21
3.204,1.25,9.66,867.50,0.00,30.00,5.21
3.241,0.00,9.81,517.50,0.00,31.25,5.21
3.278,18.75,10.37,886.25,0.00,31.25,5.21
3.316,0.00,10.11,120.00,0.00,30.00,5.21
3.353,1.25,10.17,597.50,0.00,30.00,5.21
3.391,0.00,9.60,577.50,0.00,30.00,5.21
3.429,-1.25,9.93,817.50,0.00,31.25,5.21
3.471,2.50,9.94,845.00,0.00,30.00,5.21
3.509,1.25,10.09,577.50,0.00,30.00,5.21
3.547,1.25,11.28,528.75,0.00,33.75,5.21
3.586,1.25,10.13,670.00,0.00,28.75,5.21
3.624,1.25,9.55,531.25,0.00,30.00,5.21
3.672,0.00,9.49,662.50,0.00,32.50,5.21
3.722,0.00,9.43,653.75,0.00,2233.75,4.68
3.785,1.25,9.82,876.25,1.57,31.25,5.21
3.868,1.25,10.17,112.50,0.00,31.25,4.89
3.919,1.25,11.66,888.75,0.00,31.25,5.21
3.991,1.25,9.55,662.50,0.00,31.25,5.21
4.051,0.00,10.09,498.75,0.00,32.50,5.21
4.112,0.00,10.11,783.75,0.00,32.50,5.21
4.170,0.00,9.77,806.25,0.10,32.50,5.21
