Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.014,0.0,10.14,3240.0,8.4025,1.25,0.0025
0.031,0.0,10.14,3240.0,8.4025,1.25,0.0025
0.046,-1.25,10.137500000000001,3427.5,8.395,1.25,0.0025
0.056,0.0,10.14125,3460.0,8.38875,1.25,0.0025
0.067,1.25,10.13625,3460.0,8.38875,-1.25,0.00125
0.077,1.25,10.13625,3303.75,8.385,-1.25,0.00125
0.088,0.0,10.14125,3466.25,8.4,-1.25,0.00125
0.098,1.25,10.133750000000001,3467.5,8.39375,-1.25,0.00125
0.109,1.25,10.133750000000001,3453.75,8.41125,1.25,0.00375
0.119,2.5,10.14875,3418.75,8.401250000000001,1.25,0.00375
0.129,1.25,10.13875,3320.0,8.39625,1.25,0.00375
0.140,0.0,10.1325,3468.75,8.401250000000001,1.25,0.00375
0.150,1.25,10.1325,3477.5,8.2,1.25,0.00375
0.160,0.0,10.13875,3462.5,8.39625,1.25,0.00375
0.171,1.25,10.14375,3463.75,8.395,-1.25,0.0
0.181,1.25,10.13125,3467.5,8.405,-1.25,0.0
0.191,-1.25,10.1475,3475.0,8.385,-1.25,0.0
0.201,0.0,10.13875,3491.25,8.58125,-1.25,0.0
0.212,-1.25,10.135,3386.25,8.395,-1.25,0.0
0.222,0.0,10.137500000000001,3473.75,8.401250000000001,0.0,0.0
0.232,1.25,10.135,3483.75,8.39,0.0,0.0
0.243,0.0,10.13125,3503.75,8.39625,0.0,0.0
0.253,-1.25,10.14375,3472.5,8.39625,0.0,0.0
0.263,-1.25,10.14375,3472.5,8.39625,0.0,0.0
0.273,0.0,10.14375,3402.5,8.3825,0.0,0.0
0.284,1.25,10.12625,3451.25,8.3875,0.0,0.0
0.294,1.25,10.16125,3486.25,8.39,0.0,0.0
0.304,-1.25,10.13,3461.25,8.39625,0.0,0.0
0.315,1.25,10.1425,3461.25,8.39625,0.0,0.00625
0.325,1.25,10.133750000000001,3351.25,8.385,0.0,0.00625
0.335,1.25,10.14125,3481.25,8.395,0.0,0.00625
0.345,1.25,10.13875,3483.75,8.4125,0.0,0.00625
0.356,2.5,10.14,3491.25,8.3775,0.0,0.00625
0.366,1.25,10.133750000000001,3301.25,8.39375,-2.5,0.0025
0.376,0.0,10.135,3398.75,8.38625,-2.5,0.0025
0.386,1.25,10.13125,3476.25,8.383750000000001,-2.5,0.0025
0.396,1.25,10.13125,3476.25,8.38625,-2.5,0.0025
0.407,1.25,10.13875,3473.75,8.39,-2.5,0.0025
0.417,0.0,10.14125,3473.75,8.39,-1.25,0.005
0.427,1.25,10.137500000000001,3221.25,8.39125,-1.25,0.005
0.438,1.25,10.13875,3460.0,8.395,-1.25,0.005
0.448,0.0,10.13,3482.5,8.38625,-1.25,0.005
0.459,1.25,10.135,3393.75,8.39625,-1.25,0.005
0.469,1.25,10.125,3393.75,8.39625,0.0,0.00875
0.479,1.25,10.14375,3483.75,8.39,0.0,0.00875
0.489,1.25,10.14125,3497.5,8.3825,0.0,0.00875
0.500,2.5,10.137500000000001,3482.5,8.3925,0.0,0.00875
0.510,1.25,10.137500000000001,3448.75,8.40625,0.0,0.00875
0.521,0.0,10.14125,3473.75,8.39,0.0,0.0025
0.531,-1.25,10.13625,3512.5,8.38625,0.0,0.0025
0.541,1.25,10.13,3490.0,8.38,0.0,0.0025
0.552,1.25,10.13125,3473.75,8.5525,0.0,0.0025
0.562,-1.25,10.14375,3473.75,8.5525,0.0,0.0025
0.572,1.25,10.1275,3443.75,8.42375,-1.25,0.0
0.583,0.0,10.13875,3465.0,8.4,-1.25,0.0
