elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.85,598.75,0.00,30.00,5.09
0.066,2.50,10.72,671.25,0.00,31.25,5.21
0.101,1.25,9.83,883.75,0.00,31.25,5.21
0.129,2.50,10.29,798.75,0.00,31.25,4.84
0.160,1.25,10.47,580.00,0.00,30.00,5.21
0.195,1.25,9.83,833.75,0.00,31.25,5.21
0.217,3.75,10.26,686.25,0.00,32.50,5.21
0.239,0.00,9.85,811.25,0.00,31.25,5.21
0.259,-1.25,10.36,155.00,0.00,31.25,5.21
0.280,0.00,9.96,868.75,0.00,31.25,5.21
0.300,0.00,10.73,38.75,0.00,31.25,5.21
0.320,1.25,10.31,895.00,0.00,30.00,5.21
0.341,0.00,9.63,-1.25,0.00,28.75,5.21
0.364,35.00,10.63,813.75,0.00,31.25,5.21
0.385,0.00,9.72,890.00,0.00,31.25,5.21
0.406,0.00,10.24,490.00,1.21,30.00,5.21
0.426,0.00,9.89,490.00,0.00,31.25,5.21
0.446,2.50,11.55,667.50,0.42,32.50,5.21
0.465,0.00,10.04,817.50,0.00,32.50,5.21
0.485,1.25,9.66,125.00,0.00,31.25,5.21
0.504,-1.25,11.83,895.00,0.00,25.00,5.21
0.524,0.00,9.77,787.50,0.00,28.75,5.21
0.543,-1.25,10.30,-1.25,0.00,31.25,5.21
0.563,1.25,10.01,897.50,0.00,28.75,5.21
0.582,1.25,10.25,122.50,0.00,27.50,5.21
0.602,1.25,10.22,366.25,0.00,26.25,5.21
0.621,2.50,9.87,893.75,0.00,30.00,5.21
0.641,13.75,10.24,498.75,0.00,33.75,5.21
0.661,1.25,9.86,896.25,0.00,31.25,5.21
0.682,3.75,10.25,166.25,0.00,25.00,5.21
0.702,1.25,9.98,801.25,0.00,31.25,5.21
0.722,3.75,10.23,521.25,1.40,30.00,5.21
0.742,1.25,10.15,508.75,0.00,27.50,5.21
0.762,1.25,9.72,892.50,0.16,28.75,5.21
0.781,-1.25,10.23,573.75,1.56,25.00,5.21
0.801,2.50,9.88,541.25,0.00,31.25,5.21
0.820,1.25,11.79,670.00,0.00,32.50,5.21
0.840,2.50,10.02,852.50,0.00,31.25,5.21
0.859,0.00,9.59,5.00,0.00,30.00,5.21
0.879,2.50,11.25,903.75,0.00,31.25,5.21
0.898,1.25,9.75,800.00,0.00,30.00,5.21
