elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,10.08,702.50,0.00,-1.25,1.37
0.072,0.00,9.94,893.75,0.00,0.00,1.32
0.125,0.00,9.86,661.25,0.00,-1.25,1.34
0.178,0.00,9.77,875.00,0.00,-1.25,1.33
0.233,0.00,10.19,881.25,0.00,-1.25,1.34
0.336,120.00,10.07,466.25,0.00,-1.25,1.39
0.395,1.25,10.07,726.25,0.00,1.25,1.39
0.609,0.00,9.87,876.25,0.00,0.00,1.36
0.795,0.00,10.17,600.00,0.00,0.00,1.31
0.928,1.25,9.92,696.25,0.00,0.00,1.34
1.002,1.25,10.06,715.00,0.00,0.00,1.33
1.083,0.00,9.92,892.50,2.15,-1.25,1.32
1.171,1.25,9.73,316.25,0.99,-1.25,1.36
1.258,0.00,10.08,891.25,0.00,0.00,1.31
1.325,0.00,9.86,735.00,0.00,0.00,1.37
1.379,0.00,9.76,496.25,0.00,0.00,1.39
1.429,2.50,9.66,300.00,2.12,0.00,1.34
1.477,1.25,9.58,882.50,0.00,-1.25,1.35
1.516,1.25,9.76,457.50,0.00,0.00,1.34
1.557,2.50,10.03,882.50,0.00,0.00,1.39
1.608,2.50,9.70,743.75,0.00,0.00,1.36
1.657,1.25,9.88,687.50,1.01,0.00,1.34
1.698,0.00,9.80,403.75,0.00,-1.25,1.32
1.740,0.00,10.07,701.25,0.00,-1.25,1.34
1.778,-13.75,10.07,862.50,0.00,-1.25,1.35
1.815,0.00,11.73,63.75,0.00,-1.25,1.34
1.857,-1.25,10.07,647.50,0.88,0.00,1.34
1.896,0.00,9.54,741.25,0.00,-2.50,1.35
1.934,0.00,9.70,875.00,0.00,0.00,1.36
1.973,-1.25,9.85,697.50,0.00,0.00,1.36
2.013,16.25,10.18,862.50,0.00,0.00,1.37
2.051,1.25,10.09,700.00,0.00,-1.25,1.34
2.096,0.00,10.90,210.00,0.00,-1.25,1.34
2.136,1.25,10.32,561.25,0.00,-1.25,1.35
2.175,1.25,9.44,510.00,0.00,0.00,1.36
2.214,0.00,9.71,747.50,0.00,0.00,1.36
2.254,0.00,9.80,786.25,0.00,0.00,1.36
2.292,1.25,10.00,817.50,0.00,0.00,1.38
2.332,0.00,11.20,358.75,0.00,-1.25,1.37
2.371,2.50,10.11,686.25,2.19,-1.25,1.40
2.407,1.25,9.56,416.25,0.00,-1.25,1.32
2.444,-1.25,9.67,876.25,0.00,0.00,1.32
2.482,0.00,9.96,765.00,0.00,0.00,1.33
2.519,0.00,10.34,877.50,0.00,0.00,1.34
2.557,0.00,10.07,678.75,0.00,0.00,1.33
2.598,0.00,11.65,325.00,0.00,0.00,1.34
2.637,0.00,9.52,538.75,0.00,-2.50,1.35
2.674,1.25,9.66,876.25,0.14,-1.25,1.36
2.713,0.00,9.92,781.25,0.00,-1.25,1.37
2.750,1.25,10.08,430.00,0.00,-1.25,1.37
2.791,1.25,10.07,898.75,0.00,-1.25,1.32
2.841,0.00,10.07,883.75,0.00,0.00,1.37
2.887,-5.00,11.77,875.00,0.00,0.00,1.39
2.927,-2.50,10.07,691.25,0.00,0.00,1.40
2.966,0.00,10.11,32.50,0.00,-2.50,1.33
3.006,0.00,9.73,701.25,2.17,-1.25,1.36
3.054,2.50,9.52,108.75,0.00,-2.50,1.33
3.099,-1.25,9.48,698.75,0.00,-1.25,1.32
3.144,0.00,9.54,668.75,0.00,-1.25,1.33
3.185,1.25,9.66,776.25,0.00,0.00,1.38
3.230,1.25,9.73,741.25,0.00,-1.25,1.39
3.269,-1.25,9.87,867.50,0.00,0.00,1.40
3.307,1.25,10.05,703.75,0.00,-1.25,1.32
3.346,-12.50,11.20,457.50,0.00,-2.50,1.39
3.387,-1.25,11.55,612.50,0.00,0.00,1.37
3.425,0.00,9.43,400.00,0.37,-1.25,1.32
3.462,1.25,9.71,875.00,0.00,0.00,1.33
3.501,1.25,9.82,825.00,0.00,0.00,1.32
3.542,1.25,9.98,710.00,0.00,0.00,1.34
3.578,-8.75,10.08,617.50,0.00,-2.50,1.35
3.616,-1.25,10.08,678.75,0.00,1.25,1.34
3.657,-1.25,9.56,416.25,0.41,-1.25,1.35
3.696,1.25,9.63,713.75,0.00,0.00,1.35
3.735,1.25,9.74,871.25,0.00,0.00,1.35
3.774,1.25,9.93,716.25,0.00,0.00,1.37
3.811,-6.25,10.07,897.50,0.00,-2.50,1.40
3.847,0.00,11.66,-12.50,0.00,-1.25,1.40
3.888,1.25,9.44,537.50,0.00,-1.25,1.34
3.926,0.00,9.60,870.00,0.78,0.00,1.31
3.963,-1.25,9.88,711.25,0.00,0.00,1.37
4.011,2.50,9.79,885.00,0.00,-1.25,1.40
4.048,-1.25,9.97,487.50,0.00,0.00,1.40
4.087,6.25,10.55,778.75,0.00,0.00,1.36
4.127,11.25,10.17,702.50,0.00,0.00,1.39
4.168,1.25,10.33,677.50,0.00,-1.25,1.40
4.206,0.00,9.64,650.00,0.00,0.00,1.40
4.250,0.00,9.56,693.75,0.00,1.25,1.34
4.299,1.25,10.87,167.50,1.44,-1.25,1.36
4.354,1.25,10.12,471.25,0.00,0.00,1.33
4.401,2.50,11.65,-300.00,0.00,1.25,1.40
4.449,1.25,10.08,685.00,0.00,-1.25,1.36
4.492,0.00,10.11,-208.75,2.50,0.00,1.37
4.531,1.25,9.71,33.75,0.00,-1.25,1.39
4.572,1.25,9.72,718.75,0.00,0.00,1.40
4.608,2.50,9.84,403.75,0.00,0.00,1.31
4.644,2.50,10.21,890.00,0.00,1.25,1.32
4.682,1.25,10.07,691.25,0.00,-1.25,1.31
4.723,1.25,10.07,532.50,0.00,0.00,1.33
4.760,1.25,9.56,692.50,0.00,0.00,1.32
4.800,0.00,9.70,562.50,0.00,-1.25,1.34
4.837,-1.25,9.96,872.50,0.00,0.00,1.36
4.872,0.00,11.29,642.50,0.00,-2.50,1.39
4.909,1.25,10.18,87.50,0.71,0.00,1.40
4.947,0.00,9.56,51.25,0.25,0.00,1.38
4.990,1.25,9.58,246.25,0.08,1.25,1.36
5.026,1.25,9.83,890.00,0.00,-1.25,1.31
5.064,0.00,11.39,751.25,0.00,0.00,1.32
5.101,5.00,10.09,686.25,0.00,-1.25,1.33
5.139,1.25,11.66,527.50,0.00,-1.25,1.34
5.176,1.25,9.53,656.25,0.00,-1.25,1.36
5.216,0.00,9.67,426.25,1.69,0.00,1.35
5.256,0.00,9.83,720.00,0.00,-1.25,1.36
5.294,3.75,10.19,888.75,0.00,-1.25,1.37
5.333,1.25,10.08,60.00,0.00,-2.50,1.38
5.370,-1.25,10.69,545.00,0.00,0.00,1.39
5.410,0.00,9.49,715.00,0.00,0.00,1.39
5.449,0.00,9.63,653.75,0.00,0.00,1.37
5.492,1.25,9.53,647.50,0.00,0.00,1.26
5.546,1.25,9.46,680.00,0.00,0.00,1.19
5.598,0.00,10.54,566.25,0.00,0.00,1.19
5.653,7.50,11.27,548.75,0.00,0.00,1.33
5.735,0.00,11.15,875.00,0.00,0.00,1.40
5.807,0.00,9.84,595.00,0.00,-1.25,1.31
5.865,0.00,9.44,571.25,0.00,0.00,1.32
5.921,1.25,10.34,32.50,0.00,-1.25,1.33
5.980,1.25,10.29,751.25,0.00,-1.25,1.32
6.045,0.00,9.63,601.25,1.70,0.00,1.31
6.103,0.00,10.10,305.00,0.00,0.00,1.32
6.161,1.25,10.08,725.00,0.00,-1.25,1.34
6.216,5.00,9.88,883.75,0.00,-1.25,1.34
6.278,1.25,9.55,701.25,0.00,0.00,1.36
6.333,1.25,10.39,617.50,0.00,0.00,1.40
6.387,-1.25,10.12,506.25,0.00,-1.25,1.32
6.442,0.00,10.08,875.00,0.00,0.00,1.33
6.499,1.25,9.67,736.25,0.00,-1.25,1.40
6.567,1.25,10.08,248.75,0.00,0.00,1.38
6.632,3921.25,9.35,488.75,0.00,-1.25,1.37
6.690,3932.50,9.23,466.25,0.00,0.00,1.38
6.749,3662.50,10.32,480.00,0.58,0.00,1.38
6.810,4125.00,9.22,441.25,0.00,0.00,1.39
6.868,4138.75,9.27,60.00,0.00,-1.25,1.36
6.934,0.00,9.75,731.25,0.00,0.00,1.36
6.993,0.00,10.64,370.00,0.00,-1.25,1.35
7.056,-3.75,11.68,792.50,0.00,0.00,1.35
7.114,120.00,9.94,822.50,0.00,0.00,1.35
7.175,0.00,9.48,-63.75,0.00,-1.25,1.33
7.239,2.50,10.07,756.25,0.00,0.00,1.32
7.305,1.25,9.78,325.00,0.00,0.00,1.36
7.365,1.25,9.62,557.50,0.00,0.00,1.39
7.426,661.25,9.29,465.00,0.00,-1.25,1.31
7.483,3686.25,9.69,482.50,0.00,-1.25,1.32
7.540,3803.75,9.28,166.25,0.75,0.00,1.31
7.603,4122.50,9.22,461.25,0.84,-1.25,1.32
7.659,4126.25,9.24,462.50,0.00,-1.25,1.35
7.717,4120.00,9.22,468.75,0.00,0.00,1.36
7.773,3768.75,9.26,485.00,0.00,-1.25,1.35
7.854,1.25,10.21,728.75,0.00,0.00,1.38
7.931,0.00,10.00,471.25,2.21,0.00,1.32
8.002,1.25,11.51,682.50,0.00,0.00,1.35
8.075,1.25,7.34,-1.25,0.46,-1.25,1.39
8.154,2963.75,9.69,478.75,1.03,1.25,1.33
8.219,4197.50,10.16,47.50,0.00,0.00,1.32
8.281,3886.25,10.26,460.00,0.00,1.25,1.33
8.340,3603.75,9.19,477.50,0.00,0.00,1.33
8.398,4118.75,10.26,505.00,0.00,-1.25,1.32
8.463,4202.50,9.55,488.75,0.00,0.00,1.32
8.523,3936.25,10.02,-145.00,0.00,-1.25,1.33
8.579,4223.75,9.39,310.00,0.58,-2.50,1.35
8.635,4226.25,9.24,361.25,0.00,-1.25,1.37
8.692,4235.00,9.25,478.75,0.54,0.00,1.38
8.752,4231.25,9.18,400.00,0.39,0.00,1.37
8.810,4225.00,9.17,472.50,0.00,0.00,1.31
8.864,3756.25,9.97,482.50,0.00,-1.25,1.31
8.925,4241.25,9.99,497.50,0.00,0.00,1.36
8.993,4226.25,9.22,167.50,0.62,-1.25,1.37
9.051,4232.50,9.17,160.00,0.11,0.00,1.38
9.111,4233.75,11.64,681.25,1.14,-1.25,1.34
9.177,3887.50,9.28,360.00,0.00,0.00,1.34
9.238,3872.50,9.19,461.25,0.00,-1.25,1.32
9.302,4137.50,9.23,17.50,0.00,-1.25,1.31
9.364,4128.75,9.22,255.00,0.00,-1.25,1.35
9.436,4135.00,9.22,25.00,0.42,0.00,1.34
9.497,3808.75,9.43,-108.75,0.70,0.00,1.38
9.551,4128.75,9.20,463.75,0.00,0.00,1.40
9.608,3898.75,9.19,466.25,0.00,0.00,1.33
9.665,3968.75,10.21,32.50,0.00,-1.25,1.32
9.722,4097.50,10.25,7.50,0.00,1.25,1.33
9.781,3597.50,10.10,-155.00,0.69,0.00,1.34
9.836,4125.00,9.74,237.50,0.49,0.00,1.36
9.894,4131.25,9.19,252.50,0.00,0.00,1.36
9.953,4123.75,10.28,20.00,0.00,-1.25,1.35
10.014,3763.75,10.05,478.75,0.00,-1.25,1.38
10.071,3786.25,10.05,-8.75,0.00,0.00,1.37
10.131,3597.50,9.21,455.00,0.99,0.00,1.38
10.191,4135.00,9.19,-8.75,0.99,-1.25,1.36
10.253,4137.50,10.08,10.00,0.01,0.00,1.34
10.315,3742.50,9.20,482.50,0.00,0.00,1.36
10.372,3630.00,9.19,477.50,0.00,-2.50,1.37
10.431,4136.25,9.20,486.25,0.00,-1.25,1.37
10.493,4133.75,9.25,350.00,0.85,-1.25,1.38
10.549,3887.50,9.20,485.00,0.00,0.00,1.31
10.604,4091.25,10.21,295.00,0.03,0.00,1.32
10.662,4101.25,9.25,-7.50,0.94,-1.25,1.34
10.717,4137.50,9.84,10.00,0.00,0.00,1.34
10.777,4141.25,9.18,342.50,1.03,-1.25,1.36
