Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.014,4437.5,11.3475,,0.06125,,0.005
0.025,4436.25,11.3425,-1.25,0.0425,,0.005
0.036,4435.0,11.338750000000001,,0.07375,,0.005
0.046,4435.0,11.3375,-1.25,0.058750000000000004,,0.005
0.056,4436.25,11.3425,,0.06375,,0.005
0.066,4438.75,11.34,-1.25,0.06375,,0.00125
0.077,4437.5,11.34625,-1.25,0.051250000000000004,,0.00125
0.088,4437.5,11.3375,,0.06875,,0.00125
0.098,4435.0,11.34625,,0.05625,,0.00125
0.109,4436.25,11.345,,0.05625,,0.00125
0.119,4436.25,11.345,,0.06375,,0.005
0.129,4436.25,11.33375,,0.0475,,0.005
0.140,4438.75,11.34625,-1.25,0.058750000000000004,,0.005
0.150,4433.75,11.34625,-1.25,0.058750000000000004,,0.005
0.160,4433.75,11.34625,,0.05375,,0.005
0.171,4435.0,11.3475,-1.25,0.05625,,0.0025
0.181,4440.0,11.35,,0.055,,0.0025
0.191,4436.25,11.34375,,0.055,,0.0025
0.201,4436.25,11.34,-2.5,0.07,,0.0025
0.212,4433.75,11.34,,0.0475,1.25,0.00375
0.222,4436.25,11.34375,,0.06,1.25,0.00375
0.232,4432.5,11.3475,,0.0625,1.25,0.00375
0.242,4432.5,11.3475,-1.25,0.06125,1.25,0.00375
0.253,4435.0,11.338750000000001,-1.25,0.06875,1.25,0.00375
0.263,4435.0,11.338750000000001,,0.04625,,0.005
0.273,4433.75,11.34625,,0.06625,,0.005
0.284,4436.25,11.35125,,0.05375,,0.005
0.294,4436.25,11.34125,-1.25,0.06875,,0.005
0.304,4436.25,11.338750000000001,-1.25,0.06875,,0.005
0.314,4436.25,11.338750000000001,,0.051250000000000004,,0.0025
0.325,4433.75,11.35,-1.25,0.05625,,0.0025
0.335,4435.0,11.34375,,0.0525,,0.0025
0.345,3808.75,12.0525,1.25,,,0.0025
0.356,3107.5,11.53625,,0.03375,,0.0025
0.366,3875.0,11.41125,1.25,0.06375,,
0.376,4397.5,11.356250000000001,,0.0625,,
0.387,4416.25,11.34875,,0.0425,,
0.397,4416.25,11.34,-1.25,0.07125000000000001,,
0.407,4421.25,11.34375,,0.05375,,
0.417,4421.25,11.34375,,0.05375,2.5,0.00125
0.428,4418.75,11.35,-1.25,0.0625,2.5,0.00125
0.438,4417.5,11.34875,,0.0525,2.5,0.00125
0.448,4417.5,11.34875,,0.065,2.5,0.00125
0.459,4422.5,11.355,,0.0525,2.5,0.00125
0.469,4420.0,11.35125,-2.5,0.0575,1.25,0.0025
0.480,4423.75,11.35125,,0.06,1.25,0.0025
0.490,4418.75,11.35375,-1.25,0.05,1.25,0.0025
0.500,4421.25,11.34625,,0.06625,1.25,0.0025
0.511,4421.25,11.3475,-1.25,0.04125,-2.5,0.0025
0.521,4423.75,11.345,-2.5,0.0725,-2.5,0.0025
0.531,4418.75,11.35125,-2.5,0.05375,-2.5,0.0025
0.541,4426.25,11.34875,,0.045,-2.5,0.0025
0.551,4430.0,11.35375,-1.25,0.065,-2.5,0.0025
0.562,4422.5,11.3425,-1.25,0.05375,,0.00375
0.572,4422.5,11.3475,1.25,0.06125,,0.00375
0.582,4422.5,11.35,-1.25,0.05375,,0.00375
0.592,4421.25,11.35125,,0.05,,0.00375
0.603,4425.0,11.34625,,0.0675,,0.00375
