elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.84,615.00,0.00,30.00,5.22
0.083,1.25,10.23,386.25,0.00,26.25,5.21
0.145,10.00,9.92,892.50,0.00,45.00,5.21
0.205,1.25,9.64,386.25,0.00,615.00,5.21
0.271,0.00,10.15,542.50,0.00,30.00,5.21
0.331,1.25,10.15,782.50,0.00,32.50,5.21
0.391,0.00,10.04,668.75,0.00,30.00,5.21
0.454,1.25,9.73,666.25,0.00,30.00,5.21
0.520,0.00,10.17,581.25,0.00,33.75,4.49
0.577,25.00,10.19,681.25,0.00,30.00,5.21
0.647,2.50,9.85,867.50,0.00,2445.00,5.21
0.709,1.25,9.56,683.75,0.00,31.25,5.21
0.774,1.25,9.81,430.00,0.00,27.50,5.13
0.837,3707.50,9.30,465.00,0.00,32.50,5.25
0.901,4020.00,10.58,237.50,0.00,27.50,4.38
0.959,4135.00,9.46,245.00,0.57,32.50,5.21
1.015,4143.75,9.33,230.00,0.59,30.00,5.21
1.076,16.25,11.55,698.75,0.00,30.00,5.21
1.140,0.00,10.08,842.50,0.00,31.25,5.21
1.195,10.00,10.06,218.75,0.00,31.25,5.21
1.250,0.00,9.82,200.00,1.75,307.50,5.21
1.308,1.25,9.80,662.50,0.00,30.00,5.21
1.374,2.50,11.65,875.00,0.00,32.50,5.21
1.439,1.25,10.08,817.50,0.00,31.25,5.21
1.496,0.00,9.97,898.75,0.00,32.50,5.21
1.556,1771.25,0.52,186.25,0.00,751.25,5.09
1.616,3750.00,10.57,332.50,0.00,31.25,5.21
1.676,4105.00,10.60,177.50,0.00,31.25,5.21
1.734,4126.25,9.34,-60.00,0.03,31.25,5.21
1.792,4137.50,10.00,361.25,0.00,31.25,5.21
1.853,3851.25,9.30,433.75,0.54,30.00,5.21
1.920,3748.75,9.35,300.00,0.00,23.75,4.73
1.986,0.00,9.91,888.75,0.00,31.25,5.21
2.045,0.00,10.10,900.00,0.00,30.00,5.20
2.103,0.00,9.85,638.75,0.00,32.50,5.21
2.163,5.00,10.15,700.00,0.00,30.00,5.21
2.221,1.25,9.75,93.75,0.30,28.75,5.22
2.282,3953.75,9.26,448.75,0.42,31.25,4.73
2.339,4022.50,9.23,391.25,0.29,31.25,4.75
2.397,4383.75,9.24,448.75,0.29,32.50,5.21
2.454,3581.25,9.30,462.50,0.00,27.50,5.21
2.510,3855.00,9.97,256.25,0.00,125.00,5.21
2.567,4366.25,9.65,247.50,0.41,28.75,5.21
2.624,4381.25,9.33,253.75,0.35,31.25,5.20
2.681,4377.50,9.26,245.00,0.00,31.25,4.81
