elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,11.66,892.50,0.00,2310.00,4.51
0.060,1.25,9.87,890.00,0.56,33.75,5.19
0.120,-1.25,9.51,478.75,0.00,31.25,5.21
0.177,1.25,10.11,661.25,0.00,32.50,5.21
0.235,10.00,10.11,898.75,0.00,11.25,5.21
0.292,6.25,9.91,468.75,0.00,3188.75,5.20
0.350,0.00,9.73,121.25,0.00,31.25,5.20
0.409,1.25,10.11,522.50,0.00,1606.25,5.20
0.468,-16.25,10.49,548.75,0.00,30.00,4.78
0.526,0.00,9.78,797.50,0.00,31.25,5.19
0.585,1.25,10.11,58.75,0.00,31.25,5.21
0.645,0.00,10.11,470.00,0.00,31.25,5.18
0.703,0.00,10.08,900.00,0.00,32.50,4.64
0.760,1.25,9.96,875.00,0.00,31.25,5.21
0.817,1.25,9.62,652.50,0.00,32.50,5.21
0.877,2.50,10.11,501.25,0.00,31.25,5.26
0.942,-6.25,9.89,881.25,0.00,30.00,4.58
1.002,-1.25,9.55,180.00,0.85,30.00,5.20
1.069,3095.00,9.28,201.25,0.00,761.25,5.21
1.133,4218.75,9.27,471.25,1.02,28.75,5.21
1.197,4288.75,9.82,171.25,0.00,33.75,4.83
1.259,3515.00,9.22,460.00,0.00,31.25,5.21
1.318,4288.75,9.42,-1.25,0.00,30.00,5.23
1.382,4262.50,10.67,122.50,0.00,32.50,4.95
1.439,4305.00,10.04,195.00,0.79,30.00,5.21
1.497,4297.50,9.58,-133.75,0.72,27.50,5.21
1.554,4288.75,9.29,115.00,0.00,31.25,4.82
1.619,4067.50,9.22,235.00,0.66,32.50,5.21
1.678,4350.00,9.25,113.75,0.69,30.00,5.19
1.739,4355.00,9.93,162.50,0.70,32.50,5.21
1.797,4403.75,9.40,145.00,0.61,31.25,5.21
1.854,4357.50,9.18,488.75,0.00,547.50,5.21
1.910,3993.75,9.17,447.50,0.00,31.25,5.18
1.967,3642.50,9.19,458.75,0.00,30.00,5.20
2.024,3698.75,10.33,448.75,0.00,31.25,4.61
2.081,4331.25,9.89,27.50,0.68,31.25,5.14
2.140,17.50,10.01,453.75,0.00,30.00,4.50
2.201,3256.25,9.20,477.50,0.00,31.25,4.46
2.262,4322.50,9.22,106.25,0.84,32.50,5.22
2.323,4333.75,10.12,458.75,0.00,31.25,5.20
2.384,4042.50,9.18,451.25,1.13,31.25,5.19
2.445,4335.00,9.20,315.00,1.05,32.50,5.20
2.503,4338.75,9.17,460.00,1.18,32.50,4.62
2.561,4332.50,9.17,308.75,1.04,32.50,5.21
2.618,3688.75,10.59,453.75,0.00,32.50,5.21
2.676,4315.00,10.08,756.25,0.59,928.75,4.99
2.736,0.00,10.15,97.50,0.00,27.50,5.21
2.799,0.00,11.36,855.00,0.00,32.50,5.21
2.856,1.25,9.82,757.50,0.00,32.50,5.21
2.914,0.00,9.56,313.75,0.00,-2.50,5.21
2.972,0.00,10.17,23.75,0.00,2026.25,5.21
3.031,-10.00,10.88,887.50,0.00,732.50,5.21
3.090,2.50,9.97,882.50,0.00,335.00,5.21
3.150,0.00,9.52,693.75,0.00,1061.25,5.21
3.211,1358.75,9.32,-31.25,0.00,862.50,5.21
3.272,4231.25,10.31,15.00,0.00,496.25,5.21
3.330,4333.75,9.88,38.75,0.00,1193.75,5.21
3.389,4162.50,9.53,31.25,0.72,33.75,5.21
3.446,4333.75,10.48,36.25,0.00,31.25,5.21
3.506,4343.75,10.14,16.25,0.00,31.25,5.21
3.563,4338.75,9.78,155.00,0.00,23.75,5.21
3.630,4331.25,9.69,141.25,0.72,32.50,5.21
3.687,4327.50,9.38,96.25,0.00,32.50,5.21
3.754,2836.25,10.50,361.25,0.00,4620.00,4.81
3.808,4217.50,9.14,443.75,0.56,872.50,5.21
3.848,4207.50,9.22,452.50,0.00,31.25,5.21
3.891,4312.50,9.17,437.50,0.75,28.75,5.21
3.930,4313.75,10.38,15.00,0.00,1720.00,5.20
3.966,4316.25,9.17,247.50,0.69,30.00,5.21
4.004,3462.50,10.58,397.50,0.00,31.25,5.21
4.042,4318.75,9.19,446.25,0.55,31.25,5.21
4.080,4306.25,10.14,-11.25,0.00,28.75,5.21
4.120,4317.50,10.12,402.50,0.00,31.25,5.22
4.162,4313.75,10.51,477.50,0.00,31.25,5.21
4.200,4252.50,9.36,461.25,0.42,32.50,5.21
4.240,4315.00,9.18,-22.50,0.63,32.50,5.21
4.282,0.00,9.58,456.25,0.86,32.50,4.91
4.324,3426.25,9.43,480.00,0.00,28.75,5.21
4.366,4286.25,9.14,452.50,0.65,530.00,5.21
4.405,4345.00,10.57,116.25,0.00,30.00,5.21
4.444,3923.75,9.60,496.25,0.00,33.75,5.24
4.483,4332.50,9.15,93.75,0.00,30.00,5.21
4.521,4310.00,9.85,342.50,0.00,32.50,5.21
4.559,3717.50,9.21,488.75,0.00,31.25,5.21
4.599,4345.00,9.14,-91.25,0.00,31.25,5.21
4.637,4340.00,10.40,347.50,0.00,28.75,5.21
4.676,4170.00,9.50,485.00,0.71,32.50,5.21
4.713,4342.50,10.50,32.50,0.00,32.50,5.21
4.751,4051.25,9.82,452.50,0.00,30.00,5.21
4.790,4343.75,9.20,511.25,0.00,32.50,5.21
4.836,3425.00,10.53,337.50,0.00,30.00,5.21
4.877,3941.25,9.36,492.50,0.00,31.25,5.21
4.917,4305.00,9.19,457.50,0.86,32.50,5.21
4.954,3902.50,10.35,-21.25,0.00,30.00,5.21
4.993,3865.00,10.00,496.25,0.00,31.25,5.21
5.032,4308.75,9.15,8.75,0.00,30.00,5.21
5.070,4325.00,10.26,322.50,0.00,31.25,5.21
5.109,4360.00,9.15,25.00,0.86,30.00,5.21
5.145,4331.25,10.32,470.00,0.00,31.25,5.21
5.182,4331.25,9.16,180.00,0.16,31.25,5.21
5.220,3548.75,10.54,407.50,0.00,30.00,5.21
5.258,4327.50,9.18,448.75,0.67,30.00,5.21
5.296,4161.25,10.10,46.25,0.00,31.25,5.21
5.337,4332.50,11.52,526.25,0.00,2336.25,4.91
5.376,3.75,9.87,888.75,0.00,660.00,5.03
5.413,1.25,10.04,555.00,0.00,31.25,5.21
5.454,2.50,11.19,540.00,0.00,31.25,5.21
5.494,0.00,10.12,616.25,0.00,1340.00,5.21
5.532,0.00,9.51,216.25,0.00,31.25,5.21
5.570,1.25,9.76,806.25,0.00,745.00,5.21
5.608,1.25,10.02,846.25,0.00,30.00,5.21
5.647,1.25,10.19,592.50,0.00,31.25,5.21
5.686,0.00,10.49,535.00,0.00,25.00,5.21
5.725,1.25,9.44,657.50,2.29,30.00,5.21
5.762,-1.25,9.80,813.75,0.00,31.25,5.21
5.801,12.50,9.93,885.00,0.00,32.50,5.21
5.838,0.00,10.06,898.75,0.00,31.25,4.74
5.881,3458.75,10.57,-46.25,0.00,720.00,5.21
5.931,4195.00,9.24,436.25,0.00,31.25,5.21
5.974,4328.75,9.18,378.75,0.00,30.00,5.21
6.013,4340.00,9.66,25.00,0.00,32.50,5.21
6.053,3258.75,10.47,331.25,0.00,31.25,5.21
6.093,3705.00,9.18,37.50,0.87,30.00,5.21
6.140,4332.50,9.18,445.00,0.91,32.50,5.21
6.181,4306.25,9.17,421.25,0.00,32.50,5.21
6.224,4226.25,9.16,446.25,0.00,25.00,5.21
6.265,4325.00,9.19,396.25,0.00,22.50,5.21
6.305,4336.25,10.47,465.00,0.00,30.00,5.21
6.341,4002.50,9.19,442.50,0.00,32.50,5.21
6.386,0.00,10.01,-26.25,0.00,562.50,4.92
6.427,2673.75,9.29,471.25,0.00,25.00,5.21
6.465,4276.25,9.16,135.00,0.22,31.25,5.20
6.504,3548.75,10.52,371.25,0.00,32.50,4.77
6.541,4056.25,9.18,440.00,0.43,30.00,5.21
6.580,4300.00,10.25,-7.50,0.00,32.50,5.21
6.618,3893.75,9.94,458.75,0.00,30.00,5.21
6.656,4306.25,9.70,118.75,0.00,31.25,5.21
6.693,3743.75,9.20,451.25,0.00,28.75,5.21
6.730,4303.75,9.18,432.50,1.24,27.50,5.21
6.770,4303.75,10.53,228.75,0.00,30.00,5.21
6.809,3985.00,9.68,448.75,0.00,31.25,5.21
