elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,3130.00,9.27,382.50,0.00,32.50,5.21
0.068,4171.25,9.25,435.00,0.00,31.25,4.87
0.111,4190.00,10.33,415.00,0.00,3452.50,5.21
0.167,4171.25,10.58,136.25,0.00,31.25,5.21
0.205,3810.00,10.00,325.00,1.07,28.75,5.21
0.271,4098.75,9.28,458.75,0.75,28.75,5.21
0.340,4097.50,10.26,438.75,0.00,31.25,5.21
0.395,3502.50,10.15,502.50,0.25,31.25,5.21
0.456,1.25,9.52,683.75,0.00,1075.00,4.84
0.502,0.00,9.64,131.25,0.00,31.25,5.21
0.600,0.00,11.54,558.75,0.00,30.00,5.21
0.665,0.00,10.15,680.00,0.00,3113.75,5.14
0.722,0.00,10.03,882.50,0.00,997.50,5.21
0.802,1.25,9.51,668.75,0.00,28.75,5.21
0.863,-1.25,10.15,678.75,0.00,31.25,5.21
0.926,6.25,10.26,897.50,0.00,31.25,4.56
0.989,1.25,9.90,761.25,0.00,31.25,4.79
1.048,0.00,9.62,252.50,0.00,31.25,4.35
1.109,0.00,10.16,552.50,0.00,27.50,5.21
1.178,0.00,10.14,902.50,0.00,26.25,5.21
1.239,1.25,9.89,861.25,0.00,32.50,5.21
1.296,-1.25,9.49,393.75,0.00,32.50,4.82
1.371,0.00,10.16,791.25,0.00,28.75,5.23
1.432,0.00,10.03,891.25,0.00,4493.75,3.70
1.497,3742.50,9.68,332.50,1.12,28.75,4.95
1.557,4130.00,9.99,465.00,0.00,2820.00,5.21
1.619,4015.00,10.61,-16.25,0.00,31.25,5.21
1.675,4102.50,9.31,322.50,0.71,28.75,5.20
1.732,4156.25,10.09,652.50,0.00,28.75,5.21
1.793,2.50,9.98,673.75,0.31,30.00,5.20
1.854,-1.25,9.95,627.50,0.00,30.00,5.21
1.911,1.25,11.08,-22.50,0.00,31.25,5.21
1.967,1.25,10.83,-35.00,0.00,32.50,5.21
2.028,1.25,10.07,842.50,0.00,31.25,5.21
2.096,2.50,9.66,653.75,0.00,30.00,5.21
2.154,0.00,9.55,670.00,0.00,30.00,5.21
2.210,1.25,10.24,680.00,0.00,31.25,4.71
2.271,3582.50,9.36,417.50,0.62,33.75,5.21
2.331,4138.75,9.30,343.75,0.76,32.50,5.21
2.388,4147.50,9.30,420.00,0.00,31.25,5.21
2.446,3733.75,9.29,460.00,0.00,30.00,5.21
2.505,4148.75,9.28,55.00,0.68,31.25,5.21
2.568,3700.00,9.30,426.25,0.94,31.25,5.21
2.631,4121.25,9.30,603.75,0.00,393.75,4.95
2.697,1.25,10.18,891.25,0.00,32.50,5.21
2.754,1.25,9.82,607.50,0.00,32.50,5.20
2.813,5.00,10.00,832.50,0.00,33.75,5.21
2.871,-1.25,9.89,888.75,0.00,30.00,5.21
2.933,4167.50,9.39,75.00,0.55,32.50,4.79
2.989,4366.25,9.25,336.25,0.00,31.25,5.21
3.046,3442.50,9.24,483.75,0.00,31.25,5.21
3.105,4353.75,9.23,490.00,0.00,0.00,5.21
3.161,4140.00,10.41,408.75,0.00,23.75,5.21
3.217,4405.00,9.36,50.00,0.00,32.50,5.21
3.274,4380.00,9.28,0.00,1.25,32.50,5.20
3.332,4376.25,9.29,325.00,1.03,31.25,5.24
3.390,4377.50,9.22,481.25,0.00,32.50,5.21
3.443,4378.75,10.17,-640.00,0.00,23.75,5.21
3.501,3976.25,9.71,-211.25,0.74,25.00,5.21
3.556,4376.25,9.22,6.25,0.72,32.50,5.21
3.615,4383.75,9.34,8.75,0.72,31.25,5.21
3.673,4367.50,9.22,-8.75,0.62,31.25,5.20
3.732,4361.25,9.55,81.25,0.74,30.00,4.81
3.790,4381.25,9.25,31.25,0.88,32.50,4.86
3.849,4361.25,10.04,-78.75,0.66,31.25,5.07
3.908,4375.00,9.81,126.25,0.00,30.00,4.81
3.970,2537.50,9.33,447.50,0.00,32.50,4.94
4.031,4136.25,9.37,-156.25,0.95,32.50,4.93
4.090,4141.25,9.30,407.50,1.08,30.00,5.21
4.148,4131.25,9.33,337.50,1.04,32.50,5.21
4.205,4136.25,9.31,451.25,0.00,28.75,5.21
4.259,4143.75,10.23,-163.75,0.00,32.50,5.21
4.328,3616.25,9.26,458.75,0.22,31.25,5.21
4.417,4148.75,10.21,392.50,0.00,31.25,5.21
4.520,3615.00,9.27,457.50,0.00,31.25,5.21
4.609,4155.00,9.40,-77.50,0.00,30.00,5.21
4.695,3843.75,9.90,453.75,0.00,30.00,5.21
4.784,3528.75,9.26,38.75,0.00,400.00,5.21
4.860,4047.50,10.53,430.00,0.00,32.50,5.21
4.924,4025.00,9.48,107.50,0.00,30.00,5.21
4.985,3692.50,9.35,433.75,0.00,760.00,5.21
5.045,3341.25,10.01,463.75,0.00,33.75,5.19
5.107,4151.25,10.19,108.75,0.00,31.25,5.21
5.166,4135.00,9.60,147.50,0.63,31.25,5.21
5.224,4152.50,9.29,191.25,0.61,28.75,5.21
5.282,4147.50,9.39,120.00,0.00,1276.25,5.21
5.339,4151.25,9.25,171.25,0.72,377.50,5.21
5.399,4126.25,10.49,-195.00,0.00,730.00,5.21
5.459,4133.75,10.26,77.50,0.64,26.25,5.21
5.516,4091.25,10.00,262.50,0.59,31.25,5.21
5.574,4143.75,9.25,191.25,0.74,30.00,5.21
5.632,4143.75,9.37,203.75,0.63,32.50,5.25
5.690,4153.75,9.26,457.50,0.00,30.00,5.21
5.747,4147.50,9.30,468.75,0.00,625.00,5.21
5.805,4153.75,9.25,460.00,0.00,30.00,5.21
5.865,4143.75,10.18,83.75,0.57,30.00,5.21
5.925,4146.25,9.26,232.50,0.58,32.50,5.21
5.981,4148.75,9.24,253.75,0.60,1560.00,4.86
6.041,-1.25,10.26,823.75,0.00,1667.50,5.21
6.099,1.25,10.02,817.50,0.00,31.25,5.21
6.168,0.00,9.64,221.25,0.00,30.00,5.09
6.228,3.75,11.94,696.25,0.00,31.25,4.85
6.289,1.25,10.20,893.75,0.00,32.50,5.21
6.365,-1.25,10.13,552.50,0.00,32.50,5.21
6.432,1.25,10.79,785.00,0.00,31.25,5.20
6.494,1.25,10.09,698.75,0.00,32.50,4.81
6.554,2882.50,9.65,488.75,0.00,31.25,5.21
6.612,3978.75,10.25,467.50,0.00,30.00,4.65
6.671,3360.00,9.28,458.75,0.00,32.50,5.18
6.728,3436.25,9.29,467.50,0.00,30.00,5.21
6.787,3593.75,9.93,452.50,0.00,31.25,5.21
6.852,4123.75,9.91,468.75,0.00,31.25,5.21
6.914,4135.00,9.36,188.75,0.00,628.75,4.97
6.977,0.00,10.16,570.00,0.00,32.50,5.21
7.038,1.25,9.73,750.00,0.00,962.50,5.21
7.098,-1.25,9.49,593.75,0.18,31.25,5.21
7.156,1.25,10.24,632.50,0.00,32.50,5.21
7.216,747.50,10.50,453.75,0.00,1303.75,5.21
7.278,4262.50,10.40,475.00,0.00,25.00,5.21
7.336,3606.25,9.56,-116.25,0.00,31.25,5.20
7.394,3868.75,10.27,68.75,0.00,31.25,5.21
7.453,4351.25,10.51,48.75,0.00,31.25,5.23
7.511,3661.25,9.25,361.25,0.92,31.25,5.21
7.574,4381.25,9.26,-88.75,0.56,31.25,5.21
7.635,3842.50,9.95,76.25,0.00,32.50,5.21
7.695,4228.75,10.55,-77.50,0.00,32.50,5.21
7.753,4358.75,10.41,100.00,0.57,31.25,5.20
7.807,4382.50,9.24,428.75,0.74,30.00,5.21
7.865,4383.75,9.27,368.75,0.68,30.00,5.21
7.922,4393.75,9.20,431.25,0.74,30.00,5.21
7.982,4385.00,9.20,385.00,0.63,1342.50,5.21
8.040,4385.00,9.23,432.50,0.68,83.75,5.21
8.097,4376.25,9.21,463.75,0.00,31.25,5.21
8.158,4343.75,10.17,362.50,0.00,3608.75,4.38
8.228,1.25,10.12,842.50,0.85,31.25,5.21
8.305,3610.00,11.83,672.50,1.46,32.50,5.21
8.382,1.25,10.15,607.50,0.00,2781.25,4.43
8.467,1.25,11.89,757.50,0.00,31.25,5.22
8.551,1.25,9.76,890.00,0.00,1375.00,5.21
8.627,0.00,10.43,897.50,0.00,931.25,5.21
8.705,1.25,9.55,515.00,0.00,30.00,5.24
8.790,0.00,9.80,461.25,0.00,31.25,5.21
8.871,0.00,10.26,27.50,0.00,31.25,5.21
8.939,1.25,9.86,831.25,0.51,32.50,5.21
9.008,0.00,9.54,32.50,0.71,31.25,5.21
9.067,1.25,11.29,573.75,0.00,28.75,5.21
9.124,-1.25,10.16,597.50,0.00,31.25,5.21
9.179,15.00,10.50,896.25,0.00,32.50,5.21
9.238,6.25,10.10,900.00,0.00,32.50,5.21
9.295,0.00,9.85,807.50,0.00,31.25,5.21
9.353,1.25,9.79,93.75,0.67,30.00,5.21
9.420,1.25,10.25,685.00,0.00,32.50,5.21
9.487,1.25,10.25,898.75,0.00,31.25,5.21
9.546,-3.75,10.04,883.75,0.00,31.25,5.21
9.602,0.00,9.69,42.50,0.00,32.50,5.21
9.671,0.00,10.16,631.25,0.00,31.25,5.21
9.729,0.00,10.16,665.00,0.05,31.25,5.21
9.768,1.25,9.54,30.00,0.00,31.25,5.21
9.807,0.00,9.73,821.25,0.00,32.50,5.21
9.845,1.25,10.01,900.00,0.00,31.25,5.21
9.884,0.00,11.92,815.00,0.00,32.50,5.21
9.923,10.00,10.18,670.00,0.00,31.25,5.21
9.963,0.00,9.53,671.25,0.00,30.00,5.21
10.003,0.00,9.77,817.50,0.00,31.25,5.21
10.039,1.25,10.11,901.25,0.00,30.00,5.21
10.078,1.25,10.16,613.75,0.00,32.50,5.21
10.117,0.00,11.75,35.00,0.00,32.50,5.21
10.154,0.00,9.62,461.25,1.44,30.00,5.21
10.192,0.00,9.94,807.50,0.00,31.25,5.21
10.232,17.50,10.17,905.00,0.00,31.25,5.21
10.270,0.00,10.17,1.25,0.00,31.25,5.21
10.308,-1.25,10.76,501.25,0.00,32.50,5.21
10.346,0.00,9.73,881.25,0.59,31.25,5.21
10.384,2.50,10.07,853.75,0.00,30.00,5.21
10.423,0.00,10.16,830.00,0.00,30.00,5.21
10.466,0.00,10.25,30.00,0.00,31.25,5.21
10.507,0.00,11.61,522.50,0.00,32.50,5.21
10.548,1.25,9.58,668.75,0.00,32.50,5.21
10.585,1.25,9.83,523.75,0.00,32.50,5.21
10.624,8.75,10.62,842.50,0.00,31.25,5.21
10.661,1.25,10.17,551.25,0.00,31.25,5.21
10.699,0.00,11.95,45.00,0.00,30.00,5.21
10.739,1.25,9.69,880.00,1.64,33.75,5.21
10.776,11.25,10.10,783.75,0.00,32.50,5.21
10.815,16.25,10.30,902.50,0.00,31.25,5.21
10.853,0.00,10.81,56.25,0.00,31.25,5.21
10.894,0.00,9.59,440.00,0.00,31.25,5.21
10.931,1.25,9.75,890.00,0.00,32.50,5.21
10.972,2.50,9.97,883.75,0.00,30.00,5.21
11.010,0.00,11.91,796.25,0.00,32.50,5.21
11.047,-1.25,10.28,698.75,0.00,30.00,5.21
11.086,0.00,9.55,703.75,1.74,31.25,5.21
11.129,1.25,9.65,887.50,0.00,32.50,5.21
11.172,0.00,9.86,885.00,0.00,30.00,5.21
11.210,1.25,10.10,611.25,0.00,30.00,5.21
11.251,2.50,11.63,431.25,0.00,31.25,5.21
11.291,0.00,11.67,576.25,0.00,28.75,5.21
