elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,-1.25,10.04,486.25,0.00,1.25,1.32
0.553,2.50,10.16,653.75,0.00,1.25,1.34
1.088,0.00,9.41,681.25,0.25,-1.25,1.37
1.657,4125.00,10.03,28.75,0.00,0.00,1.33
2.285,0.00,10.21,485.00,0.00,0.00,1.40
2.987,-155.00,10.08,727.50,0.00,-1.25,1.32
3.679,3623.75,9.19,501.25,0.00,0.00,1.39
4.312,4206.25,9.15,481.25,0.00,-1.25,1.32
5.046,4126.25,9.17,291.25,0.00,0.00,1.33
5.757,3603.75,9.18,46.25,0.00,0.00,1.37
6.548,4126.25,9.16,451.25,0.00,0.00,1.39
7.152,1.25,10.02,663.75,0.00,0.00,1.35
7.811,0.00,9.96,687.50,0.00,-1.25,1.39
8.514,4090.00,10.15,522.50,0.00,0.00,1.31
9.778,4202.50,9.26,463.75,0.48,-1.25,1.36
10.890,4205.00,10.55,526.25,0.00,-1.25,1.03
12.016,1.25,9.60,35.00,0.00,-1.25,0.99
12.714,0.00,9.90,125.00,0.00,0.00,0.97
13.369,0.00,10.04,180.00,0.00,1.25,0.95
14.489,0.00,10.05,427.50,0.00,0.00,0.93
15.357,0.00,9.99,711.25,1.62,0.00,0.92
16.142,-1.25,10.54,35.00,0.00,-1.25,1.27
16.767,48.75,9.78,42.50,0.00,0.00,1.37
17.594,2.50,9.55,698.75,0.00,1.25,1.35
18.262,-643.75,10.01,871.25,0.00,1.25,1.38
19.051,4113.75,9.21,281.25,0.00,0.00,1.33
19.675,1.25,9.64,583.75,0.00,0.00,1.33
20.314,4115.00,9.58,42.50,0.00,0.00,1.36
21.103,3032.50,10.07,501.25,0.63,-1.25,1.31
21.720,4058.75,9.21,491.25,0.00,0.00,1.33
22.291,4098.75,9.17,451.25,0.00,-1.25,1.38
23.001,4100.00,9.24,435.00,0.00,0.00,1.40
24.567,4096.25,9.17,3.75,0.20,-1.25,1.31
25.738,1.25,9.75,877.50,0.00,-1.25,1.31
27.021,1.25,9.65,411.25,0.00,-1.25,1.40
27.804,3738.75,9.48,231.25,2.72,0.00,1.31
29.111,4045.00,9.80,481.25,0.00,0.00,1.33
30.153,4190.00,9.23,440.00,0.00,0.00,1.32
31.191,4085.00,9.26,477.50,0.48,0.00,1.35
32.270,4072.50,10.06,351.25,0.00,-1.25,1.33
32.998,4092.50,9.21,332.50,0.00,-1.25,1.35
33.717,0.00,10.10,878.75,0.00,0.00,1.40
34.465,3697.50,10.13,432.50,0.00,-1.25,1.38
35.301,0.00,10.10,58.75,0.00,0.00,1.32
36.000,3736.25,9.69,350.00,0.00,-1.25,1.36
36.575,4163.75,10.02,773.75,0.00,0.00,1.33
37.254,3792.50,9.90,430.00,0.00,-2.50,1.35
37.919,4077.50,9.29,472.50,0.00,0.00,1.32
38.721,3792.50,9.33,468.75,0.00,-1.25,1.39
39.430,0.00,9.86,726.25,0.00,-1.25,1.06
40.154,0.00,9.63,35.00,0.00,0.00,1.02
40.748,1.25,11.30,308.75,0.00,0.00,0.99
41.344,1.25,9.79,703.75,2.44,0.00,0.97
41.979,-147.50,10.14,768.75,0.00,1.25,0.96
42.739,1.25,9.44,313.75,0.00,1.25,0.94
43.622,2.50,9.87,878.75,0.00,0.00,0.93
44.295,1.25,11.58,710.00,0.00,0.00,0.92
45.079,2.50,9.65,882.50,0.00,-1.25,0.91
45.783,0.00,9.41,373.75,0.00,0.00,0.90
46.374,0.00,9.86,417.50,0.00,-1.25,0.89
46.943,0.00,9.83,690.00,0.00,-1.25,0.88
48.155,2.50,9.46,766.25,0.00,-1.25,0.87
49.065,0.00,9.64,125.00,0.00,0.00,0.86
50.044,-103.75,10.16,478.75,0.00,-1.25,0.85
50.885,2.50,9.49,611.25,0.00,-1.25,0.84
51.841,7.50,9.71,691.25,0.37,0.00,0.83
52.791,2.50,9.99,586.25,0.00,0.00,0.83
53.615,15.00,10.13,641.25,0.00,0.00,0.82
54.542,0.00,9.90,890.00,1.93,1.25,0.81
55.494,6.25,10.05,698.75,2.43,-2.50,0.80
57.072,0.00,9.95,476.25,0.00,0.00,0.78
59.071,1.25,9.70,246.25,0.00,-1.25,0.77
