Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.004,,,,,,
0.016,3987.5,9.0025,2.5,0.125,-1.25,0.00625
0.028,3986.25,9.00375,,0.11750000000000001,-1.25,0.00625
0.038,4005.0,8.995000000000001,-1.25,0.043750000000000004,-1.25,0.00625
0.048,3996.25,8.995000000000001,-1.25,0.0325,-1.25,0.00625
0.059,4000.0,9.005,,0.19875,,0.00625
0.069,3991.25,8.9975,,0.0075,,0.00625
0.080,3991.25,9.005,-2.5,0.0475,,0.00625
0.090,4002.5,9.0025,-2.5,0.0475,,0.00625
0.101,3993.75,9.005,,0.058750000000000004,,0.00625
0.111,3993.75,9.005,1.25,0.32375,,0.00625
0.121,3985.0,8.9975,-1.25,0.34125,-1.25,0.00625
0.131,3972.5,8.995000000000001,1.25,0.1325,-1.25,0.00625
0.142,3993.75,8.9975,-1.25,0.1475,-1.25,0.00625
0.152,3987.5,9.005,-2.5,0.10375000000000001,-1.25,0.00625
0.162,3987.5,9.005,,0.21375,-1.25,0.00625
0.174,3982.5,8.995000000000001,,0.10375000000000001,-2.5,0.00625
0.184,3992.5,9.0025,,0.31375000000000003,-2.5,0.00625
0.194,3980.0,9.0025,1.25,0.1225,-2.5,0.00625
0.204,3977.5,9.0025,1.25,0.1225,-2.5,0.00625
0.215,3977.5,9.0025,-2.5,0.13625,-2.5,0.00625
0.225,3985.0,9.00625,-1.25,0.11875000000000001,-1.25,
0.235,3997.5,8.9975,1.25,0.10375000000000001,-1.25,
0.245,3973.75,8.99875,-2.5,0.2675,-1.25,
0.256,3990.0,9.0025,,0.06625,-1.25,
0.266,3990.0,9.0025,-1.25,0.14125000000000001,,0.00625
0.276,3995.0,8.99875,,0.22125,,0.00625
0.286,3985.0,8.99625,-1.25,0.29625,,0.00625
0.297,3996.25,9.00125,1.25,0.0525,,0.00625
0.307,3991.25,9.0025,-1.25,0.0325,,0.00625
0.317,3981.25,9.00625,1.25,0.28250000000000003,-1.25,0.00125
0.327,3983.75,9.008750000000001,,0.051250000000000004,-1.25,0.00125
0.338,3976.25,9.0025,-1.25,0.11125,-1.25,0.00125
0.348,3987.5,9.00125,-1.25,0.01375,-1.25,0.00125
0.358,3993.75,8.995000000000001,,0.1125,,0.00375
0.369,3996.25,8.9975,1.25,0.105,,0.00375
0.379,3991.25,8.995000000000001,1.25,0.1075,,0.00375
0.390,3972.5,9.00125,-1.25,0.31875000000000003,,0.00375
0.400,3990.0,9.00125,-3.75,0.01,,0.00375
0.410,3993.75,9.00375,-3.75,0.01,,0.00375
0.421,3975.0,9.0,-1.25,0.1775,-1.25,0.00625
0.431,3986.25,9.008750000000001,,0.02625,-1.25,0.00625
0.441,3992.5,9.0,-1.25,0.11875000000000001,-1.25,0.00625
0.451,3993.75,9.00625,,0.12625,-1.25,0.00625
0.462,3988.75,8.9975,,0.12625,-1.25,0.00625
0.472,3993.75,9.0075,-1.25,0.09625,,0.00375
0.482,3991.25,9.0075,,0.051250000000000004,,0.00375
0.493,3992.5,8.995000000000001,-1.25,0.07,,0.00375
0.503,3992.5,8.99375,-2.5,0.33,,0.00375
0.513,3987.5,8.99875,,0.005,,0.00375
0.524,3997.5,9.00125,-1.25,0.10875,-1.25,0.0075
0.534,3970.0,9.0075,-2.5,0.06125,-1.25,0.0075
0.544,3972.5,9.0,-1.25,0.14125000000000001,-1.25,0.0075
0.555,3990.0,9.005,-1.25,0.265,-1.25,0.0075
0.566,3982.5,8.995000000000001,,,-1.25,0.0075
0.576,3995.0,9.0025,,0.02,,0.00125
0.586,3991.25,9.00125,,0.09,,0.00125
0.597,3991.25,9.00125,-2.5,,,0.00125
0.607,3996.25,8.99125,-2.5,0.30125,,0.00125
0.617,3992.5,9.00625,,0.0175,-1.25,0.0025
0.628,3986.25,9.0075,-2.5,0.09875,-1.25,0.0025
0.638,3986.25,9.0,-2.5,0.20875,-1.25,0.0025
0.648,3996.25,8.99625,-3.75,0.1375,-1.25,0.0025
0.659,3992.5,9.0075,-2.5,0.32875,-1.25,0.0025
0.669,3968.75,8.9975,-2.5,0.28750000000000003,1.25,0.00625
0.680,3971.25,9.00125,-1.25,,1.25,0.00625
0.690,3998.75,9.008750000000001,-1.25,,1.25,0.00625
0.700,3987.5,8.9975,-1.25,0.16,1.25,0.00625
0.711,3988.75,9.0,1.25,0.26625,1.25,0.00625
0.721,3978.75,9.0,,,,0.005
0.731,3993.75,8.9975,-2.5,0.01,,0.005
0.741,3985.0,9.005,,0.31625000000000003,,0.005
0.752,3992.5,8.99625,-3.75,0.12375,,0.005
0.762,3972.5,8.99875,,0.28625,,0.005
0.772,3978.75,9.00375,,0.32125,-1.25,0.0075
0.782,3987.5,9.00375,-1.25,0.03875,-1.25,0.0075
0.793,3993.75,9.0075,-2.5,0.23125,-1.25,0.0075
0.803,3982.5,9.00125,,0.0675,-1.25,0.0075
0.813,3996.25,8.995000000000001,,0.13875,-1.25,0.0075
0.823,3990.0,9.01125,1.25,0.26875,,0.00375
0.834,3991.25,9.0,,0.30625,,0.00375
0.844,3996.25,9.005,,0.30625,,0.00375
0.854,3995.0,9.0,-1.25,0.0775,,0.00375
0.865,3988.75,8.995000000000001,-1.25,0.0775,1.25,0.00625
0.875,3998.75,8.995000000000001,-1.25,0.02625,1.25,0.00625
0.886,3995.0,9.0025,1.25,,1.25,0.00625
0.896,3988.75,9.0025,1.25,0.09625,1.25,0.00625
0.907,4005.0,9.01125,,0.1325,1.25,0.00625
0.917,3997.5,9.00625,1.25,0.01125,,0.00625
0.928,3992.5,9.0075,,0.07375,,0.00625
0.938,3977.5,9.0075,,0.31875000000000003,,0.00625
0.948,3990.0,8.99875,-1.25,0.0425,,0.00625
0.959,3992.5,9.00375,,0.11625,,0.00625
0.969,3991.25,9.0025,1.25,0.34750000000000003,,0.00375
0.979,3980.0,9.00125,1.25,0.0225,,0.00375
0.990,3990.0,8.99875,-1.25,0.305,,0.00375
1.000,3986.25,9.005,,0.01875,,0.00375
1.011,3986.25,9.005,1.25,0.065,,0.00375
1.022,3990.0,9.00625,,0.20375000000000001,,0.0075
1.033,3963.75,9.0,,0.135,,0.0075
1.043,3975.0,9.005,-2.5,0.14625,,0.0075
1.053,3988.75,9.00625,,0.03,,0.0075
1.064,3986.25,8.99875,-2.5,,,0.0025
1.075,3997.5,9.00625,2.5,,,0.0025
1.085,3983.75,8.99625,,0.13625,,0.0025
1.095,3980.0,9.01375,,0.22625,,0.0025
1.106,3986.25,9.00625,,0.14625,,0.0025
1.116,3986.25,9.00625,,0.11,-1.25,0.005
1.126,3986.25,9.005,-1.25,0.06875,-1.25,0.005
1.137,3980.0,9.005,-1.25,0.04625,-1.25,0.005
1.147,3986.25,9.0075,1.25,0.025,-1.25,0.005
1.157,3987.5,9.005,,0.055,-1.25,0.005
1.168,3976.25,9.005,,0.30625,1.25,0.00625
1.178,3988.75,9.0075,-1.25,0.04875,1.25,0.00625
