Time(s),Fret_Current(mA),Fret_Voltage(V),Damper_Current(mA),Damper_Voltage(V),Pick_Current(mA),Pick_Voltage(V)
0.003,,,,,,
0.015,-1.25,10.13,-5.0,0.0125,-1.25,0.0025
0.031,1.25,10.12625,-3.75,0.0,-1.25,0.0025
0.049,1.25,10.12625,1.25,0.015,-1.25,0.0025
0.061,0.0,10.13,1.25,0.015,-1.25,0.0025
0.073,0.0,10.13,-1.25,0.0,-1.25,0.0025
0.087,1.25,10.1275,-1.25,0.0,1.25,0.00375
0.103,1.25,10.1275,-1.25,0.0,1.25,0.00375
0.118,1.25,10.12375,3.75,0.0,1.25,0.00375
0.138,1.25,10.12375,2.5,0.0,0.0,0.0
0.149,1.25,10.13,-1.25,0.0,0.0,0.0
0.160,0.0,10.1325,-1.25,0.0,0.0,0.0
0.171,1.25,10.13,-2.5,0.0,-1.25,0.0
0.181,0.0,10.12875,-2.5,0.0,-1.25,0.0
0.191,0.0,10.13,-3.75,0.00375,-1.25,0.0
0.202,1.25,10.1275,-5.0,0.01,-1.25,0.0
0.212,1.25,10.13,2.5,0.0,-1.25,0.0
0.222,1.25,10.1275,-1.25,0.0,-2.5,0.0025
0.232,0.0,10.13,-1.25,0.0,-2.5,0.0025
0.242,1.25,10.1275,-2.5,0.01625,-2.5,0.0025
0.253,0.0,10.1275,2.5,0.0,-2.5,0.0025
0.263,0.0,10.1275,2.5,0.0,-2.5,0.0025
0.273,0.0,10.13,2.5,0.0,-1.25,0.00125
0.283,0.0,10.12625,0.0,0.0,-1.25,0.00125
0.293,-1.25,10.12875,0.0,0.0125,-1.25,0.00125
0.304,1.25,10.12625,-2.5,0.0,-1.25,0.00125
0.314,1.25,10.12625,-2.5,0.0,1.25,0.005
0.324,1.25,10.1275,1.25,0.00875,1.25,0.005
0.334,1.25,10.1275,-2.5,0.0,1.25,0.005
0.344,0.0,10.13125,0.0,0.015,1.25,0.005
0.354,1.25,10.12875,1.25,0.0,1.25,0.005
0.365,1.25,10.12875,2.5,0.00625,0.0,0.00125
0.375,0.0,10.13,2.5,0.0,0.0,0.00125
0.385,0.0,10.12875,2.5,0.0,0.0,0.00125
0.395,0.0,10.12875,0.0,0.01375,0.0,0.00125
0.405,1.25,10.1325,-1.25,0.0,0.0,0.00125
0.416,1.25,10.1275,-2.5,0.0,-1.25,0.00125
0.426,0.0,10.13,-1.25,0.00625,-1.25,0.00125
0.436,2.5,10.12875,-1.25,0.0,-1.25,0.00125
0.446,1.25,10.12875,-1.25,0.025,-1.25,0.00125
0.456,0.0,10.13,2.5,0.0,-1.25,0.00125
0.466,2.5,10.1275,2.5,0.0,0.0,0.0025
0.476,2.5,10.12875,2.5,0.00875,0.0,0.0025
0.487,1.25,10.13,6.25,0.0,0.0,0.0025
0.497,1.25,10.13,1.25,0.0175,0.0,0.0025
0.507,-1.25,10.1275,0.0,0.0,0.0,0.0025
0.517,2.5,10.1275,-1.25,0.015,0.0,0.0025
0.527,1.25,10.12875,-2.5,0.01375,0.0,0.0025
0.538,1.25,10.13,-1.25,0.0,0.0,0.0025
0.548,1.25,10.13,1.25,0.0,0.0,0.0025
0.559,0.0,10.1275,1.25,0.0025,0.0,0.0025
0.570,1.25,10.12375,2.5,0.0,0.0,0.00375
0.581,1.25,10.12875,-2.5,0.01625,0.0,0.00375
0.591,0.0,10.13,0.0,0.005,0.0,0.00375
0.603,1.25,10.12875,1.25,0.0125,0.0,0.00375
0.614,0.0,10.1275,2.5,0.00625,0.0,0.0025
0.624,0.0,10.13,2.5,0.0,0.0,0.0025
0.635,1.25,10.12875,-2.5,0.01625,0.0,0.0025
0.645,1.25,10.13,-1.25,0.0,0.0,0.0025
0.655,-1.25,10.12875,-1.25,0.00625,0.0,0.0025
