elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,-15.00,10.06,897.50,0.00,31.25,5.20
0.054,0.00,9.99,842.50,0.00,31.25,5.04
0.091,1.25,10.23,122.50,0.00,1093.75,5.21
0.117,0.00,9.73,835.00,0.00,33.75,5.21
0.146,-1.25,10.29,718.75,0.00,31.25,5.21
0.186,1.25,10.34,422.50,0.00,32.50,5.21
0.211,0.00,9.70,501.25,0.00,846.25,5.21
0.234,-8.75,10.24,586.25,0.00,27.50,5.20
0.257,1.25,9.73,810.00,0.00,33.75,5.21
0.280,1.25,11.14,626.25,0.00,31.25,5.21
0.300,-1.25,9.86,823.75,0.00,30.00,5.21
0.321,0.00,10.34,-11.25,0.00,30.00,5.21
0.341,0.00,9.97,812.50,0.00,31.25,5.21
0.362,-1.25,10.77,442.50,0.00,31.25,5.21
0.383,7.50,10.09,812.50,0.00,30.00,5.21
0.407,2.50,10.26,631.25,1.82,32.50,5.21
0.428,1.25,10.19,680.00,0.00,31.25,5.21
0.448,0.00,9.84,880.00,0.00,32.50,5.21
0.468,-7.50,10.23,583.75,0.00,33.75,5.21
0.488,0.00,9.87,896.25,0.00,30.00,5.21
0.508,2.50,10.24,445.00,1.02,32.50,5.21
0.529,1.25,10.02,460.00,0.00,30.00,5.21
0.548,2.50,11.86,690.00,0.38,31.25,5.21
0.568,1.25,10.19,803.75,0.00,31.25,5.21
0.588,0.00,9.70,451.25,0.00,31.25,5.21
0.609,-2.50,10.24,73.75,0.99,31.25,5.21
0.628,1.25,9.87,768.75,0.00,32.50,5.21
0.648,1.25,11.76,671.25,0.00,31.25,5.21
0.667,1.25,10.08,835.00,0.00,31.25,5.21
0.687,1.25,9.60,155.00,0.00,31.25,5.21
0.706,1.25,11.40,766.25,0.00,31.25,5.21
0.726,1.25,9.76,851.25,0.00,32.50,5.21
0.746,1.25,10.69,670.00,0.00,31.25,5.21
0.766,0.00,9.92,901.25,0.00,32.50,5.21
0.785,1.25,10.27,592.50,0.00,31.25,5.21
0.805,0.00,10.17,901.25,0.00,31.25,5.21
0.824,0.00,9.74,775.00,0.00,31.25,5.21
0.844,2.50,10.69,867.50,0.00,31.25,5.21
0.866,2.50,9.78,887.50,0.00,30.00,5.21
0.886,1.25,10.33,393.75,0.00,32.50,5.21
0.906,1.25,10.02,897.50,0.00,31.25,5.21
0.925,3.75,10.23,111.25,0.64,33.75,5.21
0.945,-13.75,10.19,806.25,0.00,32.50,5.21
0.964,1.25,9.71,888.75,0.00,32.50,5.21
0.984,2.50,10.24,580.00,0.00,31.25,5.21
1.003,1.25,9.87,801.25,0.00,31.25,5.21
1.023,1.25,11.70,666.25,0.00,32.50,5.21
1.042,1.25,10.09,833.75,0.00,31.25,5.21
1.063,1.25,10.80,513.75,0.00,30.00,5.21
1.082,-12.50,11.49,783.75,0.00,31.25,5.21
1.102,2.50,9.75,825.00,0.00,33.75,5.21
