elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,10.31,845.00,0.00,1817.50,5.21
0.072,18.75,11.43,900.00,0.00,31.25,4.98
0.126,0.00,10.08,900.00,0.00,2031.25,5.21
0.177,1.25,9.96,896.25,0.00,28.75,5.21
0.229,0.00,9.69,671.25,0.00,30.00,5.21
0.282,1.25,9.60,436.25,0.95,31.25,5.21
0.339,1.25,11.74,550.00,0.00,30.00,5.21
0.383,1.25,10.25,687.50,0.00,1097.50,4.88
0.445,1.25,10.31,863.75,0.00,865.00,5.21
0.493,-1.25,10.25,900.00,0.00,1367.50,4.82
0.535,1.25,11.37,23.75,0.00,28.75,5.00
0.584,1.25,10.26,907.50,0.00,562.50,5.21
0.628,2.50,10.31,563.75,0.00,1502.50,4.69
0.670,1.25,10.28,662.50,0.00,1593.75,4.73
0.711,0.00,9.58,657.50,1.83,1546.25,4.86
0.751,0.00,9.74,761.25,0.00,1590.00,4.70
0.789,0.00,9.98,900.00,0.00,27.50,4.69
0.826,2.50,10.24,360.00,0.00,30.00,4.68
0.865,1.25,10.30,568.75,0.00,31.25,4.67
0.903,-1.25,10.29,580.00,0.00,31.25,5.21
0.941,1.25,9.74,507.50,0.00,30.00,5.21
0.979,0.00,9.91,901.25,0.00,1235.00,5.21
1.018,2.50,10.13,778.75,0.00,1547.50,5.22
1.053,0.00,10.25,683.75,0.00,1596.25,5.22
1.094,-1.25,10.25,660.00,0.00,1543.75,5.21
1.138,0.00,11.08,565.00,0.00,31.25,5.19
1.181,1.25,10.29,618.75,0.00,31.25,5.06
1.220,0.00,9.78,676.25,0.58,1543.75,5.21
1.256,3.75,10.08,812.50,0.00,1542.50,5.21
1.295,2.50,10.18,838.75,0.00,1542.50,5.21
1.337,1.25,10.26,890.00,0.00,1180.00,5.21
1.378,12.50,10.30,633.75,0.00,30.00,4.97
1.421,1.25,11.80,418.75,0.00,31.25,4.67
1.464,1.25,11.22,113.75,0.00,30.00,4.73
1.503,-1.25,9.71,656.25,1.51,861.25,4.99
1.541,-1.25,10.13,795.00,0.00,452.50,5.19
1.580,-6.25,10.19,906.25,0.00,33.75,5.21
1.618,1.25,11.70,903.75,0.00,1763.75,5.21
1.669,1.25,10.25,891.25,0.00,1593.75,5.21
1.709,0.00,10.25,148.75,0.00,1033.75,5.21
1.747,1.25,10.33,665.00,0.00,31.25,5.21
1.785,-1.25,9.71,632.50,0.91,31.25,5.21
1.823,0.00,9.94,863.75,0.00,32.50,5.21
1.860,2.50,10.16,683.75,0.00,31.25,5.21
