elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,9.55,651.25,1.46,23.75,5.21
0.053,0.00,9.55,871.25,0.63,31.25,5.21
0.089,0.00,9.88,853.75,0.00,28.75,5.21
0.112,-1.25,9.35,18.75,0.00,31.25,5.21
0.142,1.25,9.74,857.50,0.00,31.25,5.21
0.174,1.25,10.03,346.25,0.00,32.50,5.21
0.194,1.25,9.64,822.50,0.00,31.25,5.21
0.220,5.00,9.95,621.25,0.00,30.00,5.21
0.244,1.25,9.35,108.75,0.00,31.25,5.21
0.274,1.25,9.84,883.75,0.00,31.25,5.21
0.299,0.00,11.43,660.00,0.06,868.75,4.92
0.324,1.25,9.70,861.25,0.00,31.25,5.21
0.344,2.50,10.00,480.00,1.80,30.00,5.21
0.365,1.25,9.85,455.00,0.00,30.00,5.21
0.385,0.00,9.51,856.25,0.00,32.50,5.21
0.405,25.00,9.95,761.25,0.00,28.75,5.21
0.425,1.25,9.48,488.75,0.00,30.00,5.21
0.445,1.25,9.96,647.50,0.52,31.25,5.21
0.464,2.50,9.63,800.00,0.00,31.25,5.21
0.484,1.25,10.73,635.00,0.00,31.25,5.21
0.504,1.25,9.74,815.00,0.00,33.75,5.21
0.524,1.25,9.93,313.75,0.00,30.00,5.21
0.543,2.50,10.85,890.00,0.00,31.25,5.21
0.563,1.25,9.45,783.75,0.00,31.25,5.21
0.582,0.00,10.50,320.00,0.00,30.00,5.21
0.602,1.25,9.67,882.50,0.00,28.75,5.21
0.621,6.25,9.95,537.50,0.00,31.25,5.21
0.641,0.00,9.72,676.25,0.00,32.50,5.21
0.662,1.25,9.98,32.50,2.35,31.25,5.21
0.683,0.00,9.83,873.75,0.00,32.50,5.21
0.703,0.00,9.47,727.50,0.00,30.00,5.21
0.722,32.50,9.95,847.50,0.00,31.25,5.21
0.742,1.25,9.49,872.50,0.00,31.25,5.21
0.762,3.75,9.95,277.50,0.26,32.50,5.21
0.781,1.25,9.64,840.00,0.00,31.25,5.21
0.801,2.50,10.71,662.50,0.00,31.25,5.21
0.822,1.25,9.71,821.25,0.00,31.25,5.21
0.841,1.25,9.31,111.25,0.00,30.00,5.21
0.860,-1.25,11.07,860.00,0.00,31.25,5.21
0.880,1.25,9.43,756.25,0.00,30.00,5.21
0.899,0.00,10.57,137.50,0.00,28.75,5.21
0.919,-1.25,9.56,866.25,0.00,31.25,5.21
0.939,0.00,9.96,180.00,0.58,31.25,5.21
0.958,1.25,9.75,538.75,0.00,30.00,5.21
0.978,1.25,10.81,631.25,1.64,32.50,5.21
0.997,7.50,9.88,748.75,0.00,31.25,5.21
1.017,-1.25,9.43,500.00,0.00,31.25,5.21
1.036,3.75,11.63,623.75,0.00,31.25,5.21
1.056,0.00,9.58,737.50,0.00,30.00,5.21
1.076,0.00,10.05,633.75,0.26,31.25,5.21
1.096,1.25,9.71,855.00,0.00,31.25,5.21
1.115,1.25,10.40,70.00,0.00,31.25,5.21
1.143,0.00,9.70,882.50,0.00,31.25,5.21
1.163,10.00,9.99,18.75,0.00,31.25,5.21
1.183,1.25,9.80,883.75,0.00,31.25,5.21
1.203,1.25,9.30,518.75,0.00,32.50,5.21
1.223,1.25,9.95,795.00,0.00,30.00,5.21
1.243,0.00,9.49,873.75,0.00,31.25,5.21
1.262,2.50,9.97,212.50,0.00,32.50,5.21
1.283,0.00,9.60,650.00,0.00,31.25,5.21
1.306,3.75,10.03,552.50,0.00,31.25,5.21
1.327,1.25,9.59,850.00,0.00,30.00,4.91
1.349,1.25,10.00,73.75,0.00,1088.75,5.00
1.369,0.00,9.90,882.50,0.00,642.50,5.05
1.389,2.50,9.98,603.75,0.00,363.75,5.10
1.409,1.25,9.87,887.50,0.00,303.75,5.10
1.431,0.00,9.34,520.00,0.00,1597.50,5.25
1.451,1.25,11.26,882.50,0.00,1880.00,4.64
1.474,1.25,9.37,482.50,0.00,1682.50,5.13
1.495,1.25,10.01,771.25,0.00,26.25,5.20
1.517,1.25,9.50,563.75,0.28,31.25,5.21
1.543,1.25,9.84,765.00,0.00,30.00,5.21
