elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,0.00,9.93,745.00,2.56,0.00,1.40
0.054,0.00,9.72,880.00,0.00,0.00,1.35
0.093,1.25,9.84,875.00,0.00,1.25,1.32
0.128,1.25,11.59,798.75,0.00,1.25,1.31
0.169,3.75,11.44,647.50,1.29,0.00,1.39
0.195,0.00,9.70,693.75,0.00,-1.25,1.38
0.235,-1.25,9.78,683.75,0.00,-1.25,1.33
0.268,-3.75,10.13,886.25,0.00,0.00,1.36
0.297,2.50,9.48,642.50,0.00,0.00,1.35
0.320,2.50,11.19,800.00,0.00,0.00,1.34
0.342,1.25,9.55,871.25,0.00,0.00,1.33
0.365,1.25,10.03,45.00,0.00,1.25,1.32
0.386,2.50,9.82,866.25,0.00,-1.25,1.32
0.406,61.25,10.04,538.75,0.00,-2.50,1.32
0.427,0.00,9.76,881.25,0.00,1.25,1.31
0.447,5.00,10.05,28.75,0.00,0.00,1.32
0.467,0.00,9.89,378.75,0.00,0.00,1.32
0.487,0.00,9.62,661.25,0.37,1.25,1.32
0.506,10.00,10.04,700.00,0.00,-1.25,1.32
0.526,1.25,9.55,872.50,0.00,0.00,1.32
0.546,2.50,10.04,148.75,0.00,1.25,1.32
0.567,2.50,9.68,842.50,0.00,0.00,1.32
0.588,21.25,10.04,550.00,2.39,0.00,1.33
0.613,-1.25,9.61,467.50,0.00,0.00,1.36
0.638,-311.25,10.03,525.00,0.00,0.00,1.35
0.661,2.50,9.80,878.75,0.00,0.00,1.33
0.685,1.25,11.57,547.50,0.00,-1.25,1.32
0.707,-1.25,9.60,608.75,0.00,-1.25,1.31
0.730,5.00,10.04,61.25,2.25,-1.25,1.31
0.750,1.25,9.68,860.00,0.00,0.00,1.40
0.772,5.00,10.04,458.75,0.00,0.00,1.38
0.794,0.00,9.89,873.75,0.00,0.00,1.39
0.813,75.00,10.06,100.00,0.00,-1.25,1.39
0.833,1.25,9.92,562.50,0.00,0.00,1.39
0.852,0.00,9.52,380.00,0.00,0.00,1.36
0.878,0.00,9.89,771.25,0.00,1.25,1.36
0.899,1.25,9.43,356.25,0.00,0.00,1.36
0.919,2.50,11.72,875.00,0.00,1.25,1.35
0.940,1.25,9.52,496.25,0.00,-1.25,1.34
0.962,-3.75,10.04,631.25,0.00,0.00,1.33
0.984,0.00,9.64,858.75,0.00,0.00,1.31
1.012,0.00,10.55,425.00,0.00,0.00,1.34
1.046,2.50,10.04,135.00,0.00,-1.25,1.32
1.068,0.00,9.93,868.75,0.00,0.00,1.40
