elapsed_s,FRET_mA,DAMPER_mA,PICK_mA,FRET_V,DAMPER_V,PICK_V
0.000,1.25,9.95,803.75,0.00,31.25,5.21
0.080,1.25,10.24,675.00,0.00,32.50,5.14
0.161,0.00,9.63,581.25,0.00,32.50,5.21
0.249,0.00,9.85,828.75,0.00,28.75,5.21
0.324,1.25,10.18,147.50,0.00,30.00,5.21
0.396,1.25,10.02,898.75,0.00,31.25,5.21
0.458,2.50,9.80,887.50,0.00,32.50,5.21
0.516,1.25,9.72,520.00,0.00,31.25,5.21
0.572,0.00,11.94,60.00,0.00,31.25,5.21
0.629,1.25,10.58,395.00,0.00,31.25,5.21
0.687,1.25,10.28,770.00,0.00,32.50,5.21
0.744,0.00,10.03,775.00,0.00,28.75,5.21
0.808,3093.75,9.37,38.75,0.00,31.25,5.21
0.880,1.25,11.82,-10.00,0.00,31.25,5.21
0.940,0.00,11.11,-15.00,0.00,32.50,5.21
0.996,0.00,11.63,901.25,0.00,31.25,5.21
1.062,-1.25,9.72,715.00,0.00,31.25,5.21
