Element Object,Element Type,Pitch/Rest,Start Time,End Time,Duration (sec)
<music21.note.Note C#>,Note,C#3,0:00:59.250000,0:01:00,0.75
<music21.note.Note C#>,Note,C#3,0:01:00,0:01:00.750000,0.75
<music21.note.Note F#>,Note,F#3,0:01:00.750000,0:01:01.500000,0.75
<music21.note.Note A>,Note,A3,0:01:01.500000,0:01:01.875000,0.375
<music21.note.Note G#>,Note,G#3,0:01:01.875000,0:01:02.250000,0.375
<music21.note.Note F#>,Note,F#3,0:01:02.250000,0:01:02.625000,0.375
<music21.note.Note E>,Note,E3,0:01:02.625000,0:01:03,0.375
<music21.note.Note E>,Note,E3,0:01:03,0:01:03.750000,0.75
<music21.note.Note D#>,Note,D#3,0:01:03.750000,0:01:05.250000,1.5
<music21.note.Note B>,Note,B2,0:01:05.250000,0:01:05.625000,0.375
<music21.note.Note B>,Note,B2,0:01:05.625000,0:01:06,0.375
<music21.note.Note E>,Note,E3,0:01:06,0:01:07.125000,1.125
<music21.note.Note F#>,Note,F#3,0:01:07.125000,0:01:07.500000,0.375
<music21.note.Note G#>,Note,G#3,0:01:07.500000,0:01:07.875000,0.375
<music21.note.Note A>,Note,A3,0:01:07.875000,0:01:08.250000,0.375
<music21.note.Note B>,Note,B3,0:01:08.250000,0:01:09.750000,1.5
<music21.note.Note E>,Note,E3,0:01:09.750000,0:01:10.125000,0.375
<music21.note.Note F#>,Note,F#3,0:01:10.125000,0:01:10.500000,0.375
<music21.note.Note G#>,Note,G#3,0:01:10.500000,0:01:11.625000,1.125
<music21.note.Note A>,Note,A3,0:01:11.625000,0:01:12,0.375
<music21.note.Note F#>,Note,F#3,0:01:12,0:01:12.750000,0.75
<music21.note.Note E>,Note,E3,0:01:12.750000,0:01:14.250000,1.5
